dataset,raw_product,standardized_product,mapping_basis,mapping_type,ambiguity_flag,n_rows
Consumer_UA,Сири м’які жирні,cheese,government row label,direct,0,1478
Consumer_UA,"Молоко пастеризоване жирністю до 2,6% включно",milk,government row label,direct,0,1478
Consumer_UA,Сметана жирністю до 15% включно,sour_cream,government row label,direct,0,1478
FarmGate_UA,Молоко,milk,official farm-gate product label,direct,0,39906
Novus,butter,butter,"retail title, product title, literal dairy typing, and brand-normalized item text",inferred,1,93
Novus,cheese,cheese,"retail title, product title, literal dairy typing, and brand-normalized item text",inferred,1,635
Novus,cottage cheese,cheese,"retail title, product title, literal dairy typing, and brand-normalized item text",inferred,1,118
Novus,condensed milk,condensed_milk,"retail title, product title, literal dairy typing, and brand-normalized item text",inferred,1,32
Novus,cream,cream,"retail title, product title, literal dairy typing, and brand-normalized item text",inferred,1,70
Novus,drinking milk,milk,"retail title, product title, literal dairy typing, and brand-normalized item text",inferred,1,87
Novus,інше,milk,"retail title, product title, literal dairy typing, and brand-normalized item text",inferred,1,64
Novus,молоко сухе,milk_powder,"retail title, product title, literal dairy typing, and brand-normalized item text",inferred,0,1
Novus,chicken eggs,other,"retail title, product title, literal dairy typing, and brand-normalized item text",inferred,1,39
Novus,sour cream,sour_cream,"retail title, product title, literal dairy typing, and brand-normalized item text",inferred,1,71
Novus,yogurt,yogurt_dessert,"retail title, product title, literal dairy typing, and brand-normalized item text",inferred,0,237
Producer_UA,Масло вершкове жирністю не більше 85%,butter,government row label,direct,0,1478
Producer_UA,Сир твердий,cheese,government row label,direct,0,1478
Producer_UA,Кефір,milk,government row label,direct,0,1478
Producer_UA,"Молоко рідке оброблене (пастеризоване, стерилізоване, гомогенізоване, топлене, пептизоване)",milk,government row label,direct,0,1478
Producer_UA,Молоко та вершки сухі знежирені,milk_powder,government row label,direct,0,1478
Producer_UA,Сметана,sour_cream,government row label,direct,0,1478
Prozorro,2025-04-14 00:00:00,other,procurement profile plus tender title,approximate,1,20
Prozorro,2025-04-15 00:00:00,other,procurement profile plus tender title,approximate,1,33
Prozorro,2025-04-16 00:00:00,other,procurement profile plus tender title,approximate,1,26
Prozorro,2025-04-17 00:00:00,other,procurement profile plus tender title,approximate,1,25
Prozorro,2025-04-18 00:00:00,other,procurement profile plus tender title,approximate,1,24
Prozorro,2025-04-19 00:00:00,other,procurement profile plus tender title,approximate,1,2
Prozorro,2025-04-21 00:00:00,other,procurement profile plus tender title,approximate,1,20
Prozorro,2025-04-22 00:00:00,other,procurement profile plus tender title,approximate,1,34
Prozorro,2025-04-23 00:00:00,other,procurement profile plus tender title,approximate,1,18
Prozorro,2025-04-24 00:00:00,other,procurement profile plus tender title,approximate,1,28
Prozorro,2025-04-25 00:00:00,other,procurement profile plus tender title,approximate,1,39
Prozorro,2025-04-28 00:00:00,other,procurement profile plus tender title,approximate,1,45
Prozorro,2025-04-29 00:00:00,other,procurement profile plus tender title,approximate,1,36
Prozorro,2025-04-30 00:00:00,other,procurement profile plus tender title,approximate,1,41
Prozorro,2025-05-01 00:00:00,other,procurement profile plus tender title,approximate,1,34
Prozorro,2025-05-02 00:00:00,other,procurement profile plus tender title,approximate,1,26
Prozorro,2025-05-03 00:00:00,other,procurement profile plus tender title,approximate,1,1
Prozorro,2025-05-04 00:00:00,other,procurement profile plus tender title,approximate,1,2
Prozorro,2025-05-05 00:00:00,other,procurement profile plus tender title,approximate,1,37
Prozorro,2025-05-06 00:00:00,other,procurement profile plus tender title,approximate,1,49
Prozorro,2025-05-07 00:00:00,other,procurement profile plus tender title,approximate,1,35
Prozorro,2025-05-08 00:00:00,other,procurement profile plus tender title,approximate,1,29
Prozorro,2025-05-09 00:00:00,other,procurement profile plus tender title,approximate,1,20
Prozorro,2025-05-10 00:00:00,other,procurement profile plus tender title,approximate,1,1
Prozorro,2025-05-11 00:00:00,other,procurement profile plus tender title,approximate,1,1
Prozorro,2025-05-12 00:00:00,other,procurement profile plus tender title,approximate,1,27
Prozorro,2025-05-13 00:00:00,other,procurement profile plus tender title,approximate,1,44
Prozorro,2025-05-14 00:00:00,other,procurement profile plus tender title,approximate,1,26
Prozorro,2025-05-15 00:00:00,other,procurement profile plus tender title,approximate,1,35
Prozorro,2025-05-16 00:00:00,other,procurement profile plus tender title,approximate,1,26
Prozorro,2025-05-17 00:00:00,other,procurement profile plus tender title,approximate,1,1
Prozorro,2025-05-18 00:00:00,other,procurement profile plus tender title,approximate,1,2
Prozorro,2025-05-19 00:00:00,other,procurement profile plus tender title,approximate,1,26
Prozorro,2025-05-20 00:00:00,other,procurement profile plus tender title,approximate,1,30
Prozorro,2025-05-21 00:00:00,other,procurement profile plus tender title,approximate,1,31
Prozorro,2025-05-22 00:00:00,other,procurement profile plus tender title,approximate,1,39
Prozorro,2025-05-23 00:00:00,other,procurement profile plus tender title,approximate,1,38
Prozorro,2025-05-25 00:00:00,other,procurement profile plus tender title,approximate,1,2
Prozorro,2025-05-26 00:00:00,other,procurement profile plus tender title,approximate,1,50
Prozorro,2025-05-27 00:00:00,other,procurement profile plus tender title,approximate,1,33
Prozorro,2025-05-28 00:00:00,other,procurement profile plus tender title,approximate,1,16
Prozorro,2025-05-29 00:00:00,other,procurement profile plus tender title,approximate,1,33
Prozorro,2025-05-30 00:00:00,other,procurement profile plus tender title,approximate,1,16
Prozorro,2025-06-02 00:00:00,other,procurement profile plus tender title,approximate,1,28
Prozorro,2025-06-03 00:00:00,other,procurement profile plus tender title,approximate,1,27
Prozorro,2025-06-04 00:00:00,other,procurement profile plus tender title,approximate,1,31
Prozorro,2025-06-05 00:00:00,other,procurement profile plus tender title,approximate,1,29
Prozorro,2025-06-06 00:00:00,other,procurement profile plus tender title,approximate,1,21
Prozorro,2025-06-07 00:00:00,other,procurement profile plus tender title,approximate,1,1
Prozorro,2025-06-08 00:00:00,other,procurement profile plus tender title,approximate,1,1
Prozorro,2025-06-09 00:00:00,other,procurement profile plus tender title,approximate,1,20
Prozorro,2025-06-10 00:00:00,other,procurement profile plus tender title,approximate,1,24
Prozorro,2025-06-11 00:00:00,other,procurement profile plus tender title,approximate,1,32
Prozorro,2025-06-12 00:00:00,other,procurement profile plus tender title,approximate,1,33
Prozorro,2025-06-13 00:00:00,other,procurement profile plus tender title,approximate,1,19
Prozorro,2025-06-14 00:00:00,other,procurement profile plus tender title,approximate,1,4
Prozorro,2025-06-16 00:00:00,other,procurement profile plus tender title,approximate,1,36
Prozorro,2025-06-17 00:00:00,other,procurement profile plus tender title,approximate,1,31
Prozorro,2025-06-18 00:00:00,other,procurement profile plus tender title,approximate,1,24
Prozorro,2025-06-19 00:00:00,other,procurement profile plus tender title,approximate,1,20
