date,product,product_literal,retailer,brand_norm,observed,baseline,discount_share,markdown_rate,n_items,n_item_keys
2026-01-08,butter,butter,Novus,dziugas,89.99,89.99,0.0,0.0,1,1
2026-01-08,butter,butter,Novus,mlekovita,79.99,79.99,0.0,0.0,1,1
2025-12-19,butter,butter,Novus,mother,154.0,154.0,0.0,0.0,1,1
2025-11-04,butter,butter,Novus,novus,114.0,114.0,0.0,0.0,3,1
2025-11-28,butter,butter,Novus,novus,104.0,104.0,0.0,0.0,1,1
2025-11-04,butter,butter,Novus,organic,139.0,139.0,0.0,0.0,1,1
2026-01-08,butter,butter,Novus,organic,144.0,144.0,0.0,0.0,1,1
2025-11-04,butter,butter,Novus,paysan,279.0,279.0,0.0,0.0,2,2
2025-11-04,butter,butter,Novus,prego,114.0,114.0,0.0,0.0,3,3
2026-01-08,butter,butter,Novus,prego,89.99,89.99,0.0,0.0,1,1
2025-12-06,butter,butter,Novus,president,199.0,199.0,0.0,0.0,1,1
2025-11-16,butter,butter,Novus,roshen,114.0,114.0,0.0,0.0,2,2
2026-01-08,butter,butter,Novus,roshen,124.0,124.0,0.0,0.0,1,1
2026-01-08,butter,butter,Novus,біло,106.995,106.995,0.0,0.0,2,1
2025-11-04,butter,butter,Novus,валіо,229.0,229.0,0.0,0.0,1,1
2025-11-04,butter,butter,Novus,волошкове поле,92.85,92.85,0.0,0.0,2,1
2025-12-06,butter,butter,Novus,волошкове поле,114.0,114.0,0.0,0.0,1,1
2025-11-04,butter,butter,Novus,галичина,129.0,129.0,0.0,0.0,1,1
2026-01-08,butter,butter,Novus,галичина,119.0,119.0,0.0,0.0,1,1
2025-11-04,butter,butter,Novus,гхі,439.0,439.0,0.0,0.0,3,1
2025-12-11,butter,butter,Novus,гхі,289.0,289.0,0.0,0.0,1,1
2026-01-07,butter,butter,Novus,дари,99.99,99.99,0.0,0.0,1,1
2026-01-08,butter,butter,Novus,дари,97.99,97.99,0.0,0.0,1,1
2025-11-04,butter,butter,Novus,житомирський,114.0,114.0,0.0,0.0,1,1
2025-11-04,butter,butter,Novus,звени гора,104.0,104.0,0.0,0.0,1,1
2025-11-15,butter,butter,Novus,комо,139.0,139.0,0.0,0.0,1,1
2026-01-08,butter,butter,Novus,молокiя,124.0,124.0,0.0,0.0,1,1
2025-12-26,butter,butter,Novus,молокія,114.0,114.0,0.0,0.0,1,1
2025-11-04,butter,butter,Novus,молочна,119.0,119.0,0.0,0.0,1,1
2026-01-08,butter,butter,Novus,молочна,83.99,83.99,0.0,0.0,1,1
2025-11-04,butter,butter,Novus,новгород сіверський,121.495,121.495,0.0,0.0,2,1
2025-12-10,butter,butter,Novus,новгород сіверський,119.0,119.0,0.0,0.0,1,1
2026-01-08,butter,butter,Novus,новгород сіверський,85.99,85.99,0.0,0.0,1,1
2025-11-04,butter,butter,Novus,ранчо,126.5,126.5,0.0,0.0,2,1
2025-11-04,butter,butter,Novus,селянське,99.99,99.99,0.0,0.0,1,1
2026-01-08,butter,butter,Novus,селянське,99.495,99.495,0.0,0.0,2,1
2026-01-08,butter,butter,Novus,ферма,154.0,154.0,0.0,0.0,1,1
2025-11-04,butter,butter,Novus,яготинське,494.0,494.0,0.0,0.0,1,1
2026-01-08,butter,butter,Novus,яготинське,129.0,129.0,0.0,0.0,3,2
2025-10-21,butter,butter,Silpo,beppino,31.04,31.04,0.0,0.0,2,2
2025-10-22,butter,butter,Silpo,beppino,30.189999999999998,30.189999999999998,0.0,0.0,2,2
2025-10-23,butter,butter,Silpo,beppino,30.189999999999998,30.189999999999998,0.0,0.0,2,2
2025-10-24,butter,butter,Silpo,beppino,127.745,152.745,0.5,0.08960573476702509,2,2
2025-10-25,butter,butter,Silpo,beppino,109.695,109.695,0.0,0.0,2,2
2025-10-26,butter,butter,Silpo,beppino,23.39,23.39,0.0,0.0,2,2
2025-10-27,butter,butter,Silpo,beppino,31.04,31.04,0.0,0.0,2,2
2025-10-28,butter,butter,Silpo,beppino,31.04,31.04,0.0,0.0,2,2
