retailer,item_key,product,brand_norm,canonical_name,n_strict_keys,fat_pct,pack_std,pack_std_unit,first_title,first_name,n_rows,date_min,date_max
Novus,butter|dziugas|butter,butter,dziugas,butter,1,82.0,0.2,kg,Масло Dziugas солодковершкове 82% 200г,Масло солодковершкове,1,2026-01-08,2026-01-08
Novus,butter|mlekovita|butter,butter,mlekovita,butter,1,82.0,0.2,kg,Масло Mlekovita солодковершкове 82% 200г,Масло солодковершкове,1,2026-01-08,2026-01-08
Novus,butter|mother|butter,butter,mother,butter,1,85.0,0.2,kg,Масло Mother солодковершкове екстра 85% 200г,Масло солодковершкове екстра,1,2025-12-19,2025-12-19
Novus,butter|novus|butter,butter,novus,butter,4,77.75,0.19,kg,Масло Novus Селянське солодковершкове 73% 200г,Масло Селянське солодковершкове,4,2025-11-04,2025-11-28
Novus,butter|organic|milk органічне,butter,organic,milk органічне,2,77.55,0.18,kg,"Масло Organic Milk Селянське солодковершкове органічне 72,5% 180г",Масло Milk Селянське солодковершкове органічне,2,2025-11-04,2026-01-08
Novus,butter|paysan|breton вершкове напівсолоне,butter,paysan,breton вершкове напівсолоне,1,80.0,0.25,kg,Масло Paysan Breton вершкове напівсолоне 80% 250г,Масло Breton вершкове напівсолоне,1,2025-11-04,2025-11-04
Novus,butter|paysan|breton традиційне,butter,paysan,breton традиційне,1,82.0,0.25,kg,Масло Paysan Breton Традиційне солодковершкове 82% 250г,Масло Breton Традиційне солодковершкове,1,2025-11-04,2025-11-04
Novus,butter|prego|без лактози,butter,prego,без лактози,1,82.5,0.2,kg,"Масло Prego солодковершкове екстра без лактози 82,5% 200г",Масло солодковершкове екстра без лактози,1,2025-11-04,2025-11-04
Novus,butter|prego|безлактозне,butter,prego,безлактозне,1,82.5,0.18,kg,"Масло Prego солодковершкове безлактозне 82,5% 180г",Масло солодковершкове безлактозне,1,2026-01-08,2026-01-08
Novus,butter|prego|морською сіллю,butter,prego,морською сіллю,1,80.0,0.18,kg,Масло Prego з морською сіллю солодковершкове 80% 180г,Масло з морською сіллю солодковершкове,1,2025-11-04,2025-11-04
Novus,butter|prego|солоне морською сіллю,butter,prego,солоне морською сіллю,1,80.0,0.2,kg,Масло Prego солодковершкове солоне екстра з морською сіллю 80% 200г,Масло солодковершкове солоне екстра з морською сіллю,1,2025-11-04,2025-11-04
Novus,butter|president|кисловершкове несолоне,butter,president,кисловершкове несолоне,1,82.0,0.2,kg,Масло President кисловершкове несолоне 82% 200г,Масло кисловершкове несолоне,1,2025-12-06,2025-12-06
Novus,butter|roshen|butter,butter,roshen,butter,2,77.55,0.18,kg,"Масло Roshen Селянське солодковершкове 72,6% 180г",Масло Селянське солодковершкове,2,2025-11-16,2026-01-08
Novus,butter|roshen|солоне кисловершкове,butter,roshen,солоне кисловершкове,1,80.0,0.18,kg,Масло Roshen солоне кисловершкове 80% 180г,Масло солоне кисловершкове,1,2025-11-16,2025-11-16
Novus,butter|біло|butter,butter,біло,butter,2,77.3,0.18,kg,"Масло Біло Селянське солодковершкове 72,6% 180г",Масло Селянське солодковершкове,2,2026-01-08,2026-01-08
Novus,butter|валіо|вершкове без глютену,butter,валіо,вершкове без глютену,1,82.0,0.2,kg,Масло Валіо Вершкове без глютену 82% 200г,Масло Вершкове без глютену,1,2025-11-04,2025-11-04
Novus,butter|волошкове поле|butter,butter,волошкове поле,butter,3,73.0,0.18,kg,Масло Волошкове Поле Селянське солодковершкове 73% 180г,Масло Селянське солодковершкове,3,2025-11-04,2025-12-06
Novus,butter|галичина|butter,butter,галичина,butter,2,77.55,0.18,kg,"Масло Галичина Селянське солодковершкове 72,6% 180г",Масло Селянське солодковершкове,2,2025-11-04,2026-01-08
Novus,butter|гхі|mother,butter,гхі,mother,1,99.0,0.2,kg,Масло ГХІ Mother 99% 200г,Масло Mother,1,2025-12-11,2025-12-11
Novus,butter|гхі|чистий смак,butter,гхі,чистий смак,3,,0.3,l,Масло ГХІ Чистий Смак 100мл,Масло Чистий Смак,3,2025-11-04,2025-11-04
Novus,butter|дари|карпат,butter,дари,карпат,2,77.3,0.18,kg,"Масло Дари Карпат Селянське солодковершкове 72,6% 180г",Масло Карпат Селянське солодковершкове,2,2026-01-07,2026-01-08
Novus,butter|житомирський|молочний завод,butter,житомирський,молочний завод,1,73.0,0.18,kg,Масло Житомирський Молочний Завод Селянське солодковершкове 73% 180г,Масло Молочний Завод Селянське солодковершкове,1,2025-11-04,2025-11-04
Novus,butter|звени гора|butter,butter,звени гора,butter,1,73.0,0.175,kg,Масло Звени Гора селянське солодковершкове 73% 175г,Масло селянське солодковершкове,1,2025-11-04,2025-11-04
Novus,butter|комо|кисловершкове,butter,комо,кисловершкове,1,82.5,0.18,kg,"Масло Комо Екстра кисловершкове 82,5% 180г",Масло Екстра кисловершкове,1,2025-11-15,2025-11-15
Novus,butter|молокiя|butter,butter,молокiя,butter,1,82.0,0.18,kg,Масло Молокiя солодковершкове 82% 180г,Масло солодковершкове,1,2026-01-08,2026-01-08
Novus,butter|молокія|butter,butter,молокія,butter,1,73.0,0.18,kg,Масло Молокія Селянське солодковершкове 73% 180г,Масло Селянське солодковершкове,1,2025-12-26,2025-12-26
Novus,butter|молочна|гільдія,butter,молочна,гільдія,2,77.5,0.18,kg,Масло Молочна гільдія Селянське 73% 180г,Масло гільдія Селянське,2,2025-11-04,2026-01-08
Novus,butter|новгород сіверський|butter,butter,новгород сіверський,butter,4,77.75,0.19,kg,Масло Новгород-Сіверський Селянське солодковершкове 73% 200г,Масло Селянське солодковершкове,4,2025-11-04,2026-01-08
Novus,butter|ранчо|butter,butter,ранчо,butter,2,77.5,0.18,kg,Масло Ранчо Селянське солодковершкове 73% 180г,Масло Селянське солодковершкове,2,2025-11-04,2025-11-04
Novus,butter|селянське|butter,butter,селянське,butter,2,77.25,0.18,kg,Масло Селянське Екстра солодковершкове 82% 180г,Масло Екстра солодковершкове,2,2026-01-08,2026-01-08
Novus,butter|селянське|бутербродне,butter,селянське,бутербродне,1,63.0,0.18,kg,Масло Селянське Бутербродне 63% 180г,Масло Бутербродне,1,2025-11-04,2025-11-04
Novus,butter|ферма|butter,butter,ферма,butter,1,82.5,0.18,kg,"Масло Ферма Екстра солодковершкове 82,5% 180г",Масло Екстра солодковершкове,1,2026-01-08,2026-01-08
Novus,butter|яготинське|butter,butter,яготинське,butter,2,77.75,0.18,kg,"Масло Яготинське Екстра солодковершкове 82,5% 180г",Масло Екстра солодковершкове,2,2026-01-08,2026-01-08
Novus,butter|яготинське|безлактозне,butter,яготинське,безлактозне,1,82.5,0.18,kg,"Масло Яготинське Безлактозне солодковершкове 82,5% 180г",Масло Безлактозне солодковершкове,1,2026-01-08,2026-01-08
Novus,butter|яготинське|топлене,butter,яготинське,топлене,1,99.0,0.5,kg,Масло Яготинське топлене 99% 500г,Масло топлене,1,2025-11-04,2025-11-04
Novus,cheese|na|молоковмісний сирний good milk грецький салат який кремовий,cheese,,молоковмісний сирний good milk грецький салат який кремовий,1,50.0,0.2,kg,Продукт молоковмісний сирний Good Milk Грецький салат м’який кремовий 50% 200г,молоковмісний сирний Good Milk Грецький салат м’який кремовий,1,2026-01-08,2026-01-08
Novus,cheese|na|молоковмісний сирний плавлений сиророб дружба,cheese,,молоковмісний сирний плавлений сиророб дружба,1,55.0,0.07,kg,Продукт молоковмісний сирний плавлений Сиророб Дружба 55% 70г,молоковмісний сирний плавлений Сиророб Дружба,1,2025-11-04,2025-11-04
Novus,cheese|na|сирний emborg danish white фета,cheese,,сирний emborg danish white фета,1,50.0,0.5,kg,Сирний продукт Emborg Danish White Фета 50% 500г,Сирний Emborg Danish White Фета,1,2025-11-04,2025-11-04
Novus,cheese|na|сирний galbani croccante alla mozzarella для запікання 6х,cheese,,сирний galbani croccante alla mozzarella для запікання 6х,1,,0.025,kg,Продукт сирний Galbani Croccante alla Mozzarella для запікання 6х25г,сирний Galbani Croccante alla Mozzarella для запікання 6х,1,2025-11-04,2025-11-04
Novus,cheese|na|сирний кременецькі молочні вироби український,cheese,,сирний кременецькі молочні вироби український,1,50.0,,,Продукт сирний Кременецькі Молочні Вироби Український 50%,сирний Кременецькі Молочні Вироби Український,1,2025-11-04,2025-11-04
Novus,cheese|na|сирний плавлений imperia apetitta тостовий,cheese,,сирний плавлений imperia apetitta тостовий,1,45.0,0.1,kg,Продукт сирний плавлений Imperia Apetitta Тостовий 45% 100г,сирний плавлений Imperia Apetitta Тостовий,1,2025-11-04,2025-11-04
Novus,cheese|na|сирний плавлений житомирський копчений,cheese,,сирний плавлений житомирський копчений,1,40.0,,,Продукт сирний плавлений Житомирський копчений 40%,сирний плавлений Житомирський копчений,1,2025-11-04,2025-11-04
