product,product_label,candidate,candidate_label,observed_col,baseline_col,discount_col,support_col,n_obs,coverage_share,best_corr_prozorro,best_lag_prozorro,best_corr_consumer,best_lag_consumer,discount_std,median_item_support,overlap_prozorro_n,overlap_consumer_n,coverage_share_scaled,best_corr_prozorro_scaled,best_corr_consumer_scaled,discount_std_scaled,median_item_support_scaled,selection_score
butter,Butter,retail_merged,Retail merged full list,retail_category_observed_model,retail_category_baseline_model,retail_discount_share,retail_n_item_keys,67,0.04533152909336942,-0.33362554593910726,18.0,,,0.08528172879021308,101.0,67,0,0.9305555555555556,0.595869268870068,0.0,0.19488735877025948,0.15562403697996918,0.5007597887517085
butter,Butter,retail_matched,Retail matched cross-shop,retail_matched_category_observed_model,retail_matched_category_baseline_model,retail_matched_discount_share,retail_matched_n_item_keys,61,0.041271989174560215,-0.3757918057738585,24.0,,,0.10643110927039445,13.0,61,0,0.8472222222222222,0.6711799839053741,0.0,0.24321830796512198,0.020030816640986132,0.482847115130939
butter,Butter,silpo,Silpo only,silpo_category_observed_model,silpo_category_baseline_model,silpo_discount_share,silpo_n_item_keys,51,0.03450608930987822,-0.3588118587988948,17.0,,,0.050220386825419176,101.0,51,0,0.7083333333333334,0.6408530838445772,0.0,0.11476454199120165,0.15562403697996918,0.4395759848994887
butter,Butter,novus,Novus only,novus_category_observed_model,novus_category_baseline_model,novus_discount_share,novus_n_item_keys,32,0.02165087956698241,-0.4623548506388245,10.0,,,0.0,1.0,32,0,0.4444444444444445,0.825785225868076,0.0,0.0,0.0015408320493066256,0.38130002590115214
cheese,CHEESE,retail_merged,Retail merged full list,retail_category_observed_model,retail_category_baseline_model,retail_discount_share,retail_n_item_keys,71,0.04803788903924222,-0.3131595892514543,4.0,0.17909583422883923,14.0,0.10256387611152983,104.0,71,71,0.9861111111111112,0.5593162087203394,0.24962700682034056,0.23438083636632406,0.16024653312788906,0.5485473105783019
cheese,CHEESE,retail_matched,Retail matched cross-shop,retail_matched_category_observed_model,retail_matched_category_baseline_model,retail_matched_discount_share,retail_matched_n_item_keys,61,0.041271989174560215,-0.3128237510202734,3.0,-0.26730367055194276,2.0,0.10291165879535899,15.0,61,61,0.8472222222222222,0.5587163875024854,0.37257268143218025,0.2351755956851018,0.023112480739599383,0.5046519168116894
cheese,CHEESE,novus,Novus only,novus_category_observed_model,novus_category_baseline_model,novus_discount_share,novus_n_item_keys,57,0.03856562922868741,0.19964965874709165,18.0,-0.3131450272898234,9.0,0.0,2.0,57,57,0.7916666666666666,0.35658269468819803,0.4364671919903601,0.0,0.0030816640986132513,0.4104071368198054
cheese,CHEESE,silpo,Silpo only,silpo_category_observed_model,silpo_category_baseline_model,silpo_discount_share,silpo_n_item_keys,51,0.03450608930987822,0.2786204949052894,19.0,-0.058510404672179044,4.0,0.03235917806461355,104.0,51,51,0.7083333333333334,0.49762793230987545,0.08155285827307647,0.07394778265462149,0.16024653312788906,0.4054530666685696
condensed_milk,Condensed milk,retail_merged,Retail merged full list,retail_category_observed_model,retail_category_baseline_model,retail_discount_share,retail_n_item_keys,64,0.04330175913396482,-0.3782838684483366,26.0,,,0.08452374280907238,29.0,64,0,0.888888888888889,0.6756309127442907,0.0,0.19315519541071058,0.04468412942989214,0.49537407944550876
condensed_milk,Condensed milk,retail_matched,Retail matched cross-shop,retail_matched_category_observed_model,retail_matched_category_baseline_model,retail_matched_discount_share,retail_matched_n_item_keys,51,0.03450608930987822,0.28716166633864887,3.0,,,0.4375949744936837,1.0,51,0,0.7083333333333334,0.5128828240267668,0.0,1.0,0.0015408320493066256,0.466595972015426
