product,product_literal,retailer,n_rows,n_dates,n_item_keys,n_brands,matched_share,mean_discount_share,median_price
butter,butter,Novus,54,11,35,26,0.4444444444444444,0.0,119.0
butter,butter,Silpo,5610,48,113,38,0.18841354723707665,0.22620320855614973,72.49
cheese,hard_cheese,Novus,552,32,526,166,0.0,0.0,189.0
cheese,cottage_cheese,Novus,57,12,32,16,0.543859649122807,0.0,89.99
cheese,cottage_cheese,Silpo,4161,48,65,21,0.3239605863975006,0.23648161499639508,59.99
cheese,hard_cheese,Silpo,2179,48,48,17,0.0,0.24598439651216153,52.49
condensed_milk,condensed_milk,Novus,31,8,24,12,0.0967741935483871,0.0,78.99
condensed_milk,condensed_milk,Silpo,1528,48,30,15,0.031413612565445025,0.20287958115183247,64.49
cream,cream,Novus,85,17,65,35,0.2823529411764706,0.0,76.99
cream,cream,Silpo,3699,48,63,32,0.2662881859962152,0.3073803730738037,56.99
milk,milk,Novus,111,20,74,27,0.4594594594594595,0.0,63.99
milk,kefir,Novus,40,9,26,18,0.675,0.0,58.99
milk,ayran,Novus,11,3,8,3,0.36363636363636365,0.0,61.99
milk,ryazhanka,Novus,10,5,8,5,0.9,0.0,57.49
milk,milk,Silpo,12007,48,203,53,0.2257016740234863,0.2710918630798701,59.9
milk,kefir,Silpo,4426,48,60,34,0.4252146407591505,0.22661545413465883,54.99
milk,ryazhanka,Silpo,1918,48,34,19,0.31908237747653806,0.25495307612095935,49.99
milk,ayran,Silpo,927,48,18,5,0.16828478964401294,0.267529665587918,54.9
milk_powder,milk_powder,Novus,2,1,2,2,0.5,0.0,164.0
milk_powder,milk_powder,Silpo,210,48,4,3,0.22857142857142856,0.3904761904761905,82.445
other,eggs,Novus,46,5,45,23,0.08695652173913043,0.0,88.99
other,other_dairy,Novus,41,5,41,18,0.0,0.0,47.49
other,other_dairy,Silpo,2708,54,60,23,0.0,0.22673559822747416,71.49
other,eggs,Silpo,2589,48,56,12,0.07415990730011587,0.21629972962533797,65.99
sour_cream,sour_cream,Novus,61,11,28,17,0.7868852459016393,0.0,59.99
sour_cream,sour_cream,Silpo,5176,48,60,36,0.43353941267387947,0.24169242658423493,54.99
yogurt_dessert,yogurt,Novus,238,25,199,33,0.5210084033613446,0.0,41.49
yogurt_dessert,dessert,Novus,108,18,103,26,0.1388888888888889,0.0,37.79
yogurt_dessert,yogurt,Silpo,24448,48,506,62,0.24145124345549737,0.28251799738219896,53.99
yogurt_dessert,dessert,Silpo,9263,48,215,44,0.07222282197992011,0.3017380978084854,55.49
