date,product,product_label,retail_optimal_observed,retail_optimal_baseline,retail_optimal_observed_model,retail_optimal_baseline_model,retail_optimal_discount_share,retail_optimal_n_item_keys
2021-12-30,butter,Butter,,,,,,
2021-12-31,butter,Butter,,,,,,
2022-01-01,butter,Butter,,,,,,
2022-01-02,butter,Butter,,,,,,
2022-01-03,butter,Butter,,,,,,
2022-01-04,butter,Butter,,,,,,
2022-01-05,butter,Butter,,,,,,
2022-01-06,butter,Butter,,,,,,
2022-01-07,butter,Butter,,,,,,
2022-01-08,butter,Butter,,,,,,
2022-01-09,butter,Butter,,,,,,
2022-01-10,butter,Butter,,,,,,
2022-01-11,butter,Butter,,,,,,
2022-01-12,butter,Butter,,,,,,
2022-01-13,butter,Butter,,,,,,
2022-01-14,butter,Butter,,,,,,
2022-01-15,butter,Butter,,,,,,
2022-01-16,butter,Butter,,,,,,
2022-01-17,butter,Butter,,,,,,
2022-01-18,butter,Butter,,,,,,
2022-01-19,butter,Butter,,,,,,
2022-01-20,butter,Butter,,,,,,
2022-01-21,butter,Butter,,,,,,
2022-01-22,butter,Butter,,,,,,
2022-01-23,butter,Butter,,,,,,
2022-01-24,butter,Butter,,,,,,
2022-01-25,butter,Butter,,,,,,
2022-01-26,butter,Butter,,,,,,
2022-01-27,butter,Butter,,,,,,
2022-01-28,butter,Butter,,,,,,
2022-01-29,butter,Butter,,,,,,
2022-01-30,butter,Butter,,,,,,
2022-01-31,butter,Butter,,,,,,
2022-02-01,butter,Butter,,,,,,
2022-02-02,butter,Butter,,,,,,
2022-02-03,butter,Butter,,,,,,
2022-02-04,butter,Butter,,,,,,
2022-02-05,butter,Butter,,,,,,
2022-02-06,butter,Butter,,,,,,
2022-02-07,butter,Butter,,,,,,
2022-02-08,butter,Butter,,,,,,
2022-02-09,butter,Butter,,,,,,
2022-02-10,butter,Butter,,,,,,
2022-02-11,butter,Butter,,,,,,
2022-02-12,butter,Butter,,,,,,
2022-02-13,butter,Butter,,,,,,
2022-02-14,butter,Butter,,,,,,
2022-02-15,butter,Butter,,,,,,
2022-02-16,butter,Butter,,,,,,
2022-02-17,butter,Butter,,,,,,
2022-02-18,butter,Butter,,,,,,
2022-02-19,butter,Butter,,,,,,
2022-02-20,butter,Butter,,,,,,
2022-02-21,butter,Butter,,,,,,
2022-02-22,butter,Butter,,,,,,
2022-02-23,butter,Butter,,,,,,
2022-02-24,butter,Butter,,,,,,
2022-02-25,butter,Butter,,,,,,
2022-02-26,butter,Butter,,,,,,
2022-02-27,butter,Butter,,,,,,
2022-02-28,butter,Butter,,,,,,
2022-03-01,butter,Butter,,,,,,
2022-03-02,butter,Butter,,,,,,
2022-03-03,butter,Butter,,,,,,
