date,period,territory,source,stage,product,Тип товарів і послуг,price_raw,price_uah_kg,unit_raw,unit_clean,quality_flag
2017-01-01,2017-M01,Івано-Франківська,SSSU consumer prices raw workbook,official_consumer,drinking_milk,"Молоко пастеризоване жирністю до 2,6% включно",18.54,18.54,1000 г,UAH/kg,ok
2017-02-01,2017-M02,Івано-Франківська,SSSU consumer prices raw workbook,official_consumer,drinking_milk,"Молоко пастеризоване жирністю до 2,6% включно",19.09,19.09,1000 г,UAH/kg,ok
2017-03-01,2017-M03,Івано-Франківська,SSSU consumer prices raw workbook,official_consumer,drinking_milk,"Молоко пастеризоване жирністю до 2,6% включно",19.7,19.7,1000 г,UAH/kg,ok
2017-04-01,2017-M04,Івано-Франківська,SSSU consumer prices raw workbook,official_consumer,drinking_milk,"Молоко пастеризоване жирністю до 2,6% включно",19.36,19.36,1000 г,UAH/kg,ok
2017-05-01,2017-M05,Івано-Франківська,SSSU consumer prices raw workbook,official_consumer,drinking_milk,"Молоко пастеризоване жирністю до 2,6% включно",19.54,19.54,1000 г,UAH/kg,ok
2017-06-01,2017-M06,Івано-Франківська,SSSU consumer prices raw workbook,official_consumer,drinking_milk,"Молоко пастеризоване жирністю до 2,6% включно",19.46,19.46,1000 г,UAH/kg,ok
2017-07-01,2017-M07,Івано-Франківська,SSSU consumer prices raw workbook,official_consumer,drinking_milk,"Молоко пастеризоване жирністю до 2,6% включно",19.58,19.58,1000 г,UAH/kg,ok
2017-08-01,2017-M08,Івано-Франківська,SSSU consumer prices raw workbook,official_consumer,drinking_milk,"Молоко пастеризоване жирністю до 2,6% включно",19.77,19.77,1000 г,UAH/kg,ok
2017-09-01,2017-M09,Івано-Франківська,SSSU consumer prices raw workbook,official_consumer,drinking_milk,"Молоко пастеризоване жирністю до 2,6% включно",20.1,20.1,1000 г,UAH/kg,ok
2017-10-01,2017-M10,Івано-Франківська,SSSU consumer prices raw workbook,official_consumer,drinking_milk,"Молоко пастеризоване жирністю до 2,6% включно",20.94,20.94,1000 г,UAH/kg,ok
2017-11-01,2017-M11,Івано-Франківська,SSSU consumer prices raw workbook,official_consumer,drinking_milk,"Молоко пастеризоване жирністю до 2,6% включно",21.53,21.53,1000 г,UAH/kg,ok
2017-12-01,2017-M12,Івано-Франківська,SSSU consumer prices raw workbook,official_consumer,drinking_milk,"Молоко пастеризоване жирністю до 2,6% включно",21.96,21.96,1000 г,UAH/kg,ok
2018-01-01,2018-M01,Івано-Франківська,SSSU consumer prices raw workbook,official_consumer,drinking_milk,"Молоко пастеризоване жирністю до 2,6% включно",22.12,22.12,1000 г,UAH/kg,ok
