model_family,n_obs,coef,pvalue,ect_coef,ect_pvalue,cointegration_p,diagnostic_ljungbox_p,diagnostic_bp_p,r2,detail,hypothesis,source_block,data_layer,frequency,link,x_product,product,period_start,period_end,speed_measure,asymmetry_measure,pos_ect_coef,neg_ect_coef,pos_ect_p,neg_ect_p,horizon,retailer,price_measure,discount_mean,sku_support,reliability_raw,admissibility_status,mapping_type
DOLS,126,1.0760876446873726,0.0,,0.1168504058925085,0.1168504058925085,1.0245476801211823e-54,0.06692279031730204,0.9895007424347056,Dynamic Ordinary Least Squares with leads/lags of upstream changes.,H1,newmodel_v2,official_monthly,monthly,FarmGate -> Processor,raw_milk,butter,2015-02-01,2026-03-01,,,,,,,,,,,,probable / needs validation,acceptable,direct_or_title_repaired
Threshold ECM (Loy-style),129,1.0701571865372412,1.2492453302399624e-110,-0.026121009475684968,0.4061577929161041,0.8918759855064682,0.016587516145800372,0.6020997272009225,0.35918778082398983,Restricted two-regime error correction; first-stage speed/asymmetry follows Loy et al.,H1,newmodel_v2,official_monthly,monthly,FarmGate -> Processor,raw_milk,butter,2015-02-01,2026-03-01,0.026121009475684968,0.0419346312361825,-0.005153693857593721,-0.047088325093776216,0.9339989188941684,0.4061577929161041,,,,,,probable / needs validation,acceptable,direct_or_title_repaired
Local Projection h=1 month,128,-0.005649339742552703,0.9241616677503024,,,,1.5559314357612644e-12,0.0339026037686116,0.10097476867268729,Jorda local projection pass-through response.,H1,newmodel_v2,official_monthly,monthly,FarmGate -> Processor,raw_milk,butter,2015-02-01,2026-03-01,,,,,,,1.0,,,,,unreliable / appendix only,acceptable,direct_or_title_repaired
Local Projection h=3 month,126,-0.08093714078165326,0.4326503444759132,,,,1.1753241011173799e-26,0.09060848558410382,0.08096433489387889,Jorda local projection pass-through response.,H1,newmodel_v2,official_monthly,monthly,FarmGate -> Processor,raw_milk,butter,2015-02-01,2026-03-01,,,,,,,3.0,,,,,unreliable / appendix only,acceptable,direct_or_title_repaired
Local Projection h=6 month,123,-0.3516533268994795,4.032977494515977e-05,,,,7.138227722051268e-44,0.04979900830173733,0.15928055894521498,Jorda local projection pass-through response.,H1,newmodel_v2,official_monthly,monthly,FarmGate -> Processor,raw_milk,butter,2015-02-01,2026-03-01,,,,,,,6.0,,,,,probable / needs validation,acceptable,direct_or_title_repaired
DOLS,126,0.9455561251543918,0.0,,0.027639338288970278,0.027639338288970278,2.900163651719244e-50,0.0002609740279316499,0.9881218881099679,Dynamic Ordinary Least Squares with leads/lags of upstream changes.,H1,newmodel_v2,official_monthly,monthly,FarmGate -> Processor,raw_milk,drinking_milk,2015-02-01,2026-03-01,,,,,,,,,,,,probable / needs validation,acceptable,direct_or_title_repaired
Threshold ECM (Loy-style),129,0.9445887778165967,5.804745728213083e-109,-0.04406744087521304,0.4712212290606095,0.025709411045088927,0.8658248444539522,2.168455701905234e-05,0.30182612045901036,Restricted two-regime error correction; first-stage speed/asymmetry follows Loy et al.,H1,newmodel_v2,official_monthly,monthly,FarmGate -> Processor,raw_milk,drinking_milk,2015-02-01,2026-03-01,0.04406744087521304,0.02219712968227744,-0.03296887603407432,-0.05516600571635176,0.6108031307460877,0.4712212290606095,,,,,,reliable,acceptable,direct_or_title_repaired
Local Projection h=1 month,128,0.13788707166486605,0.028584022507548292,,,,0.2958486564671861,4.082112154431962e-05,0.10508187675175285,Jorda local projection pass-through response.,H1,newmodel_v2,official_monthly,monthly,FarmGate -> Processor,raw_milk,drinking_milk,2015-02-01,2026-03-01,,,,,,,1.0,,,,,reliable,acceptable,direct_or_title_repaired
Local Projection h=3 month,126,0.14747869611048298,0.15669464975653044,,,,2.559078458943424e-19,0.01851199737964954,0.040073947022086,Jorda local projection pass-through response.,H1,newmodel_v2,official_monthly,monthly,FarmGate -> Processor,raw_milk,drinking_milk,2015-02-01,2026-03-01,,,,,,,3.0,,,,,unreliable / appendix only,acceptable,direct_or_title_repaired
Local Projection h=6 month,123,-0.0963538472967846,0.410868705632607,,,,2.750415766896496e-35,0.26868104089049594,0.07841127448991259,Jorda local projection pass-through response.,H1,newmodel_v2,official_monthly,monthly,FarmGate -> Processor,raw_milk,drinking_milk,2015-02-01,2026-03-01,,,,,,,6.0,,,,,unreliable / appendix only,acceptable,direct_or_title_repaired
