hypothesis,source_block,model_family,frequency,link,product,product_label,n_obs,coef,pvalue,ect_coef,ect_pvalue,cointegration_p,admissibility_status,mapping_type,diagnostic_ljungbox_p,asymmetry_pvalue,reliability_raw,interpretation_source,diagnostic_bp_p,r2,detail,data_layer,x_product,period_start,period_end,speed_measure,asymmetry_measure,pos_ect_coef,neg_ect_coef,pos_ect_p,neg_ect_p,horizon,retailer,price_measure,discount_mean,sku_support,abs_coef,large_coef_flag,peak_coef_flag,intersection_score,significant_flag,direct_bad_link_flag,integrated_reliability,thesis_use
H1,old_final_core_weekly,ECM,weekly/monthly,FarmGate -> Procurement,butter,Butter,37.0,1.6299229189501268,5.007681598294524e-08,-0.6043123382958279,5.007681598294524e-08,7.427564536896012e-06,weak_extension,inferred,0.5650764588239303,,reliable,previous model output,,,,,,,,,,,,,,,,,,,1.6299229189501268,False,False,1.0,True,False,probable / supporting,short supporting block or appendix
H1,old_final_core_weekly,NARDL,weekly/monthly,FarmGate -> Procurement,butter,Butter,37.0,3.578983527939642,2.1003996904809485e-06,-0.7597660835567109,2.1003996904809485e-06,,weak_extension,inferred,0.7469862473784034,0.0092131240992168,reliable,previous model output,,,,,,,,,,,,,,,,,,,3.578983527939642,False,False,1.0,True,False,probable / supporting,short supporting block or appendix
H1,old_final_core_weekly,NARDL,weekly/monthly,FarmGate -> Procurement,butter,Butter,39.0,2.239254641549302,0.0003648512963013,-0.3759375446724709,0.0003648512963013,,weak_extension,inferred,0.8634120022289299,0.0935304314687133,reliable,previous model output,,,,,,,,,,,,,,,,,,,2.239254641549302,False,False,1.0,True,False,probable / supporting,short supporting block or appendix
H1,old_final_core_weekly,ECM,weekly/monthly,FarmGate -> Producer,butter,Butter,208.0,1.4812452605612247,0.0021596469169861,-0.0463071857215099,0.0021596469169861,0.000593391950835,acceptable,inferred,0.4420875574627414,,reliable,previous model output,,,,,,,,,,,,,,,,,,,1.4812452605612247,False,False,2.0,True,False,main reliable,main text
H1,old_final_core_weekly,ECM,weekly/monthly,FarmGate -> Producer,butter,Butter,210.0,1.4814804195963365,0.0056265349948274,-0.0391859526859152,0.0056265349948274,0.0006816120902666,acceptable,inferred,0.1494525486337221,,reliable,previous model output,,,,,,,,,,,,,,,,,,,1.4814804195963365,False,False,2.0,True,False,main reliable,main text
H1,old_final_core_weekly,NARDL,weekly/monthly,FarmGate -> Producer,butter,Butter,210.0,-1.1702326669505814,0.0007958899878906,-0.056944651760998,0.0007958899878906,,acceptable,inferred,0.0003478365338418,0.3806674088636834,conditionally_usable,previous model output,,,,,,,,,,,,,,,,,,,1.1702326669505814,False,False,2.0,True,False,probable / supporting,short supporting block or appendix
H1,old_final_core_weekly,NARDL,weekly/monthly,FarmGate -> Producer,butter,Butter,210.0,-0.8031929642497188,0.0001145886698953,-0.0558284596955735,0.0001145886698953,,acceptable,inferred,0.0137129910304974,0.5126425241968662,conditionally_usable,previous model output,,,,,,,,,,,,,,,,,,,0.8031929642497188,False,False,2.0,True,False,probable / supporting,short supporting block or appendix
H2,old_final_core_weekly,NARDL,weekly/monthly,Producer -> Procurement,butter,Butter,37.0,0.2216875164584898,0.0001597861906466,-0.7932274610664828,0.0001597861906466,,weak_extension,direct,0.2530379922459903,0.4944254604683991,conditionally_usable,previous model output,,,,,,,,,,,,,,,,,,,0.2216875164584898,False,False,1.0,True,False,probable / supporting,short supporting block or appendix
H2,old_final_core_weekly,NARDL,weekly/monthly,Producer -> Procurement,butter,Butter,39.0,2.4550128775822087,0.0892300895347895,-0.2248625767689986,0.0892300895347895,,weak_extension,direct,0.0886575813424226,0.0008980653442787,reliable,previous model output,,,,,,,,,,,,,,,,,,,2.4550128775822087,False,False,1.0,True,False,probable / supporting,short supporting block or appendix
H1,old_final_core_weekly,ECM,weekly/monthly,FarmGate -> Procurement,cheese,CHEESE,36.0,1.894097129074936,2.927927334878233e-09,-1.4969793866922574,2.927927334878233e-09,0.0006281500054102,weak_extension,inferred,0.7402819969738974,,reliable,previous model output,,,,,,,,,,,,,,,,,,,1.894097129074936,False,False,1.0,True,False,probable / supporting,short supporting block or appendix
