model_family,n_obs,coef,pvalue,ect_coef,ect_pvalue,cointegration_p,diagnostic_ljungbox_p,diagnostic_bp_p,r2,detail,hypothesis,source_block,data_layer,frequency,link,x_product,product,period_start,period_end,speed_measure,asymmetry_measure,pos_ect_coef,neg_ect_coef,pos_ect_p,neg_ect_p,horizon,retailer,price_measure,discount_mean_x,sku_support_x,reliability_raw,admissibility_status,mapping_type,discount_mean_y,sku_support_y,perishable,retail_link
Threshold ECM (Loy-style),129,1.0701571865372412,1.2492453302399624e-110,-0.026121009475684968,0.4061577929161041,0.8918759855064682,0.016587516145800372,0.6020997272009225,0.35918778082398983,Restricted two-regime error correction; first-stage speed/asymmetry follows Loy et al.,H1,newmodel_v2,official_monthly,monthly,FarmGate -> Processor,raw_milk,butter,2015-02-01,2026-03-01,0.026121009475684968,0.0419346312361825,-0.005153693857593721,-0.047088325093776216,0.9339989188941684,0.4061577929161041,,,,,,probable / needs validation,acceptable,direct_or_title_repaired,0.1941059309286176,114.0,0,0
Threshold ECM (Loy-style),129,0.9445887778165967,5.804745728213083e-109,-0.04406744087521304,0.4712212290606095,0.025709411045088927,0.8658248444539522,2.168455701905234e-05,0.30182612045901036,Restricted two-regime error correction; first-stage speed/asymmetry follows Loy et al.,H1,newmodel_v2,official_monthly,monthly,FarmGate -> Processor,raw_milk,drinking_milk,2015-02-01,2026-03-01,0.04406744087521304,0.02219712968227744,-0.03296887603407432,-0.05516600571635176,0.6108031307460877,0.4712212290606095,,,,,,reliable,acceptable,direct_or_title_repaired,0.20349420622806302,198.0,1,0
Threshold ECM (Loy-style),129,0.8742259292751426,7.033818236105677e-114,-0.005096098619368529,0.09037114561729838,0.0008517769933711263,0.329193333594649,0.3712914619101955,0.34942804103671,Restricted two-regime error correction; first-stage speed/asymmetry follows Loy et al.,H1,newmodel_v2,official_monthly,monthly,FarmGate -> Processor,raw_milk,hard_cheese,2015-02-01,2026-03-01,0.09374756249949862,-0.18749512499899723,-0.09884366111886715,0.0886514638801301,0.09037114561729838,0.09729953327105766,,,,,,reliable,acceptable,direct_or_title_repaired,0.0,1.0,0,0
Threshold ECM (Loy-style),129,0.9626797638227573,2.1108525516541437e-110,0.01777534907264019,0.6891608869240917,0.006762792949678886,0.051470620210114525,0.013161741987571161,0.22365258682400257,Restricted two-regime error correction; first-stage speed/asymmetry follows Loy et al.,H1,newmodel_v2,official_monthly,monthly,FarmGate -> Processor,raw_milk,kefir,2015-02-01,2026-03-01,0.01777534907264019,0.010416663629678993,0.022983680887479683,0.01256701725780069,0.6891608869240917,0.8195456265777382,,,,,,reliable,acceptable,direct_or_title_repaired,0.20210482001991636,90.0,1,0
Threshold ECM (Loy-style),129,0.7803301114935992,1.4001044413309458e-67,-0.012167748114839994,0.5091546921873026,0.30586536416935806,0.6638886831907121,0.40514377965437576,0.1667491182222257,Restricted two-regime error correction; first-stage speed/asymmetry follows Loy et al.,H1,newmodel_v2,official_monthly,monthly,FarmGate -> Processor,raw_milk,skim_milk_powder,2015-02-01,2026-03-01,0.012889372554639945,-0.02577874510927989,-0.02505712066947994,0.0007216244397999505,0.5091546921873026,0.9863507664118422,,,,,,reliable,acceptable,direct_or_title_repaired,,,0,0
Threshold ECM (Loy-style),129,0.922719233444665,7.30782255785788e-105,-0.06536045374250031,0.10966490019858684,0.0062936397347209865,0.14899758928517054,0.0004839851952700656,0.2978791800761674,Restricted two-regime error correction; first-stage speed/asymmetry follows Loy et al.,H1,newmodel_v2,official_monthly,monthly,FarmGate -> Processor,raw_milk,sour_cream,2015-02-01,2026-03-01,0.06536045374250031,0.08175071094580083,-0.024485098269599888,-0.10623580921540073,0.5925301940372614,0.10966490019858684,,,,,,reliable,acceptable,direct_or_title_repaired,0.21240476236476635,105.0,1,0
Threshold ECM (Loy-style),34,1.375829119489285,2.450636837667958e-14,-0.4888617792280209,0.15360811893942164,0.006128453337919432,0.3399219624631378,0.8809089867881432,0.3279864995810924,Restricted two-regime error correction; first-stage speed/asymmetry follows Loy et al.,H1,newmodel_v2,prozorro_monthly,monthly,FarmGate -> ProZorro,raw_milk,butter,2023-02-01,2026-03-01,0.4888617792280209,0.45980496842869795,-0.25895929501367193,-0.7187642634423699,0.5502932998853903,0.15360811893942164,,,,,,unreliable / appendix only,too_short,direct_or_title_repaired,0.1941059309286176,114.0,0,0
Threshold ECM (Loy-style),32,0.426785017510643,0.003922113779536508,-0.7990052437780344,8.889890854675491e-05,7.99975888111809e-06,0.8012290077011535,0.5878832339650052,0.553327730022608,Restricted two-regime error correction; first-stage speed/asymmetry follows Loy et al.,H1,newmodel_v2,prozorro_monthly,monthly,FarmGate -> ProZorro,raw_milk,condensed_milk,2023-04-01,2026-03-01,0.7990052437780344,-0.22356851269879574,-0.9107895001274322,-0.6872209874286365,8.889890854675491e-05,0.027305190225692017,,,,,,unreliable / appendix only,too_short,direct_or_title_repaired,0.19030345326716297,31.0,0,0
Threshold ECM (Loy-style),34,0.2692573342835351,0.025893676047811492,-0.6928568588939258,0.00716558934623133,0.010537511944214146,0.9802472362804725,0.5146061266710565,0.3169476811169797,Restricted two-regime error correction; first-stage speed/asymmetry follows Loy et al.,H1,newmodel_v2,prozorro_monthly,monthly,FarmGate -> ProZorro,raw_milk,cottage_cheese,2023-02-01,2026-03-01,0.6928568588939258,0.20715491021150778,-0.5892794037881719,-0.7964343139996797,0.00716558934623133,0.008791491184020422,,,,,,unreliable / appendix only,too_short,direct_or_title_repaired,0.2080922651448628,70.0,0,0
Threshold ECM (Loy-style),34,0.8067152668516892,4.866765738235573e-13,-0.4045478164642314,0.02408124385821151,0.6821009269343109,0.3456170811933499,0.5295036169771123,0.22005561441394383,Restricted two-regime error correction; first-stage speed/asymmetry follows Loy et al.,H1,newmodel_v2,prozorro_monthly,monthly,FarmGate -> ProZorro,raw_milk,drinking_milk,2023-02-01,2026-03-01,0.4045478164642314,0.4800733798799727,-0.16451112652424502,-0.6445845064042177,0.5943708765357845,0.02408124385821151,,,,,,unreliable / appendix only,too_short,direct_or_title_repaired,0.20349420622806302,198.0,1,0
Threshold ECM (Loy-style),34,0.8857793919875823,5.744581169083345e-10,-0.6951373036801096,1.2830550423730317e-07,2.102729295590413e-05,0.7828503166809335,0.3846621798128634,0.5815158583935471,Restricted two-regime error correction; first-stage speed/asymmetry follows Loy et al.,H1,newmodel_v2,prozorro_monthly,monthly,FarmGate -> ProZorro,raw_milk,hard_cheese,2023-02-01,2026-03-01,0.6951373036801096,-0.7550549276318015,-1.0726647674960104,-0.3176098398642089,1.2830550423730317e-07,0.3697654575097232,,,,,,unreliable / appendix only,too_short,direct_or_title_repaired,0.0,1.0,0,0
Threshold ECM (Loy-style),32,0.5958377785153127,5.2631573967273725e-06,-0.747072049320693,2.156716124571736e-09,0.0005579209231851105,0.8318211315085493,0.5451168891240006,0.5774602155344285,Restricted two-regime error correction; first-stage speed/asymmetry follows Loy et al.,H1,newmodel_v2,prozorro_monthly,monthly,FarmGate -> ProZorro,raw_milk,kefir,2023-02-01,2026-03-01,0.747072049320693,-0.8564005909540295,-1.1752723447977078,-0.31887175384367833,2.156716124571736e-09,0.11317973547789699,,,,,,unreliable / appendix only,too_short,direct_or_title_repaired,0.20210482001991636,90.0,1,0
Threshold ECM (Loy-style),109,0.8864868219006117,3.124292954620691e-98,-0.0644435611533485,0.10837912582215008,0.7886813741318777,0.9477371657250953,0.03928341987635999,0.3242179276809092,Restricted two-regime error correction; first-stage speed/asymmetry follows Loy et al.,H2,newmodel_v2,official_monthly,monthly,Processor -> Consumer,drinking_milk,drinking_milk,2017-02-01,2026-03-01,0.0644435611533485,-0.02787390656867217,-0.07838051443768458,-0.05050660786901241,0.10837912582215008,0.42864453088030363,,,,,,reliable,acceptable,direct_or_title_repaired,0.20349420622806302,198.0,1,1
