hypothesis,source_block,model_family,frequency,link,product,product_label,n_obs,coef,pvalue,ect_coef,ect_pvalue,cointegration_p,admissibility_status,mapping_type,diagnostic_ljungbox_p,asymmetry_pvalue,reliability_raw,interpretation_source,diagnostic_bp_p,r2,detail,data_layer,x_product,period_start,period_end,speed_measure,asymmetry_measure,pos_ect_coef,neg_ect_coef,pos_ect_p,neg_ect_p,horizon,retailer,price_measure,discount_mean,sku_support,abs_coef,large_coef_flag,peak_coef_flag,intersection_score,significant_flag,direct_bad_link_flag,integrated_reliability,thesis_use,score,selection_reason
H1,newmodel_v2,Threshold ECM (Loy-style),monthly,FarmGate -> ProZorro,butter,,34.0,1.375829119489285,2.450636837667958e-14,-0.4888617792280209,0.15360811893942164,0.006128453337919432,too_short,direct_or_title_repaired,0.3399219624631378,,unreliable / appendix only,new v2 additional model,0.8809089867881432,0.3279864995810924,Restricted two-regime error correction; first-stage speed/asymmetry follows Loy et al.,prozorro_monthly,raw_milk,2023-02-01,2026-03-01,0.4888617792280209,0.45980496842869795,-0.25895929501367193,-0.7187642634423699,0.5502932998853903,0.15360811893942164,,,,,,1.375829119489285,False,False,0.0,True,False,appendix or discard,appendix only / do not headline,108.55534806148941,appendix or discard; n=34.0; coef=1.38; p=2.45e-14; source=newmodel_v2
H1,newmodel_v2,Threshold ECM (Loy-style),monthly,FarmGate -> ProZorro,condensed_milk,,32.0,0.426785017510643,0.003922113779536508,-0.7990052437780344,8.889890854675491e-05,7.99975888111809e-06,too_short,direct_or_title_repaired,0.8012290077011535,,unreliable / appendix only,new v2 additional model,0.5878832339650052,0.553327730022608,Restricted two-regime error correction; first-stage speed/asymmetry follows Loy et al.,prozorro_monthly,raw_milk,2023-04-01,2026-03-01,0.7990052437780344,-0.22356851269879574,-0.9107895001274322,-0.6872209874286365,8.889890854675491e-05,0.027305190225692017,,,,,,0.426785017510643,False,False,0.0,True,False,appendix or discard,appendix only / do not headline,108.49650756146649,appendix or discard; n=32.0; coef=0.427; p=0.00392; source=newmodel_v2
H1,newmodel_v2,Threshold ECM (Loy-style),monthly,FarmGate -> ProZorro,cottage_cheese,,34.0,0.2692573342835351,0.025893676047811492,-0.6928568588939258,0.00716558934623133,0.010537511944214146,too_short,direct_or_title_repaired,0.9802472362804725,,unreliable / appendix only,new v2 additional model,0.5146061266710565,0.3169476811169797,Restricted two-regime error correction; first-stage speed/asymmetry follows Loy et al.,prozorro_monthly,raw_milk,2023-02-01,2026-03-01,0.6928568588939258,0.20715491021150778,-0.5892794037881719,-0.7964343139996797,0.00716558934623133,0.008791491184020422,,,,,,0.2692573342835351,False,False,0.0,True,False,appendix or discard,appendix only / do not headline,108.55534806148941,appendix or discard; n=34.0; coef=0.269; p=0.0259; source=newmodel_v2
H1,newmodel_v2,Threshold ECM (Loy-style),monthly,FarmGate -> ProZorro,drinking_milk,,34.0,0.8067152668516892,4.866765738235573e-13,-0.4045478164642314,0.02408124385821151,0.6821009269343109,too_short,direct_or_title_repaired,0.3456170811933499,,unreliable / appendix only,new v2 additional model,0.5295036169771123,0.22005561441394383,Restricted two-regime error correction; first-stage speed/asymmetry follows Loy et al.,prozorro_monthly,raw_milk,2023-02-01,2026-03-01,0.4045478164642314,0.4800733798799727,-0.16451112652424502,-0.6445845064042177,0.5943708765357845,0.02408124385821151,,,,,,0.8067152668516892,False,False,0.0,True,False,appendix or discard,appendix only / do not headline,108.55534806148941,appendix or discard; n=34.0; coef=0.807; p=4.87e-13; source=newmodel_v2
H1,newmodel_v2,Threshold ECM (Loy-style),monthly,FarmGate -> ProZorro,hard_cheese,,34.0,0.8857793919875823,5.744581169083345e-10,-0.6951373036801096,1.2830550423730317e-07,2.102729295590413e-05,too_short,direct_or_title_repaired,0.7828503166809335,,unreliable / appendix only,new v2 additional model,0.3846621798128634,0.5815158583935471,Restricted two-regime error correction; first-stage speed/asymmetry follows Loy et al.,prozorro_monthly,raw_milk,2023-02-01,2026-03-01,0.6951373036801096,-0.7550549276318015,-1.0726647674960104,-0.3176098398642089,1.2830550423730317e-07,0.3697654575097232,,,,,,0.8857793919875823,False,False,0.0,True,False,appendix or discard,appendix only / do not headline,108.55534806148941,appendix or discard; n=34.0; coef=0.886; p=5.74e-10; source=newmodel_v2
H1,newmodel_v2,Threshold ECM (Loy-style),monthly,FarmGate -> ProZorro,kefir,,32.0,0.5958377785153127,5.2631573967273725e-06,-0.747072049320693,2.156716124571736e-09,0.0005579209231851105,too_short,direct_or_title_repaired,0.8318211315085493,,unreliable / appendix only,new v2 additional model,0.5451168891240006,0.5774602155344285,Restricted two-regime error correction; first-stage speed/asymmetry follows Loy et al.,prozorro_monthly,raw_milk,2023-02-01,2026-03-01,0.747072049320693,-0.8564005909540295,-1.1752723447977078,-0.31887175384367833,2.156716124571736e-09,0.11317973547789699,,,,,,0.5958377785153127,False,False,0.0,True,False,appendix or discard,appendix only / do not headline,108.49650756146649,appendix or discard; n=32.0; coef=0.596; p=5.26e-06; source=newmodel_v2
H1,newmodel_v2,Threshold ECM (Loy-style),monthly,FarmGate -> Processor,butter,,129.0,1.0701571865372412,1.2492453302399624e-110,-0.026121009475684968,0.4061577929161041,0.8918759855064682,acceptable,direct_or_title_repaired,0.016587516145800372,,probable / needs validation,new v2 additional model,0.6020997272009225,0.35918778082398983,Restricted two-regime error correction; first-stage speed/asymmetry follows Loy et al.,official_monthly,raw_milk,2015-02-01,2026-03-01,0.026121009475684968,0.0419346312361825,-0.005153693857593721,-0.047088325093776216,0.9339989188941684,0.4061577929161041,,,,,,1.0701571865372412,False,False,2.0,True,False,probable / supporting,short supporting block or appendix,229.8675344504556,probable / supporting; n=129.0; coef=1.07; p=1.25e-110; source=newmodel_v2
H1,newmodel_v2,Threshold ECM (Loy-style),monthly,FarmGate -> Processor,drinking_milk,,129.0,0.9445887778165967,5.804745728213083e-109,-0.04406744087521304,0.4712212290606095,0.025709411045088927,acceptable,direct_or_title_repaired,0.8658248444539522,,reliable,new v2 additional model,2.168455701905234e-05,0.30182612045901036,Restricted two-regime error correction; first-stage speed/asymmetry follows Loy et al.,official_monthly,raw_milk,2015-02-01,2026-03-01,0.04406744087521304,0.02219712968227744,-0.03296887603407432,-0.05516600571635176,0.6108031307460877,0.4712212290606095,,,,,,0.9445887778165967,False,False,2.0,True,False,main reliable,main text,329.8675344504556,main reliable; n=129.0; coef=0.945; p=5.8e-109; source=newmodel_v2
H1,newmodel_v2,Threshold ECM (Loy-style),monthly,FarmGate -> Processor,hard_cheese,,129.0,0.8742259292751426,7.033818236105677e-114,-0.005096098619368529,0.09037114561729838,0.0008517769933711263,acceptable,direct_or_title_repaired,0.329193333594649,,reliable,new v2 additional model,0.3712914619101955,0.34942804103671,Restricted two-regime error correction; first-stage speed/asymmetry follows Loy et al.,official_monthly,raw_milk,2015-02-01,2026-03-01,0.09374756249949862,-0.18749512499899723,-0.09884366111886715,0.0886514638801301,0.09037114561729838,0.09729953327105766,,,,,,0.8742259292751426,False,False,2.0,True,False,main reliable,main text,329.8675344504556,main reliable; n=129.0; coef=0.874; p=7.03e-114; source=newmodel_v2
H1,newmodel_v2,Threshold ECM (Loy-style),monthly,FarmGate -> Processor,kefir,,129.0,0.9626797638227573,2.1108525516541437e-110,0.01777534907264019,0.6891608869240917,0.006762792949678886,acceptable,direct_or_title_repaired,0.051470620210114525,,reliable,new v2 additional model,0.013161741987571161,0.22365258682400257,Restricted two-regime error correction; first-stage speed/asymmetry follows Loy et al.,official_monthly,raw_milk,2015-02-01,2026-03-01,0.01777534907264019,0.010416663629678993,0.022983680887479683,0.01256701725780069,0.6891608869240917,0.8195456265777382,,,,,,0.9626797638227573,False,False,2.0,True,False,main reliable,main text,329.8675344504556,main reliable; n=129.0; coef=0.963; p=2.11e-110; source=newmodel_v2
H1,newmodel_v2,Threshold ECM (Loy-style),monthly,FarmGate -> Processor,skim_milk_powder,,129.0,0.7803301114935992,1.4001044413309458e-67,-0.012167748114839994,0.5091546921873026,0.30586536416935806,acceptable,direct_or_title_repaired,0.6638886831907121,,reliable,new v2 additional model,0.40514377965437576,0.1667491182222257,Restricted two-regime error correction; first-stage speed/asymmetry follows Loy et al.,official_monthly,raw_milk,2015-02-01,2026-03-01,0.012889372554639945,-0.02577874510927989,-0.02505712066947994,0.0007216244397999505,0.5091546921873026,0.9863507664118422,,,,,,0.7803301114935992,False,False,2.0,True,False,main reliable,main text,329.8675344504556,main reliable; n=129.0; coef=0.78; p=1.4e-67; source=newmodel_v2
H1,newmodel_v2,Threshold ECM (Loy-style),monthly,FarmGate -> Processor,sour_cream,,129.0,0.922719233444665,7.30782255785788e-105,-0.06536045374250031,0.10966490019858684,0.0062936397347209865,acceptable,direct_or_title_repaired,0.14899758928517054,,reliable,new v2 additional model,0.0004839851952700656,0.2978791800761674,Restricted two-regime error correction; first-stage speed/asymmetry follows Loy et al.,official_monthly,raw_milk,2015-02-01,2026-03-01,0.06536045374250031,0.08175071094580083,-0.024485098269599888,-0.10623580921540073,0.5925301940372614,0.10966490019858684,,,,,,0.922719233444665,False,False,2.0,True,False,main reliable,main text,329.8675344504556,main reliable; n=129.0; coef=0.923; p=7.31e-105; source=newmodel_v2
H1,old_final_daily,NARDL,daily,FarmGate -> Procurement,butter,Butter,274.0,2.3119944282258555,7.889144396230063e-05,-0.1525903845231014,7.889144396230063e-05,,acceptable,inferred,0.1454026937472165,0.0669242278915478,reliable,previous model output,,,,,,,,,,,,,,,,,,,2.3119944282258555,False,False,2.0,True,False,main reliable,main text,330.6167710976666,main reliable; n=274.0; coef=2.31; p=7.89e-05; source=old_final_daily
H1,old_final_daily,ECM,daily,FarmGate -> Procurement,cheese,CHEESE,268.0,1.4783702989170404,5.1319837414023774e-06,-0.1919136402369115,5.1319837414023774e-06,0.0004600816211375,acceptable,inferred,0.9679737951270884,,reliable,previous model output,,,,,,,,,,,,,,,,,,,1.4783702989170404,False,False,2.0,True,False,main reliable,main text,330.59471137960185,main reliable; n=268.0; coef=1.48; p=5.13e-06; source=old_final_daily
H1,old_final_daily,ECM,daily,FarmGate -> Procurement,condensed_milk,Condensed milk,270.0,-0.4486978722387598,2.946881471832025e-07,-0.1427174871131577,2.946881471832025e-07,2.6113782046431964e-07,acceptable,inferred,0.9645916223520142,,reliable,previous model output,,,,,,,,,,,,,,,,,,,0.4486978722387598,False,False,2.0,True,False,main reliable,main text,330.6021188208797,main reliable; n=270.0; coef=-0.449; p=2.95e-07; source=old_final_daily
H1,old_final_daily,ECM,daily,FarmGate -> Procurement,cream,Cream,273.0,0.6482409626141628,3.155106492646426e-06,-0.2028286068776363,3.155106492646426e-06,0.0546348069131313,acceptable,inferred,0.1458483832610567,,reliable,previous model output,,,,,,,,,,,,,,,,,,,0.6482409626141628,False,False,2.0,True,False,main reliable,main text,330.61312810638805,main reliable; n=273.0; coef=0.648; p=3.16e-06; source=old_final_daily
H1,old_final_daily,ECM,daily,FarmGate -> Procurement,milk,Drinking milk / fermented milk,268.0,0.0455007873554584,2.6673878433874512e-20,-0.7184057102096847,2.6673878433874512e-20,3.55929784464967e-21,acceptable,direct,0.8986306215235783,,reliable,previous model output,,,,,,,,,,,,,,,,,,,0.0455007873554584,False,False,2.0,True,False,main reliable,main text,330.59471137960185,main reliable; n=268.0; coef=0.0455; p=2.67e-20; source=old_final_daily
H1,old_final_daily,NARDL,daily,FarmGate -> Procurement,sour_cream,Sour cream,274.0,2.575134400253996,7.934229949078957e-08,-0.1549794257215238,7.934229949078957e-08,,acceptable,inferred,0.0015811064590943,0.0497194902755745,reliable,previous model output,,,,,,,,,,,,,,,,,,,2.575134400253996,False,False,2.0,True,False,main reliable,main text,330.6167710976666,main reliable; n=274.0; coef=2.58; p=7.93e-08; source=old_final_daily
H1,old_final_daily,NARDL,daily,FarmGate -> Producer,butter,Butter,1476.0,-3.7800106226486734,0.0011556142824751,-0.0025279868917112,0.0011556142824751,,acceptable,inferred,1.5502787760504812e-40,0.0086361221270318,reliable,previous model output,,,,,,,,,,,,,,,,,,,3.7800106226486734,False,False,2.0,True,False,main reliable,main text,332.29776828253137,main reliable; n=1476.0; coef=-3.78; p=0.00116; source=old_final_daily
H1,old_final_daily,ECM,daily,FarmGate -> Producer,cheese,CHEESE,1476.0,0.7668764341558756,0.002256002673138,-0.0015811482266045,0.002256002673138,6.814702839845024e-05,acceptable,inferred,0.8395803289819563,,reliable,previous model output,,,,,,,,,,,,,,,,,,,0.7668764341558756,False,False,2.0,True,False,main reliable,main text,332.29776828253137,main reliable; n=1476.0; coef=0.767; p=0.00226; source=old_final_daily
H1,old_final_daily,ECM,daily,FarmGate -> Producer,milk,Drinking milk / fermented milk,1476.0,0.9691043771587196,0.002117150530149,-0.0010646644688163,0.002117150530149,0.0224505710927204,strong,direct,0.6735796587253717,,reliable,previous model output,,,,,,,,,,,,,,,,,,,0.9691043771587196,False,False,3.0,True,False,main reliable,main text,342.29776828253137,main reliable; n=1476.0; coef=0.969; p=0.00212; source=old_final_daily
H1,old_final_daily,ECM,daily,FarmGate -> Producer,milk_powder,Milk powder,1475.0,0.2594385602244893,0.001385177798073,-0.0015758118478797,0.001385177798073,0.0006766249456153,acceptable,inferred,0.9908076724930004,,reliable,previous model output,,,,,,,,,,,,,,,,,,,0.2594385602244893,False,False,2.0,True,False,main reliable,main text,332.29709100516044,main reliable; n=1475.0; coef=0.259; p=0.00139; source=old_final_daily
