sheet,sample_rows,columns,has_product_column,has_date_column,risk_note
CME III,250,Date; CME III UAH,False,True,No special risk beyond standard unit/date/product audit.
FarmGate(oldmodel),250,date; sheet; ua_indicator; region; ua_product; farm_type; unit; eu_class; eu_price_unit; method; weight_signature; fit_alpha; fit_beta; fit_overlap_n; price_linear; price_pchip; product; indicator_en; region_en; unit_en; farm_type_en,True,True,Farm_price magnitudes are tonne-level despite short unit label; main model converts to UAH/kg.
Producer(oldmodel),250,date; sheet; ua_indicator; region; ua_product; unit; eu_class; eu_price_unit; method; weight_signature; fit_alpha; fit_beta; fit_overlap_n; price_linear; price_pchip; product; indicator_en; region_en; unit_en,True,True,No special risk beyond standard unit/date/product audit.
Consumer(oldmodel),250,date; sheet; ua_indicator; region; ua_product; unit; eu_class; eu_price_unit; method; weight_signature; fit_alpha; fit_beta; fit_overlap_n; price_linear; price_pchip; product; indicator_en; region_en; unit_en,True,True,Integrated consumer sheet has 250 sample implausible values above 1000; raw component workbook is preferred.
Prozorro(oldmodel),250,date; product_ua; title_ua; quantity; unit_ua; unit_price; organizer; winner; organizer_region_ua; expected_value; contract_value_initial; contract_value_current; product; organizer_region_en; unit_en,True,True,ProZorroM(full) contains text numbers/non-breaking spaces; parser strips spaces and normalizes decimal signs.
ProzorroM(full),250,Ідентифікатор процедури; ...; Профіль; Товар; Кількість; Одиниця виміру; Ціна за одиницю; Організатор; Переможець; CPV категорії; Категорія; Регіон організатора; Очікувана вартість; Сума договорів початкова; Сума договорів поточна; Дата публікації процедури,False,False,ProZorroM(full) contains text numbers/non-breaking spaces; parser strips spaces and normalizes decimal signs.
Europe,250,date; Country; Product; Price (€/100kg); EUR_UAH_rate; Price (UAH/kg),True,True,No special risk beyond standard unit/date/product audit.
Silpo,250,timestamp; date; product_title; product_name; brand; entity; broader_category; product_ua; fat_pct; pack_qty_final; pack_unit_final; qty_std; unit_std; price_current; unit_price; discount_value; discount_%; discount_dummy_bulk; discount_dummy_discount; discount_dummy_regular; product; unit_en,True,True,Retail product labels are repaired from product_title/product_name; old labels are not trusted.
Farm_price,27,Показник; Територіальний розріз; Вид сільськогосподарської продукції; Періодичність; Одиниця виміру; 2015-M01; 2015-M02; 2015-M03; 2015-M04; 2015-M05; 2015-M06; 2015-M07; 2015-M08; 2015-M09; 2015-M10; 2015-M11; 2015-M12; 2016-M01; 2016-M02; 2016-M03; 2016-M04; 2016-M05; 2016-M06; 2016-M07; 2016-M08,False,True,Farm_price magnitudes are tonne-level despite short unit label; main model converts to UAH/kg.
Consumer_price,78,Показник; Територіальний розріз; Тип товарів і послуг; Періодичність; Одиниця виміру; 2017-M01; 2017-M02; 2017-M03; 2017-M04; 2017-M05; 2017-M06; 2017-M07; 2017-M08; 2017-M09; 2017-M10; 2017-M11; 2017-M12; 2018-M01; 2018-M02; 2018-M03; 2018-M04; 2018-M05; 2018-M06; 2018-M07; 2018-M08,False,True,Integrated consumer sheet has 340 sample implausible values above 1000; raw component workbook is preferred.
Processor_price,6,Показник; Територіальний розріз; Категорія розрізу; Розріз; Періодичність; Одиниця виміру; 2013-M01; 2013-M02; 2013-M03; 2013-M04; 2013-M05; 2013-M06; 2013-M07; 2013-M08; 2013-M09; 2013-M10; 2013-M11; 2013-M12; 2014-M01; 2014-M02; 2014-M03; 2014-M04; 2014-M05; 2014-M06; 2014-M07,False,True,Processor_price is UAH per tonne in raw file; main model converts to UAH/kg.
Novus,250,timestamp; date; product_title; product_name; brand; entity; broader_category; product_ua; fat_pct; pack_qty_final; pack_unit_final; qty_std; unit_std; price_current; unit_price; discount_value; discount_dummy_bulk; discount_dummy_discount; discount_dummy_regular; product_ua_legacy_1; unit_en; product,True,True,Retail product labels are repaired from product_title/product_name; old labels are not trusted.
