check,value,product_old,product,unit_quality_flag_v2,rows
retail_rows,88295.0,,,,
product_reclassified_rows,25310.0,,,,
uah_kg_rows_v1,1271.0,,,,
uah_kg_rows_v2,1170.0,,,,
excluded_non_dairy_rows,14931.0,,,,
,,yogurt,yogurt,package_price_only,23938.0
,,drinking_milk,drinking_milk,package_price_only,9337.0
,,butter,butter,package_price_only,5448.0
,,sour_cream,sour_cream,package_price_only,5177.0
,,hard_cheese,soft_cheese,package_price_only,4884.0
,,kefir,kefir,package_price_only,4330.0
,,exclude_non_dairy,other_dairy,package_price_only,4042.0
,,exclude_non_dairy,exclude_non_dairy,exclude_non_dairy,3505.0
,,cottage_cheese,cottage_cheese,package_price_only,3379.0
,,hard_cheese,exclude_non_dairy,exclude_non_dairy,3285.0
,,cream,cream,package_price_only,3247.0
,,other_dairy,other_dairy,package_price_only,2451.0
,,drinking_milk,exclude_non_dairy,exclude_non_dairy,2125.0
,,yogurt,exclude_non_dairy,exclude_non_dairy,1895.0
,,condensed_milk,condensed_milk,package_price_only,1480.0
,,cottage_cheese,exclude_non_dairy,exclude_non_dairy,997.0
,,cottage_cheese,other_dairy,package_price_only,923.0
,,butter,exclude_non_dairy,exclude_non_dairy,915.0
,,kefir,other_dairy,package_price_only,879.0
,,condensed_milk,exclude_non_dairy,exclude_non_dairy,874.0
,,condensed_milk,other_dairy,package_price_only,836.0
,,sour_cream,exclude_non_dairy,exclude_non_dairy,818.0
,,cream,exclude_non_dairy,exclude_non_dairy,517.0
,,hard_cheese,other_dairy,package_price_only,396.0
,,drinking_milk,other_dairy,package_price_only,384.0
,,yogurt,yogurt,ok_uah_kg,231.0
,,butter,other_dairy,package_price_only,217.0
,,cream,other_dairy,package_price_only,195.0
,,hard_cheese,soft_cheese,ok_uah_kg,192.0
,,skim_milk_powder,drinking_milk,package_price_only,162.0
,,cottage_cheese,soft_cheese,package_price_only,128.0
,,sour_cream,other_dairy,package_price_only,100.0
,,other_dairy,drinking_milk,package_price_only,96.0
,,drinking_milk,drinking_milk,ok_uah_kg,84.0
,,drinking_milk,butter,package_price_only,71.0
,,other_dairy,soft_cheese,ok_uah_kg,63.0
,,sour_cream,sour_cream,ok_uah_kg,59.0
,,hard_cheese,hard_cheese,package_price_only,55.0
,,cottage_cheese,cottage_cheese,ok_uah_kg,53.0
,,hard_cheese,cream,package_price_only,51.0
,,butter,butter,ok_uah_kg,50.0
,,cream,cream,ok_uah_kg,50.0
,,kefir,drinking_milk,package_price_only,48.0
,,cottage_cheese,cream,package_price_only,48.0
,,butter,cream,package_price_only,48.0
,,kefir,kefir,ok_uah_kg,40.0
,,condensed_milk,condensed_milk,ok_uah_kg,31.0
,,hard_cheese,hard_cheese,ok_uah_kg,30.0
,,hard_cheese,cream,ok_uah_kg,16.0
,,other_dairy,cream,ok_uah_kg,16.0
,,cottage_cheese,other_dairy,ok_uah_kg,13.0
,,butter,other_dairy,ok_uah_kg,12.0
,,exclude_non_dairy,other_dairy,ok_uah_kg,12.0
,,kefir,other_dairy,ok_uah_kg,11.0
,,other_dairy,other_dairy,ok_uah_kg,10.0
,,other_dairy,soft_cheese,package_price_only,10.0
,,other_dairy,hard_cheese,ok_uah_kg,7.0
,,cream,other_dairy,ok_uah_kg,6.0
,,drinking_milk,other_dairy,ok_uah_kg,6.0
,,hard_cheese,other_dairy,ok_uah_kg,4.0
,,drinking_milk,cream,ok_uah_kg,2.0
,,sour_cream,other_dairy,ok_uah_kg,1.0
,,skim_milk_powder,drinking_milk,ok_uah_kg,1.0
,,exclude_non_dairy,drinking_milk,ok_uah_kg,1.0
,,other_dairy,drinking_milk,ok_uah_kg,1.0
,,exclude_non_dairy,yogurt,ok_uah_kg,1.0
,,cottage_cheese,cream,ok_uah_kg,1.0
