date,period,territory,indicator,flow,milk_product_raw,product,unit_raw,value,value_uah_kg_or_tonne
2025-01-01,2025-M01,Івано-Франківська,Середня ціна купівлі тонни молочної сировини,Куплене переробними підприємствами,"Вершки з молока коров'ячого сирі (у перерахунку на вершки встановленої базисної жирності – 10,0%)",cream,Гривня,,
2025-01-01,2025-M01,Івано-Франківська,Середня ціна купівлі тонни молочної сировини,Куплене переробними підприємствами у населення,"Вершки з молока коров'ячого сирі (у перерахунку на вершки встановленої базисної жирності – 10,0%)",cream,Гривня,,
2025-01-01,2025-M01,Івано-Франківська,Середня ціна купівлі тонни молочної сировини,Куплене переробними підприємствами у підприємств,"Вершки з молока коров'ячого сирі (у перерахунку на вершки встановленої базисної жирності – 10,0%)",cream,Гривня,,
2025-02-01,2025-M02,Івано-Франківська,Середня ціна купівлі тонни молочної сировини,Куплене переробними підприємствами,"Вершки з молока коров'ячого сирі (у перерахунку на вершки встановленої базисної жирності – 10,0%)",cream,Гривня,,
2025-02-01,2025-M02,Івано-Франківська,Середня ціна купівлі тонни молочної сировини,Куплене переробними підприємствами у населення,"Вершки з молока коров'ячого сирі (у перерахунку на вершки встановленої базисної жирності – 10,0%)",cream,Гривня,,
2025-02-01,2025-M02,Івано-Франківська,Середня ціна купівлі тонни молочної сировини,Куплене переробними підприємствами у підприємств,"Вершки з молока коров'ячого сирі (у перерахунку на вершки встановленої базисної жирності – 10,0%)",cream,Гривня,,
2025-03-01,2025-M03,Івано-Франківська,Середня ціна купівлі тонни молочної сировини,Куплене переробними підприємствами,"Вершки з молока коров'ячого сирі (у перерахунку на вершки встановленої базисної жирності – 10,0%)",cream,Гривня,,
2025-03-01,2025-M03,Івано-Франківська,Середня ціна купівлі тонни молочної сировини,Куплене переробними підприємствами у населення,"Вершки з молока коров'ячого сирі (у перерахунку на вершки встановленої базисної жирності – 10,0%)",cream,Гривня,,
2025-03-01,2025-M03,Івано-Франківська,Середня ціна купівлі тонни молочної сировини,Куплене переробними підприємствами у підприємств,"Вершки з молока коров'ячого сирі (у перерахунку на вершки встановленої базисної жирності – 10,0%)",cream,Гривня,,
2025-04-01,2025-M04,Івано-Франківська,Середня ціна купівлі тонни молочної сировини,Куплене переробними підприємствами,"Вершки з молока коров'ячого сирі (у перерахунку на вершки встановленої базисної жирності – 10,0%)",cream,Гривня,,
2025-04-01,2025-M04,Івано-Франківська,Середня ціна купівлі тонни молочної сировини,Куплене переробними підприємствами у населення,"Вершки з молока коров'ячого сирі (у перерахунку на вершки встановленої базисної жирності – 10,0%)",cream,Гривня,,
2025-04-01,2025-M04,Івано-Франківська,Середня ціна купівлі тонни молочної сировини,Куплене переробними підприємствами у підприємств,"Вершки з молока коров'ячого сирі (у перерахунку на вершки встановленої базисної жирності – 10,0%)",cream,Гривня,,
2025-05-01,2025-M05,Івано-Франківська,Середня ціна купівлі тонни молочної сировини,Куплене переробними підприємствами,"Вершки з молока коров'ячого сирі (у перерахунку на вершки встановленої базисної жирності – 10,0%)",cream,Гривня,,
2025-05-01,2025-M05,Івано-Франківська,Середня ціна купівлі тонни молочної сировини,Куплене переробними підприємствами у населення,"Вершки з молока коров'ячого сирі (у перерахунку на вершки встановленої базисної жирності – 10,0%)",cream,Гривня,,
2025-05-01,2025-M05,Івано-Франківська,Середня ціна купівлі тонни молочної сировини,Куплене переробними підприємствами у підприємств,"Вершки з молока коров'ячого сирі (у перерахунку на вершки встановленої базисної жирності – 10,0%)",cream,Гривня,,
2025-06-01,2025-M06,Івано-Франківська,Середня ціна купівлі тонни молочної сировини,Куплене переробними підприємствами,"Вершки з молока коров'ячого сирі (у перерахунку на вершки встановленої базисної жирності – 10,0%)",cream,Гривня,,
2025-06-01,2025-M06,Івано-Франківська,Середня ціна купівлі тонни молочної сировини,Куплене переробними підприємствами у населення,"Вершки з молока коров'ячого сирі (у перерахунку на вершки встановленої базисної жирності – 10,0%)",cream,Гривня,,
2025-06-01,2025-M06,Івано-Франківська,Середня ціна купівлі тонни молочної сировини,Куплене переробними підприємствами у підприємств,"Вершки з молока коров'ячого сирі (у перерахунку на вершки встановленої базисної жирності – 10,0%)",cream,Гривня,,
2025-07-01,2025-M07,Івано-Франківська,Середня ціна купівлі тонни молочної сировини,Куплене переробними підприємствами,"Вершки з молока коров'ячого сирі (у перерахунку на вершки встановленої базисної жирності – 10,0%)",cream,Гривня,,
