date,period,territory,farm_type,source,stage,product,price_raw,price_uah_kg,unit_raw,unit_clean,quality_flag
2015-01-01,2015-M01,Івано-Франківська,enterprises,SSSU agricultural sales raw workbook,farm_gate,raw_milk,3739.9,3.7399,Гривня,UAH/kg,ok
2015-02-01,2015-M02,Івано-Франківська,enterprises,SSSU agricultural sales raw workbook,farm_gate,raw_milk,3757.1,3.7571,Гривня,UAH/kg,ok
2015-03-01,2015-M03,Івано-Франківська,enterprises,SSSU agricultural sales raw workbook,farm_gate,raw_milk,3853.7,3.8537,Гривня,UAH/kg,ok
2015-04-01,2015-M04,Івано-Франківська,enterprises,SSSU agricultural sales raw workbook,farm_gate,raw_milk,3942.9,3.9429000000000003,Гривня,UAH/kg,ok
2015-05-01,2015-M05,Івано-Франківська,enterprises,SSSU agricultural sales raw workbook,farm_gate,raw_milk,3977.7,3.9777,Гривня,UAH/kg,ok
2015-06-01,2015-M06,Івано-Франківська,enterprises,SSSU agricultural sales raw workbook,farm_gate,raw_milk,3975.4,3.9754,Гривня,UAH/kg,ok
2015-07-01,2015-M07,Івано-Франківська,enterprises,SSSU agricultural sales raw workbook,farm_gate,raw_milk,3945.7,3.9457,Гривня,UAH/kg,ok
2015-08-01,2015-M08,Івано-Франківська,enterprises,SSSU agricultural sales raw workbook,farm_gate,raw_milk,3924.7,3.9246999999999996,Гривня,UAH/kg,ok
2015-09-01,2015-M09,Івано-Франківська,enterprises,SSSU agricultural sales raw workbook,farm_gate,raw_milk,3923.9,3.9239,Гривня,UAH/kg,ok
2015-10-01,2015-M10,Івано-Франківська,enterprises,SSSU agricultural sales raw workbook,farm_gate,raw_milk,3924.5,3.9245,Гривня,UAH/kg,ok
2015-11-01,2015-M11,Івано-Франківська,enterprises,SSSU agricultural sales raw workbook,farm_gate,raw_milk,3944.3,3.9443,Гривня,UAH/kg,ok
2015-12-01,2015-M12,Івано-Франківська,enterprises,SSSU agricultural sales raw workbook,farm_gate,raw_milk,,,Гривня,UAH/kg,missing
2016-01-01,2016-M01,Івано-Франківська,enterprises,SSSU agricultural sales raw workbook,farm_gate,raw_milk,4937.1,4.9371,Гривня,UAH/kg,ok
2016-02-01,2016-M02,Івано-Франківська,enterprises,SSSU agricultural sales raw workbook,farm_gate,raw_milk,5201.6,5.2016,Гривня,UAH/kg,ok
