date,period,basis,territory,product,index_value
2015-01-01,2015-M01,До відповідного періоду попереднього року,Україна,livestock_products,150.3
2015-01-01,2015-M01,До попереднього місяця,Україна,livestock_products,108.9
2015-02-01,2015-M02,До відповідного періоду попереднього року,Україна,livestock_products,156.8
2015-02-01,2015-M02,До попереднього місяця,Україна,livestock_products,111.6
2015-03-01,2015-M03,До відповідного періоду попереднього року,Україна,livestock_products,163.1
2015-03-01,2015-M03,До попереднього місяця,Україна,livestock_products,113.3
2015-04-01,2015-M04,До відповідного періоду попереднього року,Україна,livestock_products,164.4
2015-04-01,2015-M04,До попереднього місяця,Україна,livestock_products,107.6
2015-05-01,2015-M05,До попереднього місяця,Україна,livestock_products,97.6
2015-05-01,2015-M05,До відповідного періоду попереднього року,Україна,livestock_products,163.3
2015-06-01,2015-M06,До відповідного періоду попереднього року,Україна,livestock_products,162.8
2015-06-01,2015-M06,До попереднього місяця,Україна,livestock_products,99.4
2015-07-01,2015-M07,До відповідного періоду попереднього року,Україна,livestock_products,162.4
2015-07-01,2015-M07,До попереднього місяця,Україна,livestock_products,101.5
2015-08-01,2015-M08,До відповідного періоду попереднього року,Україна,livestock_products,161.9
2015-08-01,2015-M08,До попереднього місяця,Україна,livestock_products,98.0
2015-09-01,2015-M09,До відповідного періоду попереднього року,Україна,livestock_products,161.3
2015-09-01,2015-M09,До попереднього місяця,Україна,livestock_products,97.7
2015-10-01,2015-M10,До попереднього місяця,Україна,livestock_products,100.0
2015-10-01,2015-M10,До відповідного періоду попереднього року,Україна,livestock_products,160.7
2015-11-01,2015-M11,До відповідного періоду попереднього року,Україна,livestock_products,160.3
2015-11-01,2015-M11,До попереднього місяця,Україна,livestock_products,105.1
2015-12-01,2015-M12,До відповідного періоду попереднього року,Україна,livestock_products,159.8
2015-12-01,2015-M12,До попереднього місяця,Україна,livestock_products,106.2
2016-01-01,2016-M01,До відповідного періоду попереднього року,Україна,livestock_products,144.7
2016-01-01,2016-M01,До попереднього місяця,Україна,livestock_products,101.1
2016-02-01,2016-M02,До відповідного періоду попереднього року,Україна,livestock_products,137.3
2016-02-01,2016-M02,До попереднього місяця,Україна,livestock_products,100.7
2016-03-01,2016-M03,До попереднього місяця,Україна,livestock_products,101.8
2016-03-01,2016-M03,До відповідного періоду попереднього року,Україна,livestock_products,129.8
2016-04-01,2016-M04,До відповідного періоду попереднього року,Україна,livestock_products,124.5
2016-04-01,2016-M04,До попереднього місяця,Україна,livestock_products,102.1
2016-05-01,2016-M05,До відповідного періоду попереднього року,Україна,livestock_products,122.7
2016-05-01,2016-M05,До попереднього місяця,Україна,livestock_products,101.9
2016-06-01,2016-M06,До відповідного періоду попереднього року,Україна,livestock_products,121.6
2016-06-01,2016-M06,До попереднього місяця,Україна,livestock_products,99.4
2016-07-01,2016-M07,До відповідного періоду попереднього року,Україна,livestock_products,121.4
2016-07-01,2016-M07,До попереднього місяця,Україна,livestock_products,105.0
2016-08-01,2016-M08,До відповідного періоду попереднього року,Україна,livestock_products,120.9
2016-08-01,2016-M08,До попереднього місяця,Україна,livestock_products,96.3
2016-09-01,2016-M09,До попереднього місяця,Україна,livestock_products,101.0
2016-09-01,2016-M09,До відповідного періоду попереднього року,Україна,livestock_products,121.1
2016-10-01,2016-M10,До відповідного періоду попереднього року,Україна,livestock_products,121.5
2016-10-01,2016-M10,До попереднього місяця,Україна,livestock_products,102.5
2016-11-01,2016-M11,До відповідного періоду попереднього року,Україна,livestock_products,121.4
2016-11-01,2016-M11,До попереднього місяця,Україна,livestock_products,101.5
2016-12-01,2016-M12,До відповідного періоду попереднього року,Україна,livestock_products,120.9
2016-12-01,2016-M12,До попереднього місяця,Україна,livestock_products,101.9
2017-01-01,2017-M01,До відповідного періоду попереднього року,Україна,livestock_products,118.6
2017-01-01,2017-M01,До попереднього місяця,Україна,livestock_products,103.4
2017-02-01,2017-M02,До попереднього місяця,Україна,livestock_products,101.1
2017-02-01,2017-M02,До відповідного періоду попереднього року,Україна,livestock_products,118.9
2017-03-01,2017-M03,До відповідного періоду попереднього року,Україна,livestock_products,119.2
2017-03-01,2017-M03,До попереднього місяця,Україна,livestock_products,102.5
2017-04-01,2017-M04,До відповідного періоду попереднього року,Україна,livestock_products,119.7
2017-04-01,2017-M04,До попереднього місяця,Україна,livestock_products,103.0
2017-05-01,2017-M05,До відповідного періоду попереднього року,Україна,livestock_products,119.4
2017-05-01,2017-M05,До попереднього місяця,Україна,livestock_products,99.6
2017-06-01,2017-M06,До відповідного періоду попереднього року,Україна,livestock_products,119.4
2017-06-01,2017-M06,До попереднього місяця,Україна,livestock_products,100.4
2017-07-01,2017-M07,До відповідного періоду попереднього року,Україна,livestock_products,118.9
2017-07-01,2017-M07,До попереднього місяця,Україна,livestock_products,102.2
2017-08-01,2017-M08,До попереднього місяця,Україна,livestock_products,98.0
2017-08-01,2017-M08,До відповідного періоду попереднього року,Україна,livestock_products,118.8
2017-09-01,2017-M09,До відповідного періоду попереднього року,Україна,livestock_products,118.8
2017-09-01,2017-M09,До попереднього місяця,Україна,livestock_products,101.1
2017-10-01,2017-M10,До відповідного періоду попереднього року,Україна,livestock_products,118.6
2017-10-01,2017-M10,До попереднього місяця,Україна,livestock_products,101.1
2017-11-01,2017-M11,До відповідного періоду попереднього року,Україна,livestock_products,118.3
2017-11-01,2017-M11,До попереднього місяця,Україна,livestock_products,100.7
2017-12-01,2017-M12,До відповідного періоду попереднього року,Україна,livestock_products,118.2
2017-12-01,2017-M12,До попереднього місяця,Україна,livestock_products,102.6
2018-01-01,2018-M01,До попереднього місяця,Україна,livestock_products,101.8
2018-01-01,2018-M01,До відповідного періоду попереднього року,Україна,livestock_products,114.9
2018-02-01,2018-M02,До відповідного періоду попереднього року,Україна,livestock_products,115.6
2018-02-01,2018-M02,До попереднього місяця,Україна,livestock_products,102.3
2018-03-01,2018-M03,До відповідного періоду попереднього року,Україна,livestock_products,116.2
2018-03-01,2018-M03,До попереднього місяця,Україна,livestock_products,103.3
2018-04-01,2018-M04,До відповідного періоду попереднього року,Україна,livestock_products,116.5
2018-04-01,2018-M04,До попереднього місяця,Україна,livestock_products,103.1
2018-05-01,2018-M05,До відповідного періоду попереднього року,Україна,livestock_products,116.9
2018-05-01,2018-M05,До попереднього місяця,Україна,livestock_products,100.9
2018-06-01,2018-M06,До відповідного періоду попереднього року,Україна,livestock_products,117.1
2018-06-01,2018-M06,До попереднього місяця,Україна,livestock_products,99.8
2018-07-01,2018-M07,До попереднього місяця,Україна,livestock_products,100.8
2018-07-01,2018-M07,До відповідного періоду попереднього року,Україна,livestock_products,117.1
2018-08-01,2018-M08,До відповідного періоду попереднього року,Україна,livestock_products,117.1
2018-08-01,2018-M08,До попереднього місяця,Україна,livestock_products,99.9
2018-09-01,2018-M09,До відповідного періоду попереднього року,Україна,livestock_products,117.2
2018-09-01,2018-M09,До попереднього місяця,Україна,livestock_products,101.0
2018-10-01,2018-M10,До відповідного періоду попереднього року,Україна,livestock_products,117.1
2018-10-01,2018-M10,До попереднього місяця,Україна,livestock_products,99.8
2018-11-01,2018-M11,До відповідного періоду попереднього року,Україна,livestock_products,116.8
2018-11-01,2018-M11,До попереднього місяця,Україна,livestock_products,98.8
2018-12-01,2018-M12,До попереднього місяця,Україна,livestock_products,99.5
2018-12-01,2018-M12,До відповідного періоду попереднього року,Україна,livestock_products,116.2
