date,period,territory,source,stage,product,Розріз,price_raw,price_uah_kg,unit_raw,unit_clean,quality_flag
2013-01-01,2013-M01,Україна,SSSU industrial producer prices raw workbook,processor,butter,Масло вершкове жирністю не більше 85%,42963.51,42.96351,Гривні за тону,UAH/kg,ok
2013-02-01,2013-M02,Україна,SSSU industrial producer prices raw workbook,processor,butter,Масло вершкове жирністю не більше 85%,43275.15,43.275150000000004,Гривні за тону,UAH/kg,ok
2013-03-01,2013-M03,Україна,SSSU industrial producer prices raw workbook,processor,butter,Масло вершкове жирністю не більше 85%,43306.95,43.30695,Гривні за тону,UAH/kg,ok
2013-04-01,2013-M04,Україна,SSSU industrial producer prices raw workbook,processor,butter,Масло вершкове жирністю не більше 85%,43687.59,43.68758999999999,Гривні за тону,UAH/kg,ok
2013-05-01,2013-M05,Україна,SSSU industrial producer prices raw workbook,processor,butter,Масло вершкове жирністю не більше 85%,43688.25,43.68825,Гривні за тону,UAH/kg,ok
2013-06-01,2013-M06,Україна,SSSU industrial producer prices raw workbook,processor,butter,Масло вершкове жирністю не більше 85%,43783.81,43.783809999999995,Гривні за тону,UAH/kg,ok
2013-07-01,2013-M07,Україна,SSSU industrial producer prices raw workbook,processor,butter,Масло вершкове жирністю не більше 85%,44239.15,44.23915,Гривні за тону,UAH/kg,ok
2013-08-01,2013-M08,Україна,SSSU industrial producer prices raw workbook,processor,butter,Масло вершкове жирністю не більше 85%,44819.99,44.81999,Гривні за тону,UAH/kg,ok
2013-09-01,2013-M09,Україна,SSSU industrial producer prices raw workbook,processor,butter,Масло вершкове жирністю не більше 85%,46333.27,46.33327,Гривні за тону,UAH/kg,ok
2013-10-01,2013-M10,Україна,SSSU industrial producer prices raw workbook,processor,butter,Масло вершкове жирністю не більше 85%,47283.61,47.28361,Гривні за тону,UAH/kg,ok
2013-11-01,2013-M11,Україна,SSSU industrial producer prices raw workbook,processor,butter,Масло вершкове жирністю не більше 85%,48246.92,48.246919999999996,Гривні за тону,UAH/kg,ok
2013-12-01,2013-M12,Україна,SSSU industrial producer prices raw workbook,processor,butter,Масло вершкове жирністю не більше 85%,49202.8,49.2028,Гривні за тону,UAH/kg,ok
2014-01-01,2014-M01,Україна,SSSU industrial producer prices raw workbook,processor,butter,Масло вершкове жирністю не більше 85%,50180.68,50.18068,Гривні за тону,UAH/kg,ok
2014-02-01,2014-M02,Україна,SSSU industrial producer prices raw workbook,processor,butter,Масло вершкове жирністю не більше 85%,50999.8,50.9998,Гривні за тону,UAH/kg,ok
2014-03-01,2014-M03,Україна,SSSU industrial producer prices raw workbook,processor,butter,Масло вершкове жирністю не більше 85%,51047.08,51.04708,Гривні за тону,UAH/kg,ok
2014-04-01,2014-M04,Україна,SSSU industrial producer prices raw workbook,processor,butter,Масло вершкове жирністю не більше 85%,50682.82,50.68282,Гривні за тону,UAH/kg,ok
2014-05-01,2014-M05,Україна,SSSU industrial producer prices raw workbook,processor,butter,Масло вершкове жирністю не більше 85%,49479.99,49.47999,Гривні за тону,UAH/kg,ok
2014-06-01,2014-M06,Україна,SSSU industrial producer prices raw workbook,processor,butter,Масло вершкове жирністю не більше 85%,49060.18,49.06018,Гривні за тону,UAH/kg,ok
2014-07-01,2014-M07,Україна,SSSU industrial producer prices raw workbook,processor,butter,Масло вершкове жирністю не більше 85%,49065.55,49.06555,Гривні за тону,UAH/kg,ok
2014-08-01,2014-M08,Україна,SSSU industrial producer prices raw workbook,processor,butter,Масло вершкове жирністю не більше 85%,49008.99,49.00899,Гривні за тону,UAH/kg,ok
2014-09-01,2014-M09,Україна,SSSU industrial producer prices raw workbook,processor,butter,Масло вершкове жирністю не більше 85%,49274.25,49.27425,Гривні за тону,UAH/kg,ok
2014-10-01,2014-M10,Україна,SSSU industrial producer prices raw workbook,processor,butter,Масло вершкове жирністю не більше 85%,49704.96,49.70496,Гривні за тону,UAH/kg,ok
2014-11-01,2014-M11,Україна,SSSU industrial producer prices raw workbook,processor,butter,Масло вершкове жирністю не більше 85%,50253.51,50.25351,Гривні за тону,UAH/kg,ok
2014-12-01,2014-M12,Україна,SSSU industrial producer prices raw workbook,processor,butter,Масло вершкове жирністю не більше 85%,50960.04,50.96004,Гривні за тону,UAH/kg,ok
2015-01-01,2015-M01,Україна,SSSU industrial producer prices raw workbook,processor,butter,Масло вершкове жирністю не більше 85%,51777.6,51.7776,Гривні за тону,UAH/kg,ok
2015-02-01,2015-M02,Україна,SSSU industrial producer prices raw workbook,processor,butter,Масло вершкове жирністю не більше 85%,51796.15,51.796150000000004,Гривні за тону,UAH/kg,ok
2015-03-01,2015-M03,Україна,SSSU industrial producer prices raw workbook,processor,butter,Масло вершкове жирністю не більше 85%,55918.47,55.91847,Гривні за тону,UAH/kg,ok
2015-04-01,2015-M04,Україна,SSSU industrial producer prices raw workbook,processor,butter,Масло вершкове жирністю не більше 85%,55856.39,55.85639,Гривні за тону,UAH/kg,ok
2015-05-01,2015-M05,Україна,SSSU industrial producer prices raw workbook,processor,butter,Масло вершкове жирністю не більше 85%,55580.56,55.58056,Гривні за тону,UAH/kg,ok
2015-06-01,2015-M06,Україна,SSSU industrial producer prices raw workbook,processor,butter,Масло вершкове жирністю не більше 85%,55223.93,55.22393,Гривні за тону,UAH/kg,ok
2015-07-01,2015-M07,Україна,SSSU industrial producer prices raw workbook,processor,butter,Масло вершкове жирністю не більше 85%,55576.67,55.57667,Гривні за тону,UAH/kg,ok
2015-08-01,2015-M08,Україна,SSSU industrial producer prices raw workbook,processor,butter,Масло вершкове жирністю не більше 85%,56316.63,56.316629999999996,Гривні за тону,UAH/kg,ok
2015-09-01,2015-M09,Україна,SSSU industrial producer prices raw workbook,processor,butter,Масло вершкове жирністю не більше 85%,57186.96,57.18696,Гривні за тону,UAH/kg,ok
