product,date,price_median_uah_kg,price_weighted_uah_kg,n_lots,n_regions,expected_value_sum,contract_current_sum
butter,2023-01-02,225.0,268.68088467614535,3.0,3.0,384150.0,273078.5
butter,2023-01-03,232.5,234.41804019751027,8.0,6.0,1711690.0,1152626.73
butter,2023-01-04,213.0,217.42900577683184,4.0,3.0,394107.0,327441.4
butter,2023-01-05,240.0,248.3006123230004,3.0,3.0,472730.0,384705.12
butter,2023-01-06,290.0,300.3174603174603,2.0,2.0,324780.0,280932.0
butter,2023-01-09,227.5,226.33646310528906,2.0,1.0,324720.0,231956.5
butter,2023-01-10,162.0,162.0,1.0,1.0,25000.0,16200.0
butter,2023-01-11,225.0,250.93313739897135,4.0,3.0,417700.0,395500.0
butter,2023-01-12,213.0,206.3457526080477,2.0,1.0,465750.0,365280.0
butter,2023-01-16,270.0,270.0,1.0,1.0,110000.0,108000.0
butter,2023-01-17,219.0,212.02325581395348,3.0,3.0,606400.0,472681.5
butter,2023-01-18,224.0,212.5,4.0,3.0,602444.0,485942.2
butter,2023-01-19,175.0,164.18201997780244,2.0,2.0,329508.0,301561.0
butter,2023-01-20,208.5,174.57208943716267,4.0,3.0,1392850.0,799719.5
butter,2023-01-25,183.0,190.29327902240323,3.0,3.0,1056600.0,976502.5
butter,2023-01-26,224.0,229.20708237105467,2.0,2.0,338072.2,323072.2
butter,2023-02-03,225.5,236.19464188080917,2.0,2.0,211500.0,143401.6
butter,2023-02-06,270.0,278.4921917070544,2.0,2.0,303300.0,143752.5
butter,2023-02-09,257.5,285.098814229249,2.0,2.0,255930.0,200832.2
butter,2023-02-15,173.0,173.0,1.0,1.0,169050.0,125064.54
butter,2023-02-16,205.0,219.89661114302126,2.0,2.0,215800.0,194630.6
butter,2023-02-17,135.0,135.0,1.0,1.0,42500.0,33750.0
butter,2023-02-21,216.0,216.0,1.0,1.0,157500.0,129600.0
butter,2023-02-22,180.0,180.0,1.0,1.0,37000.0,36000.0
butter,2023-02-24,290.0,290.0,1.0,1.0,33252.36,32979.24
butter,2023-03-01,194.0,194.0,1.0,1.0,430000.0,333336.0
butter,2023-03-02,202.0,202.0,1.0,1.0,30450.0,30285.0
butter,2023-03-03,245.0,245.0,1.0,1.0,104400.0,88884.0
butter,2023-03-06,186.0,186.0,1.0,1.0,100000.0,93000.0
butter,2023-03-08,164.0,164.0,1.0,1.0,429898.95,318114.0
butter,2023-03-13,265.0,265.0,1.0,1.0,159800.0,124390.2
butter,2023-03-15,240.0,240.0,1.0,1.0,199000.0,191664.0
butter,2023-03-16,275.0,275.0,1.0,1.0,42625.0,42612.6
butter,2023-03-20,187.5,187.80525803310613,2.0,2.0,588750.0,497851.28
butter,2023-03-23,280.0,280.0,1.0,1.0,48050.0,43710.0
butter,2023-03-26,185.0,185.0,1.0,1.0,255125.0,144089.4
butter,2023-03-29,195.5,195.7080291970803,2.0,2.0,75200.0,54888.0
butter,2023-04-03,234.0,200.73356401384083,2.0,2.0,205500.0,149875.0
butter,2023-04-04,223.0,258.5241502683363,4.0,4.0,259795.0,233092.3
butter,2023-04-06,205.0,205.0,1.0,1.0,160200.0,122838.66
butter,2023-04-11,225.0,225.0,1.0,1.0,154216.67,112183.08
butter,2023-04-17,225.0,225.0,1.0,1.0,52500.0,47250.0
butter,2023-04-19,158.0,158.0,1.0,1.0,211000.0,132720.0
butter,2023-04-26,296.0,296.0,1.0,1.0,246000.0,82258.34
