product,date,price_median_uah_kg,price_weighted_uah_kg,n_lots,n_regions,expected_value_sum,contract_current_sum
butter,2023-01-01,220.0,229.28767639348894,48.0,14.0,8956501.2,6895199.15
butter,2023-02-01,216.0,251.5938733482066,13.0,12.0,1425832.36,1040010.6799999999
butter,2023-03-01,195.5,203.95725122713074,14.0,11.0,2463298.95,1962824.48
butter,2023-04-01,225.0,235.6541598694943,13.0,10.0,1563251.67,1006479.38
butter,2023-05-01,235.0,306.3078541374474,7.0,6.0,591125.0,530767.5
butter,2023-06-01,199.0,208.84121122599709,19.0,12.0,1662306.0,1429119.3900000001
butter,2023-07-01,206.0,212.25153595952295,12.0,10.0,734048.6,586666.58
butter,2023-08-01,174.0,218.36157449167,20.0,9.0,1277850.6,1058634.09
butter,2023-09-01,233.5,224.90921119592875,32.0,15.0,3493648.96,2478159.3499999996
butter,2023-10-01,224.5,221.4964785670811,44.0,17.0,3785531.4000000004,3002626.6399999997
butter,2023-11-01,248.0,249.90750497599814,42.0,16.0,2685348.3200000003,2059346.7999999998
butter,2023-12-01,260.0,257.19776040936495,103.0,21.0,19058027.67,14371005.29
butter,2024-01-01,259.0,247.3002022342065,165.0,24.0,33874072.75,25445665.099999998
butter,2024-02-01,240.0,231.00041327095695,83.0,22.0,20076113.8,13919287.69
butter,2024-03-01,255.0,247.68329344899792,73.0,19.0,12819778.9,9424075.64
butter,2024-04-01,261.0,269.4982031183678,75.0,22.0,15836662.71,13294764.41
butter,2024-05-01,266.0,260.7910920287969,71.0,21.0,7255180.49,5928395.15
butter,2024-06-01,255.0,257.3685992816829,76.0,22.0,14240985.2,10550461.49
butter,2024-07-01,260.0,252.59767944613196,92.0,20.0,12734689.78,9840182.94
butter,2024-08-01,288.0,275.48989987023805,133.0,22.0,18797336.53,14615518.2
butter,2024-09-01,295.0,279.13300290548625,115.0,22.0,10234777.75,8270861.05
butter,2024-10-01,330.0,318.78289286279477,253.0,22.0,25551334.92,21113939.42
butter,2024-11-01,350.0,339.024040171566,229.0,22.0,21855768.14,17497568.98
butter,2024-12-01,374.0,367.2500736287724,590.0,22.0,230595357.95999998,176116945.13
butter,2025-01-01,387.0,362.2556788331152,1029.0,24.0,322041909.85,244658830.29
butter,2025-02-01,373.0,364.27854308199363,292.0,23.0,92911951.08,74003600.03999999
butter,2025-03-01,350.0,348.61412635381504,134.0,21.0,36089318.46,24974906.5
butter,2025-04-01,370.5,380.15815828041036,78.0,19.0,25001568.27,18399562.23
butter,2025-05-01,342.0,319.43720345133454,87.0,19.0,15347906.490000002,11954322.7
butter,2025-06-01,324.0,317.27691987265314,87.0,20.0,16308292.74,12961006.120000001
butter,2025-07-01,325.0,340.2354101955052,72.0,21.0,11619213.11,9802060.85
butter,2025-08-01,385.5,375.92088993686144,158.0,19.0,28805335.520000003,21499524.99
butter,2025-09-01,380.5,354.4116383083706,178.0,23.0,34918619.629999995,27298603.520000003
butter,2025-10-01,399.0,384.3196827873115,195.0,22.0,25120918.96,20525701.240000002
butter,2025-11-01,362.5,338.1173567953821,156.0,20.0,33229289.75,26116002.200000003
butter,2025-12-01,359.0,364.94138151560514,381.0,22.0,212001651.73,168177542.74
butter,2026-01-01,374.0,362.45137929252417,665.0,23.0,233470245.44,184450721.52
butter,2026-02-01,310.0,304.004437747843,169.0,24.0,58079781.13000001,43219907.39
butter,2026-03-01,294.0,273.5067965280387,121.0,23.0,41532817.519999996,31614680.14
butter,2026-04-01,300.0,287.6396913286398,82.0,21.0,19346264.65,15096409.780000001
condensed_milk,2023-02-01,108.03303303303304,107.05770530379273,2.0,2.0,70000.0,61711.0
condensed_milk,2023-04-01,127.06756756756756,129.80296886443614,2.0,2.0,33600.0,17580.0
condensed_milk,2023-05-01,82.0,93.95342820181114,3.0,3.0,14614.74,14515.74
condensed_milk,2023-06-01,82.0,76.437125748503,3.0,3.0,42965.94,36945.94
condensed_milk,2023-07-01,82.0,91.13102820746133,3.0,3.0,67266.9,41704.72
