date,product,territory,price_median_uah_kg,n_lots
2023-01-01,butter,Івано-Франківська,209.0,6
2023-01-01,butter,Вінницька,230.0,1
2023-01-01,butter,Дніпропетровська,144.0,2
2023-01-01,butter,Житомирська,240.0,1
2023-01-01,butter,Закарпатська,219.0,2
2023-01-01,butter,Київська,194.0,3
2023-01-01,butter,Львівська,235.0,1
2023-01-01,butter,Полтавська,267.5,4
2023-01-01,butter,Рівненська,216.0,6
2023-01-01,butter,Тернопільська,230.0,9
2023-01-01,butter,Хмельницька,227.5,10
2023-01-01,butter,Черкаська,260.0,1
2023-01-01,butter,Чернівецька,170.0,1
2023-01-01,butter,Чернігівська,188.0,1
2023-01-01,cottage_cheese,Івано-Франківська,110.0,3
2023-01-01,cottage_cheese,Вінницька,97.0,1
2023-01-01,cottage_cheese,Дніпропетровська,71.0,2
2023-01-01,cottage_cheese,Житомирська,85.0,1
2023-01-01,cottage_cheese,Закарпатська,119.0,1
2023-01-01,cottage_cheese,Полтавська,120.0,3
2023-01-01,cottage_cheese,Рівненська,82.0,1
2023-01-01,cottage_cheese,Тернопільська,155.0,1
2023-01-01,cottage_cheese,Хмельницька,87.0,1
2023-01-01,cottage_cheese,Чернівецька,68.0,3
2023-01-01,drinking_milk,Івано-Франківська,26.666666666666664,5
2023-01-01,drinking_milk,Вінницька,29.0,3
2023-01-01,drinking_milk,Житомирська,29.0,1
2023-01-01,drinking_milk,Закарпатська,27.0,4
2023-01-01,drinking_milk,Київська,27.0,3
2023-01-01,drinking_milk,Львівська,26.5,2
2023-01-01,drinking_milk,Миколаївська,40.0,1
2023-01-01,drinking_milk,Одеська,34.44444444444444,1
2023-01-01,drinking_milk,Полтавська,28.5,2
2023-01-01,drinking_milk,Рівненська,27.0,7
2023-01-01,drinking_milk,Тернопільська,24.0,8
2023-01-01,drinking_milk,Хмельницька,27.5,6
2023-01-01,drinking_milk,Черкаська,34.0,1
2023-01-01,drinking_milk,Чернівецька,23.5,4
2023-01-01,hard_cheese,Івано-Франківська,210.0,2
2023-01-01,hard_cheese,Дніпропетровська,188.0,1
2023-01-01,hard_cheese,Київська,230.0,1
2023-01-01,hard_cheese,Полтавська,239.0,3
2023-01-01,hard_cheese,Рівненська,186.0,1
2023-01-01,hard_cheese,Сумська,248.0,1
2023-01-01,hard_cheese,Хмельницька,215.0,1
2023-01-01,hard_cheese,Чернівецька,179.0,1
2023-01-01,kefir,Івано-Франківська,37.5,1
2023-01-01,kefir,Закарпатська,35.55555555555556,1
2023-01-01,kefir,Миколаївська,45.55555555555556,1
2023-01-01,kefir,Рівненська,31.11111111111111,1
2023-01-01,kefir,Хмельницька,37.5,1
2023-02-01,butter,Вінницька,240.0,1
2023-02-01,butter,Дніпропетровська,290.0,1
2023-02-01,butter,Житомирська,310.0,1
2023-02-01,butter,Київська,240.0,1
2023-02-01,butter,Кіровоградська,173.0,1
2023-02-01,butter,Миколаївська,135.0,1
2023-02-01,butter,Одеська,260.0,1
2023-02-01,butter,Полтавська,280.0,1
2023-02-01,butter,Рівненська,211.0,1
2023-02-01,butter,Тернопільська,205.0,1
2023-02-01,butter,Харківська,180.0,1
2023-02-01,butter,Чернівецька,193.0,2
2023-02-01,condensed_milk,Одеська,94.44444444444444,1
2023-02-01,condensed_milk,Полтавська,121.62162162162163,1
2023-02-01,cottage_cheese,Івано-Франківська,92.0,1
2023-02-01,cottage_cheese,Одеська,145.0,1
2023-02-01,cottage_cheese,Полтавська,115.0,1
2023-02-01,cottage_cheese,Сумська,129.0,2
2023-02-01,cottage_cheese,Черкаська,106.5,2
