product,date,price_package_median_uah,discount_share,discount_depth_median_pct,n_skus,n_obs
butter,2025-10-21,67.66,0.25474366223556394,19.0,141,977
butter,2025-10-28,67.99,0.2521044256959021,19.0,139,968
butter,2025-11-04,67.57499999999999,0.26561608866258235,19.0,180,1014
butter,2025-11-11,67.78,0.2334130700607941,20.0,138,968
butter,2025-11-18,74.99,0.19021928034939778,23.0,137,962
butter,2025-11-25,69.99,0.16489029512859482,21.5,136,952
butter,2025-12-02,73.99,0.1633077501073422,22.046600458365162,136,411
butter,2025-12-09,69.9,0.16652068126520683,20.0,136,409
butter,2025-12-16,154.0,0.0,,1,1
butter,2025-12-23,81.49,0.0,,3,4
butter,2026-01-06,98.99,0.0,,22,24
condensed_milk,2025-10-21,63.989999999999995,0.304147465437788,20.04464285714286,62,434
condensed_milk,2025-10-28,59.99,0.2634874468031528,22.3463687150838,62,429
condensed_milk,2025-11-04,63.239999999999995,0.2660481139976453,20.754804352859455,93,499
condensed_milk,2025-11-11,61.99,0.2749665083424674,20.11194029850746,69,480
condensed_milk,2025-11-18,64.74,0.24369747899159663,23.0,68,476
condensed_milk,2025-11-25,67.99,0.21633656707329266,23.0,69,476
condensed_milk,2025-12-02,62.489999999999995,0.2450980392156863,20.754804352859455,68,204
condensed_milk,2025-12-09,64.24,0.28283031522468144,20.866744651366915,71,212
condensed_milk,2025-12-16,93.99,0.0,,1,1
condensed_milk,2025-12-23,65.99,0.0,,1,1
condensed_milk,2026-01-06,136.995,0.0,,7,9
cottage_cheese,2025-10-21,56.9,0.2914606224068749,21.0,116,806
cottage_cheese,2025-10-28,56.74,0.2522066034651847,22.0,115,801
cottage_cheese,2025-11-04,55.74,0.2657478872746951,22.0,157,845
cottage_cheese,2025-11-11,56.195,0.3003309164738373,20.11173184357542,115,796
cottage_cheese,2025-11-18,56.49,0.25850987211939375,22.0,114,789
cottage_cheese,2025-11-25,56.99,0.24747096090415674,22.5,114,792
cottage_cheese,2025-12-02,54.8425,0.22817834503800732,21.0,116,346
cottage_cheese,2025-12-09,63.364999999999995,0.18471404779043343,20.5,114,338
cottage_cheese,2025-12-16,97.99,0.0,,1,1
cottage_cheese,2025-12-23,82.99,0.0,,3,3
cottage_cheese,2026-01-06,82.49,0.0,,22,25
cream,2025-10-21,57.49,0.32446601478827947,20.0,80,570
cream,2025-10-28,56.945,0.30173297166968055,20.5,78,560
cream,2025-11-04,56.9,0.3227406858886265,21.040160642570278,126,616
cream,2025-11-11,59.99,0.2967133486796364,20.51690564701718,84,590
cream,2025-11-18,58.74,0.297745147082514,21.754804352859455,84,591
cream,2025-11-25,56.945,0.23035204678403834,21.0,82,586
cream,2025-12-02,61.24,0.2944250871080139,21.0,81,248
cream,2025-12-09,55.24,0.3280063291139241,20.0,77,238
cream,2025-12-16,164.0,0.0,,1,1
cream,2025-12-23,129.0,0.0,,1,1
cream,2026-01-06,63.489999999999995,0.0,,14,14
drinking_milk,2025-10-21,59.74,0.262493479544753,20.0,252,1749
drinking_milk,2025-10-28,61.49,0.2519059196007044,22.0,249,1747
drinking_milk,2025-11-04,59.99,0.2822000787540608,21.0,305,1805
drinking_milk,2025-11-11,59.99,0.26929549058751096,21.0,248,1734
drinking_milk,2025-11-18,61.99,0.26658880057372747,23.0,248,1733
drinking_milk,2025-11-25,61.99,0.21626987405719952,23.0,245,1725
drinking_milk,2025-12-02,59.99,0.14590046989149583,22.0,246,742
drinking_milk,2025-12-09,62.99,0.27879591836734696,20.0,248,735
drinking_milk,2025-12-16,48.239999999999995,0.0,,1,2
drinking_milk,2025-12-23,68.49,0.0,,4,7
drinking_milk,2026-01-06,56.49,0.0,,27,30
hard_cheese,2025-10-21,52.49,0.34816003448175553,20.5,178,1232
hard_cheese,2025-10-28,53.24,0.2994275812320115,20.08928571428572,181,1241
hard_cheese,2025-11-04,54.9,0.24791278128178043,20.120800986722777,550,1624
hard_cheese,2025-11-11,54.9,0.2861683732214666,20.0,181,1249
hard_cheese,2025-11-18,53.99,0.2676697846768765,20.11834319526627,175,1197
hard_cheese,2025-11-25,52.74,0.24925043748062042,21.5,175,1192
hard_cheese,2025-12-02,54.99,0.17454368325986222,21.0,174,523
hard_cheese,2025-12-09,52.99,0.17440566641170144,20.0,173,523
hard_cheese,2025-12-16,404.495,0.0,,6,9
hard_cheese,2025-12-23,221.995,0.0,,13,15
hard_cheese,2026-01-06,94.99,0.0,,95,108
kefir,2025-10-21,53.24,0.2640668120483978,20.0,114,778
kefir,2025-10-28,54.49,0.23178119042780695,20.0,114,785
kefir,2025-11-04,53.49,0.21699455850997001,19.04410990630592,139,799
kefir,2025-11-11,54.99,0.23063818614277332,20.0,110,763
kefir,2025-11-18,56.24,0.2134241056259405,21.0,109,759
kefir,2025-11-25,56.49,0.2123127297439224,22.0,110,763
kefir,2025-12-02,57.99,0.27375693736550005,20.5,109,325
kefir,2025-12-09,54.49,0.2082659478885894,19.30392156862745,106,318
kefir,2025-12-16,68.99,0.0,,1,3
kefir,2026-01-06,65.49,0.0,,13,15
other_dairy,2025-10-21,52.51,0.24676733763128997,20.0,56,380
other_dairy,2025-10-28,59.9,0.2283568981682189,19.02205495315296,54,373
other_dairy,2025-11-04,57.49,0.15457943471491492,22.0,132,460
other_dairy,2025-11-11,57.99,0.23606599549995777,21.25845282350859,53,372
other_dairy,2025-11-18,55.945,0.2780945469624715,23.0,52,367
other_dairy,2025-11-25,55.99,0.2418388739143456,22.0,53,368
other_dairy,2025-12-02,56.99,0.21920088790233072,19.0,52,158
other_dairy,2025-12-09,57.24,0.18508842659786057,18.61802550005848,53,161
other_dairy,2025-12-23,73.99,0.0,,1,1
other_dairy,2026-01-06,27.99,0.0,,13,14
skim_milk_powder,2025-10-21,57.489999999999995,0.6428571428571429,16.116880492979085,4,28
skim_milk_powder,2025-10-28,67.295,0.5714285714285714,16.116880492979085,4,28
skim_milk_powder,2025-11-04,54.99,0.5214285714285715,15.67398119122257,5,26
skim_milk_powder,2025-11-11,54.99,0.047619047619047616,25.0,3,21
skim_milk_powder,2025-11-18,65.99,0.047619047619047616,27.0,3,21
skim_milk_powder,2025-11-25,54.99,0.14285714285714285,15.0,3,21
skim_milk_powder,2025-12-02,54.99,0.1111111111111111,15.0,3,9
skim_milk_powder,2025-12-09,54.99,0.1111111111111111,22.0,3,9
sour_cream,2025-10-21,54.99,0.26701916999921915,19.5,130,907
sour_cream,2025-10-28,54.24,0.23983235484268786,20.0,127,892
sour_cream,2025-11-04,59.49,0.21713865721329043,19.0,156,922
sour_cream,2025-11-11,54.99,0.26378858557858836,20.0,125,884
sour_cream,2025-11-18,58.99,0.21431685657233043,20.12298001574744,127,886
sour_cream,2025-11-25,54.99,0.1980466727373364,22.0,125,884
sour_cream,2025-12-02,55.74,0.17216597925259342,22.0,125,380
sour_cream,2025-12-09,54.99,0.27534236908910975,19.0,125,374
sour_cream,2025-12-16,64.49,0.0,,3,4
sour_cream,2025-12-23,90.995,0.0,,2,2
sour_cream,2026-01-06,56.14,0.0,,19,20
yogurt,2025-10-21,54.49,0.2903656818704423,20.0,539,3785
yogurt,2025-10-28,53.24,0.3003904236234119,20.11173184357542,530,3735
yogurt,2025-11-04,52.9,0.3136186161448357,20.10050251256282,702,3915
yogurt,2025-11-11,55.49,0.26319992175311274,21.0,540,3772
yogurt,2025-11-18,54.99,0.2699208272550088,22.0,538,3790
yogurt,2025-11-25,54.99,0.24835227045473016,21.754804352859455,534,3765
yogurt,2025-12-02,53.99,0.16214871684484944,21.0,537,1623
yogurt,2025-12-09,51.99,0.16879359040559977,20.0,537,1624
yogurt,2025-12-16,30.990000000000002,0.0,,4,5
yogurt,2025-12-23,38.74,0.0,,5,6
yogurt,2026-01-06,40.49,0.0,,39,44
