retailer,product,date,price_package_median_uah,discount_share,discount_depth_median_pct,n_skus,n_obs
novus,butter,2025-11-04,114.0,0.0,,42,42
novus,butter,2025-11-11,126.5,0.0,,2,3
novus,butter,2025-11-18,82.99,0.0,,1,1
novus,butter,2025-11-25,104.0,0.0,,1,1
novus,butter,2025-12-02,115.745,0.0,,2,3
novus,butter,2025-12-09,103.495,0.0,,1,4
novus,butter,2025-12-16,154.0,0.0,,1,1
novus,butter,2025-12-23,81.49,0.0,,3,4
novus,butter,2026-01-06,98.99,0.0,,22,24
novus,condensed_milk,2025-11-04,79.49,0.0,,26,26
novus,condensed_milk,2025-11-11,97.99,0.0,,1,1
novus,condensed_milk,2025-11-25,179.0,0.0,,1,1
novus,condensed_milk,2025-12-09,63.99,0.0,,1,1
novus,condensed_milk,2025-12-16,93.99,0.0,,1,1
novus,condensed_milk,2025-12-23,65.99,0.0,,1,1
novus,condensed_milk,2026-01-06,136.995,0.0,,7,9
novus,cottage_cheese,2025-11-04,77.99,0.0,,42,45
novus,cottage_cheese,2025-11-18,83.99,0.0,,1,1
novus,cottage_cheese,2025-11-25,75.49,0.0,,1,2
novus,cottage_cheese,2025-12-02,61.489999999999995,0.0,,2,3
novus,cottage_cheese,2025-12-09,86.99,0.0,,1,2
novus,cottage_cheese,2025-12-16,97.99,0.0,,1,1
novus,cottage_cheese,2025-12-23,82.99,0.0,,3,3
novus,cottage_cheese,2026-01-06,82.49,0.0,,22,25
novus,cream,2025-11-04,47.49,0.0,,49,49
novus,cream,2025-11-18,36.39,0.0,,1,2
novus,cream,2025-11-25,36.39,0.0,,1,2
novus,cream,2025-12-02,121.495,0.0,,2,2
novus,cream,2025-12-09,94.495,0.0,,1,2
novus,cream,2025-12-16,164.0,0.0,,1,1
novus,cream,2025-12-23,129.0,0.0,,1,1
novus,cream,2026-01-06,63.489999999999995,0.0,,14,14
novus,drinking_milk,2025-11-04,209.495,0.0,,58,59
novus,drinking_milk,2025-11-11,83.99,0.0,,1,1
novus,drinking_milk,2025-11-18,80.49,0.0,,2,3
novus,drinking_milk,2025-11-25,39.99,0.0,,1,1
novus,drinking_milk,2025-12-02,74.49,0.0,,1,4
novus,drinking_milk,2025-12-09,62.99,0.0,,1,1
novus,drinking_milk,2025-12-16,48.239999999999995,0.0,,1,2
novus,drinking_milk,2025-12-23,68.49,0.0,,4,7
novus,drinking_milk,2026-01-06,56.49,0.0,,27,30
novus,hard_cheese,2025-11-04,169.0,0.0,,371,376
novus,hard_cheese,2025-11-11,254.37,0.0,,2,10
novus,hard_cheese,2025-11-18,78.99,0.0,,2,4
novus,hard_cheese,2025-11-25,120.2475,0.0,,4,10
novus,hard_cheese,2025-12-02,117.7425,0.0,,3,7
novus,hard_cheese,2025-12-09,107.495,0.0,,3,13
novus,hard_cheese,2025-12-16,404.495,0.0,,6,9
novus,hard_cheese,2025-12-23,221.995,0.0,,13,15
novus,hard_cheese,2026-01-06,94.99,0.0,,95,108
novus,kefir,2025-11-04,40.24,0.0,,29,30
novus,kefir,2025-11-11,42.49,0.0,,1,1
novus,kefir,2025-11-25,46.49,0.0,,1,1
novus,kefir,2025-12-09,49.99,0.0,,1,1
novus,kefir,2025-12-16,68.99,0.0,,1,3
novus,kefir,2026-01-06,65.49,0.0,,13,15
novus,other_dairy,2025-11-04,75.99,0.0,,80,80
novus,other_dairy,2025-11-11,33.24,0.0,,1,2
novus,other_dairy,2025-11-18,43.24,0.0,,1,2
novus,other_dairy,2025-11-25,153.495,0.0,,2,3
novus,other_dairy,2025-12-02,89.99,0.0,,1,3
novus,other_dairy,2025-12-09,89.99,0.0,,1,3
novus,other_dairy,2025-12-23,73.99,0.0,,1,1
novus,other_dairy,2026-01-06,27.99,0.0,,13,14
novus,skim_milk_powder,2025-11-04,199.0,0.0,,1,1
novus,sour_cream,2025-11-04,58.49,0.0,,32,32
novus,sour_cream,2025-11-18,64.99,0.0,,1,1
novus,sour_cream,2025-11-25,47.49,0.0,,1,2
novus,sour_cream,2025-12-02,61.99,0.0,,1,1
novus,sour_cream,2025-12-09,58.99,0.0,,1,1
novus,sour_cream,2025-12-16,64.49,0.0,,3,4
novus,sour_cream,2025-12-23,90.995,0.0,,2,2
novus,sour_cream,2026-01-06,56.14,0.0,,19,20
novus,yogurt,2025-11-04,45.99,0.0,,175,178
novus,yogurt,2025-11-11,39.99,0.0,,2,4
novus,yogurt,2025-11-18,23.99,0.0,,2,3
novus,yogurt,2025-11-25,24.115000000000002,0.0,,2,3
novus,yogurt,2025-12-02,44.79,0.0,,3,5
novus,yogurt,2025-12-09,38.74,0.0,,2,5
novus,yogurt,2025-12-16,30.990000000000002,0.0,,4,5
novus,yogurt,2025-12-23,38.74,0.0,,5,6
novus,yogurt,2026-01-06,40.49,0.0,,39,44
silpo,butter,2025-10-21,67.66,0.25474366223556394,19.0,141,977
silpo,butter,2025-10-28,67.99,0.2521044256959021,19.0,139,968
silpo,butter,2025-11-04,67.57499999999999,0.27467845203155566,19.0,140,972
silpo,butter,2025-11-11,67.78,0.2340192496680445,20.0,138,965
silpo,butter,2025-11-18,74.99,0.1904081848543924,23.0,137,961
silpo,butter,2025-11-25,69.99,0.1651081600523421,21.5,136,951
silpo,butter,2025-12-02,72.74,0.2181372549019608,22.046600458365162,135,408
silpo,butter,2025-12-09,68.24,0.2790050293196327,20.0,135,405
silpo,condensed_milk,2025-10-21,63.989999999999995,0.304147465437788,20.04464285714286,62,434
silpo,condensed_milk,2025-10-28,59.99,0.2634874468031528,22.3463687150838,62,429
silpo,condensed_milk,2025-11-04,62.99,0.27677787532923614,20.754804352859455,68,473
silpo,condensed_milk,2025-11-11,61.99,0.27560589453172574,20.11194029850746,69,479
silpo,condensed_milk,2025-11-18,64.74,0.24369747899159663,23.0,68,476
silpo,condensed_milk,2025-11-25,66.99,0.2167628245327982,23.0,68,475
silpo,condensed_milk,2025-12-02,62.489999999999995,0.2450980392156863,20.754804352859455,68,204
silpo,condensed_milk,2025-12-09,64.49,0.28400353813703477,20.866744651366915,71,211
silpo,cottage_cheese,2025-10-21,56.9,0.2914606224068749,21.0,116,806
silpo,cottage_cheese,2025-10-28,56.74,0.2522066034651847,22.0,115,801
silpo,cottage_cheese,2025-11-04,54.49,0.27859840955827897,22.0,116,800
silpo,cottage_cheese,2025-11-11,56.195,0.3003309164738373,20.11173184357542,115,796
silpo,cottage_cheese,2025-11-18,56.49,0.25879820356748295,22.0,113,788
silpo,cottage_cheese,2025-11-25,56.49,0.24806980314249594,22.5,113,790
silpo,cottage_cheese,2025-12-02,56.99,0.3062039155860666,21.0,115,343
silpo,cottage_cheese,2025-12-09,62.49,0.24703602257517898,20.5,114,336
silpo,cream,2025-10-21,57.49,0.32446601478827947,20.0,80,570
silpo,cream,2025-10-28,56.945,0.30173297166968055,20.5,78,560
silpo,cream,2025-11-04,56.9,0.3383414610824249,21.040160642570278,80,567
silpo,cream,2025-11-11,59.99,0.2967133486796364,20.51690564701718,84,590
silpo,cream,2025-11-18,58.74,0.2988227232613415,21.754804352859455,83,589
silpo,cream,2025-11-25,56.945,0.2311191005935139,21.0,81,584
silpo,cream,2025-12-02,61.24,0.2967479674796748,21.0,79,246
silpo,cream,2025-12-09,53.49,0.3304662988207292,20.0,76,236
silpo,drinking_milk,2025-10-21,59.74,0.262493479544753,20.0,252,1749
silpo,drinking_milk,2025-10-28,61.49,0.2519059196007044,22.0,249,1747
silpo,drinking_milk,2025-11-04,59.99,0.29038105347566473,21.0,251,1746
silpo,drinking_milk,2025-11-11,59.99,0.2694330864381798,21.0,248,1733
silpo,drinking_milk,2025-11-18,61.74,0.26705649777961893,23.0,246,1730
silpo,drinking_milk,2025-11-25,61.99,0.21639683310585303,23.0,245,1724
silpo,drinking_milk,2025-12-02,59.99,0.24383916102236292,22.0,245,738
silpo,drinking_milk,2025-12-09,62.99,0.27918681528836437,20.0,247,734
silpo,hard_cheese,2025-10-21,52.49,0.34816003448175553,20.5,178,1232
silpo,hard_cheese,2025-10-28,53.24,0.2994275812320115,20.08928571428572,181,1241
silpo,hard_cheese,2025-11-04,54.24,0.278030201436863,20.120800986722777,180,1248
silpo,hard_cheese,2025-11-11,54.49,0.2885105920598336,20.0,180,1239
silpo,hard_cheese,2025-11-18,53.99,0.2684587285439009,20.11834319526627,174,1193
silpo,hard_cheese,2025-11-25,52.74,0.2513000061438465,21.5,171,1182
silpo,hard_cheese,2025-12-02,54.99,0.2925657054513679,21.0,174,516
silpo,hard_cheese,2025-12-09,50.99,0.3528966561166919,20.0,172,510
silpo,kefir,2025-10-21,53.24,0.2640668120483978,20.0,114,778
silpo,kefir,2025-10-28,54.49,0.23178119042780695,20.0,114,785
silpo,kefir,2025-11-04,53.49,0.22250008855513442,19.04410990630592,111,769
silpo,kefir,2025-11-11,54.99,0.2308566221410258,20.0,110,762
silpo,kefir,2025-11-18,56.24,0.2134241056259405,21.0,109,759
silpo,kefir,2025-11-25,56.49,0.2125867676326392,22.0,109,762
silpo,kefir,2025-12-02,57.99,0.27375693736550005,20.5,109,325
silpo,kefir,2025-12-09,54.99,0.2776879305181192,19.30392156862745,106,317
silpo,other_dairy,2025-10-21,52.51,0.24676733763128997,20.0,56,380
silpo,other_dairy,2025-10-28,59.9,0.2283568981682189,19.02205495315296,54,373
silpo,other_dairy,2025-11-04,56.49,0.17403508191917896,22.0,55,380
silpo,other_dairy,2025-11-11,57.99,0.2378437425607237,21.25845282350859,53,370
silpo,other_dairy,2025-11-18,55.945,0.27964959568733155,23.0,52,365
silpo,other_dairy,2025-11-25,57.24,0.24383164005805516,22.0,52,365
silpo,other_dairy,2025-12-02,56.24,0.29638009049773756,19.0,51,155
silpo,other_dairy,2025-12-09,57.24,0.3101112723754233,18.61802550005848,52,158
silpo,skim_milk_powder,2025-10-21,57.489999999999995,0.6428571428571429,16.116880492979085,4,28
silpo,skim_milk_powder,2025-10-28,67.295,0.5714285714285714,16.116880492979085,4,28
silpo,skim_milk_powder,2025-11-04,54.99,0.5357142857142857,15.67398119122257,4,25
silpo,skim_milk_powder,2025-11-11,54.99,0.047619047619047616,25.0,3,21
silpo,skim_milk_powder,2025-11-18,65.99,0.047619047619047616,27.0,3,21
silpo,skim_milk_powder,2025-11-25,54.99,0.14285714285714285,15.0,3,21
silpo,skim_milk_powder,2025-12-02,54.99,0.1111111111111111,15.0,3,9
silpo,skim_milk_powder,2025-12-09,54.99,0.1111111111111111,22.0,3,9
silpo,sour_cream,2025-10-21,54.99,0.26701916999921915,19.5,130,907
silpo,sour_cream,2025-10-28,54.24,0.23983235484268786,20.0,127,892
silpo,sour_cream,2025-11-04,59.49,0.2225719403170534,19.0,126,890
silpo,sour_cream,2025-11-11,54.99,0.26378858557858836,20.0,125,884
silpo,sour_cream,2025-11-18,58.99,0.21459371150034817,20.12298001574744,126,885
