retailer,product,date,price_observed_median_uah_kg,price_baseline_median_uah_kg,discount_share,discount_depth_median_pct,n_skus,n_obs
novus,butter,2025-11-04,614.1666666666667,614.1666666666667,0.0,,42,42
novus,butter,2025-11-11,702.7777777777778,702.7777777777778,0.0,,2,3
novus,butter,2025-11-18,207.475,207.475,0.0,,1,1
novus,butter,2025-11-25,577.7777777777778,577.7777777777778,0.0,,1,1
novus,butter,2025-12-02,500.8208333333334,500.8208333333334,0.0,,2,3
novus,butter,2025-12-09,574.9722222222222,574.9722222222222,0.0,,1,4
novus,butter,2025-12-16,770.0,770.0,0.0,,1,1
novus,butter,2025-12-23,301.2124999999999,301.2124999999999,0.0,,3,4
novus,butter,2026-01-06,549.9444444444445,549.9444444444445,0.0,,22,24
novus,condensed_milk,2025-11-04,236.50232991612302,236.50232991612302,0.0,,26,26
novus,condensed_milk,2025-11-11,257.8684210526316,257.8684210526316,0.0,,1,1
novus,condensed_milk,2025-11-25,198.8888888888889,198.8888888888889,0.0,,1,1
novus,condensed_milk,2025-12-09,220.6551724137931,220.6551724137931,0.0,,1,1
novus,condensed_milk,2025-12-16,187.98,187.98,0.0,,1,1
novus,condensed_milk,2025-12-23,733.2222222222222,733.2222222222222,0.0,,1,1
novus,condensed_milk,2026-01-06,210.1566666666667,210.1566666666667,0.0,,7,9
novus,cottage_cheese,2025-11-04,259.9666666666666,259.9666666666666,0.0,,42,45
novus,cottage_cheese,2025-11-18,239.9714285714286,239.9714285714286,0.0,,1,1
novus,cottage_cheese,2025-11-25,400.08985507246376,400.08985507246376,0.0,,1,2
novus,cottage_cheese,2025-12-02,281.3313852813853,281.3313852813853,0.0,,2,3
novus,cottage_cheese,2025-12-09,277.54393939393935,277.54393939393935,0.0,,1,2
novus,cottage_cheese,2025-12-16,326.6333333333333,326.6333333333333,0.0,,1,1
novus,cottage_cheese,2025-12-23,339.2142857142857,339.2142857142857,0.0,,3,3
novus,cottage_cheese,2026-01-06,359.0454545454545,359.0454545454545,0.0,,22,25
novus,cream,2025-11-04,231.1875,231.1875,0.0,,47,47
novus,cream,2025-11-18,181.95,181.95,0.0,,1,2
novus,cream,2025-11-25,246.92499999999998,246.92499999999998,0.0,,1,2
novus,cream,2025-12-02,396.99,396.99,0.0,,2,2
novus,cream,2025-12-09,188.99,188.99,0.0,,1,2
novus,cream,2025-12-16,328.0,328.0,0.0,,1,1
novus,cream,2025-12-23,258.0,258.0,0.0,,1,1
novus,cream,2026-01-06,221.95,221.95,0.0,,14,14
novus,drinking_milk,2025-11-04,86.19540229885057,86.19540229885057,0.0,,50,50
novus,drinking_milk,2025-11-11,93.32222222222221,93.32222222222221,0.0,,1,1
novus,drinking_milk,2025-11-18,166.54725490196077,166.54725490196077,0.0,,2,3
novus,drinking_milk,2025-11-25,44.43333333333334,44.43333333333334,0.0,,1,1
novus,drinking_milk,2025-12-02,198.86666666666667,198.86666666666667,0.0,,1,4
novus,drinking_milk,2025-12-09,72.40229885057471,72.40229885057471,0.0,,1,1
novus,drinking_milk,2025-12-16,105.10833333333332,105.10833333333332,0.0,,1,2
novus,drinking_milk,2025-12-23,72.09473684210526,72.09473684210526,0.0,,4,7
novus,drinking_milk,2026-01-06,62.450287356321844,62.450287356321844,0.0,,27,29
novus,hard_cheese,2025-11-04,1092.5,1092.5,0.0,,209,213
novus,hard_cheese,2025-11-11,383.2444444444444,383.2444444444444,0.0,,2,5
novus,hard_cheese,2025-11-18,541.3888888888889,541.3888888888889,0.0,,2,4
novus,hard_cheese,2025-11-25,541.3888888888889,541.3888888888889,0.0,,3,7
novus,hard_cheese,2025-12-02,566.186403508772,566.186403508772,0.0,,3,7
novus,hard_cheese,2025-12-09,717.8305555555555,717.8305555555555,0.0,,3,12
novus,hard_cheese,2025-12-16,604.5353968253969,604.5353968253969,0.0,,4,5
novus,hard_cheese,2025-12-23,664.0,664.0,0.0,,11,12
novus,hard_cheese,2026-01-06,428.6238738738739,428.6238738738739,0.0,,85,93
novus,kefir,2025-11-04,90.5875,90.5875,0.0,,29,30
novus,kefir,2025-11-11,94.42222222222223,94.42222222222223,0.0,,1,1
novus,kefir,2025-11-25,91.15686274509804,91.15686274509804,0.0,,1,1
novus,kefir,2025-12-09,57.45977011494253,57.45977011494253,0.0,,1,1
novus,kefir,2025-12-16,79.29885057471263,79.29885057471263,0.0,,1,3
novus,kefir,2026-01-06,78.33853955375253,78.33853955375253,0.0,,13,15
novus,other_dairy,2025-11-04,442.73571428571427,442.73571428571427,0.0,,74,74
