flow,code,product_label,year,value_eur_mln,is_dairy_only_0401_0406
imports,0406,Cheese,2015,21.073,True
imports,0406,Cheese,2016,26.977,True
imports,0406,Cheese,2017,41.708,True
imports,0406,Cheese,2018,56.515,True
imports,0406,Cheese,2019,97.137,True
imports,0406,Cheese,2020,184.246,True
imports,0406,Cheese,2021,219.796,True
imports,0406,Cheese,2022,172.526,True
imports,0406,Cheese,2023,185.568,True
imports,0406,Cheese,2024,209.864,True
imports,0407,Shell Eggs,2015,40.667,False
imports,0407,Shell Eggs,2016,14.628,False
imports,0407,Shell Eggs,2017,17.144,False
imports,0407,Shell Eggs,2018,11.128,False
imports,0407,Shell Eggs,2019,18.036,False
imports,0407,Shell Eggs,2020,9.069,False
imports,0407,Shell Eggs,2021,9.314,False
imports,0407,Shell Eggs,2022,22.017,False
imports,0407,Shell Eggs,2023,28.983,False
imports,0407,Shell Eggs,2024,36.441,False
imports,0405,Butter & Fats,2015,2.322,True
imports,0405,Butter & Fats,2016,3.425,True
imports,0405,Butter & Fats,2017,3.966,True
imports,0405,Butter & Fats,2018,6.324,True
imports,0405,Butter & Fats,2019,14.7,True
imports,0405,Butter & Fats,2020,35.554,True
imports,0405,Butter & Fats,2021,38.469,True
imports,0405,Butter & Fats,2022,7.506,True
imports,0405,Butter & Fats,2023,15.378,True
imports,0405,Butter & Fats,2024,17.168,True
imports,0403,Fermented Dairy,2015,3.296,True
imports,0403,Fermented Dairy,2016,3.562,True
imports,0403,Fermented Dairy,2017,4.974,True
imports,0403,Fermented Dairy,2018,6.685,True
imports,0403,Fermented Dairy,2019,8.092,True
imports,0403,Fermented Dairy,2020,12.291,True
imports,0403,Fermented Dairy,2021,16.905,True
imports,0403,Fermented Dairy,2022,14.157,True
imports,0403,Fermented Dairy,2023,16.064,True
imports,0403,Fermented Dairy,2024,15.511,True
imports,0404,Whey,2015,1.889,True
imports,0404,Whey,2016,1.451,True
imports,0404,Whey,2017,2.098,True
imports,0404,Whey,2018,2.642,True
imports,0404,Whey,2019,4.603,True
imports,0404,Whey,2020,6.063,True
imports,0404,Whey,2021,10.422,True
imports,0404,Whey,2022,6.562,True
imports,0404,Whey,2023,11.533,True
imports,0404,Whey,2024,9.989,True
imports,0402,Cond. Milk,2015,1.501,True
imports,0402,Cond. Milk,2016,1.932,True
imports,0402,Cond. Milk,2017,3.338,True
imports,0402,Cond. Milk,2018,4.832,True
imports,0402,Cond. Milk,2019,5.158,True
imports,0402,Cond. Milk,2020,12.271,True
imports,0402,Cond. Milk,2021,17.917,True
imports,0402,Cond. Milk,2022,3.82,True
imports,0402,Cond. Milk,2023,4.381,True
imports,0402,Cond. Milk,2024,4.906,True
imports,0401,Fresh Milk,2015,0.747,True
imports,0401,Fresh Milk,2016,0.96,True
imports,0401,Fresh Milk,2017,1.279,True
imports,0401,Fresh Milk,2018,1.75,True
imports,0401,Fresh Milk,2019,3.191,True
imports,0401,Fresh Milk,2020,10.185,True
imports,0401,Fresh Milk,2021,11.302,True
imports,0401,Fresh Milk,2022,8.145,True
imports,0401,Fresh Milk,2023,5.611,True
imports,0401,Fresh Milk,2024,3.741,True
imports,0408,Egg Products,2015,0.269,False
imports,0408,Egg Products,2016,0.514,False
imports,0408,Egg Products,2017,0.488,False
imports,0408,Egg Products,2018,0.138,False
imports,0408,Egg Products,2019,0.325,False
imports,0408,Egg Products,2020,0.131,False
imports,0408,Egg Products,2021,0.489,False
imports,0408,Egg Products,2022,0.224,False
imports,0408,Egg Products,2023,0.606,False
imports,0408,Egg Products,2024,1.458,False
imports,0409,Honey,2015,0.088,False
imports,0409,Honey,2016,0.279,False
imports,0409,Honey,2017,0.142,False
imports,0409,Honey,2018,0.053,False
imports,0409,Honey,2019,0.054,False
imports,0409,Honey,2020,0.238,False
imports,0409,Honey,2021,0.116,False
imports,0409,Honey,2022,0.418,False
imports,0409,Honey,2023,0.113,False
imports,0409,Honey,2024,0.185,False
imports,0410,Other Animal,2015,0.0,False
imports,0410,Other Animal,2016,0.009,False
imports,0410,Other Animal,2017,0.008,False
imports,0410,Other Animal,2018,0.006,False
imports,0410,Other Animal,2019,0.007,False
imports,0410,Other Animal,2020,0.004,False
imports,0410,Other Animal,2021,0.005,False
imports,0410,Other Animal,2022,0.0,False
imports,0410,Other Animal,2023,0.006,False
imports,0410,Other Animal,2024,0.006,False
imports,01,Live Animals,2015,53.803,False
imports,01,Live Animals,2016,52.396,False
imports,01,Live Animals,2017,50.858,False
imports,01,Live Animals,2018,60.791,False
imports,01,Live Animals,2019,68.453,False
imports,01,Live Animals,2020,70.896,False
imports,01,Live Animals,2021,77.174,False
imports,01,Live Animals,2022,59.386,False
imports,01,Live Animals,2023,74.479,False
imports,01,Live Animals,2024,80.14,False
imports,02,Meat & Offal,2015,89.524,False
imports,02,Meat & Offal,2016,72.992,False
imports,02,Meat & Offal,2017,99.2,False
imports,02,Meat & Offal,2018,141.908,False
imports,02,Meat & Offal,2019,141.662,False
imports,02,Meat & Offal,2020,144.601,False
imports,02,Meat & Offal,2021,181.245,False
imports,02,Meat & Offal,2022,198.958,False
imports,02,Meat & Offal,2023,130.494,False
imports,02,Meat & Offal,2024,95.324,False
imports,03,Seafood,2015,262.343,False
imports,03,Seafood,2016,370.458,False
imports,03,Seafood,2017,403.304,False
imports,03,Seafood,2018,465.07,False
imports,03,Seafood,2019,575.758,False
imports,03,Seafood,2020,596.305,False
imports,03,Seafood,2021,739.417,False
imports,03,Seafood,2022,594.885,False
imports,03,Seafood,2023,742.981,False
imports,03,Seafood,2024,857.1,False
imports,04,Dairy & Eggs,2015,71.853,False
imports,04,Dairy & Eggs,2016,53.738,False
imports,04,Dairy & Eggs,2017,75.145,False
imports,04,Dairy & Eggs,2018,90.075,False
imports,04,Dairy & Eggs,2019,151.303,False
imports,04,Dairy & Eggs,2020,270.053,False
imports,04,Dairy & Eggs,2021,324.735,False
imports,04,Dairy & Eggs,2022,235.375,False
imports,04,Dairy & Eggs,2023,268.243,False
imports,04,Dairy & Eggs,2024,299.271,False
imports,05,Animal Origin,2015,16.449,False
imports,05,Animal Origin,2016,16.345,False
imports,05,Animal Origin,2017,19.272,False
imports,05,Animal Origin,2018,19.051,False
imports,05,Animal Origin,2019,19.756,False
imports,05,Animal Origin,2020,20.308,False
imports,05,Animal Origin,2021,24.086,False
imports,05,Animal Origin,2022,25.505,False
imports,05,Animal Origin,2023,24.27,False
imports,05,Animal Origin,2024,29.195,False
imports,TOTAL,All Products,2015,33809.752,False
imports,TOTAL,All Products,2016,35468.741,False
