model_id,hypothesis,method,y,x,frequency,n,period_start,period_end,long_run_beta,coint_p,ect,ect_p,short_run_dx,short_run_dx_p,ljungbox_p,bp_p,reliability,interpretation,note,ardl_order,pos_coef,pos_p,neg_coef,neg_p,asym_p,coef,pvalue
H1_farmgate_to_processor_butter,H1,ECM,Processor Butter,Farm-gate raw milk,monthly,131,2015-01-01,2026-03-01,1.1798047339197877,0.6534107915154836,0.006082208366162288,0.8387081660333118,0.08065268546589745,0.10496927470266992,0.04484032706313419,0.4519730274597321,unreliable / appendix only,The specification is retained only as a diagnostic or appendix result.,Observed SSSU monthly data; processor and farm-gate prices converted to UAH/kg.,"(2, 4)",,,,,,,
H1_farmgate_to_processor_butter_asymmetry,H1,NARDL-lite,Processor Butter,Farm-gate raw milk,monthly,131,2015-01-01,2026-03-01,,,0.034957352008921916,0.28714598832406446,,,,,unreliable / appendix only,Asymmetry evidence is too weak for the main text.,"Asymmetry is a mechanism under H1, not a separate hypothesis.",,0.038596730703286564,0.4491862390894096,0.5687183595140106,0.02437706961802545,0.05007762310128205,,
H1_farmgate_to_processor_drinking_milk,H1,ECM,Processor Drinking milk,Farm-gate raw milk,monthly,131,2015-01-01,2026-03-01,1.042784370340883,0.08573410055053204,-0.018184327375065312,0.4029153814659924,0.23705945857717473,3.6459491114317336e-05,0.604298046225042,0.0004732658639587889,unreliable / appendix only,The specification is retained only as a diagnostic or appendix result.,Observed SSSU monthly data; processor and farm-gate prices converted to UAH/kg.,"(2, 1)",,,,,,,
H1_farmgate_to_processor_drinking_milk_asymmetry,H1,NARDL-lite,Processor Drinking milk,Farm-gate raw milk,monthly,131,2015-01-01,2026-03-01,,,-0.0251746687159982,0.28255913896414186,,,,,unreliable / appendix only,Asymmetry evidence is too weak for the main text.,"Asymmetry is a mechanism under H1, not a separate hypothesis.",,0.22265924925596975,0.00019103339597801265,0.40473102016501894,0.005396630346850765,0.2387735459574009,,
H1_farmgate_to_processor_hard_cheese,H1,ECM,Processor Hard cheese,Farm-gate raw milk,monthly,131,2015-01-01,2026-03-01,0.9619482823094518,0.03221239665880101,-0.007031638731162684,0.747318176610318,0.1390986772084948,0.0003395367588363007,0.03877067559387262,0.4872339618591489,unreliable / appendix only,The specification is retained only as a diagnostic or appendix result.,Observed SSSU monthly data; processor and farm-gate prices converted to UAH/kg.,"(2, 1)",,,,,,,
H1_farmgate_to_processor_hard_cheese_asymmetry,H1,NARDL-lite,Processor Hard cheese,Farm-gate raw milk,monthly,131,2015-01-01,2026-03-01,,,-0.016853394260384146,0.4813469651300697,,,,,unreliable / appendix only,Asymmetry evidence is too weak for the main text.,"Asymmetry is a mechanism under H1, not a separate hypothesis.",,0.1297691563802304,0.0005646843642933663,0.32171543759285476,0.1459939660357348,0.3976388147117389,,
H1_farmgate_to_processor_kefir,H1,ECM,Processor Kefir,Farm-gate raw milk,monthly,131,2015-01-01,2026-03-01,1.0597391682885988,0.03795064992294183,0.024712903389232738,0.21844452413009985,0.13595162951068063,0.02796996530873517,0.29853529775271576,0.003657969942018432,unreliable / appendix only,The specification is retained only as a diagnostic or appendix result.,Observed SSSU monthly data; processor and farm-gate prices converted to UAH/kg.,"(1, 2)",,,,,,,
H1_farmgate_to_processor_kefir_asymmetry,H1,NARDL-lite,Processor Kefir,Farm-gate raw milk,monthly,131,2015-01-01,2026-03-01,,,0.014911829244000335,0.6003816775078143,,,,,unreliable / appendix only,Asymmetry evidence is too weak for the main text.,"Asymmetry is a mechanism under H1, not a separate hypothesis.",,0.13428279567087395,0.04932041445796743,0.18290460711460466,0.3488453098853542,0.8181337580347617,,
H1_farmgate_to_processor_skim_milk_powder,H1,ECM,Processor Skim milk powder,Farm-gate raw milk,monthly,131,2015-01-01,2026-03-01,0.8486448524199661,0.41555467620623415,-0.011378396842356503,0.5317515912629559,0.14259645956140798,0.02748550207811813,0.6594404324976912,0.6104390559250599,unreliable / appendix only,The specification is retained only as a diagnostic or appendix result.,Observed SSSU monthly data; processor and farm-gate prices converted to UAH/kg.,"(2, 2)",,,,,,,
H1_farmgate_to_processor_skim_milk_powder_asymmetry,H1,NARDL-lite,Processor Skim milk powder,Farm-gate raw milk,monthly,131,2015-01-01,2026-03-01,,,-0.02361197379417725,0.20822992381285577,,,,,unreliable / appendix only,Asymmetry evidence is too weak for the main text.,"Asymmetry is a mechanism under H1, not a separate hypothesis.",,0.13283540734979346,0.04965471593712768,0.2990776335834628,0.24192927918263474,0.5364791967972935,,
H1_farmgate_to_processor_sour_cream,H1,ECM,Processor Sour cream,Farm-gate raw milk,monthly,131,2015-01-01,2026-03-01,1.0204297466321128,0.035735494771235526,-0.035853986995954656,0.12210593900754896,0.18435742473358852,0.028716944986658312,0.2700634935132771,3.1266655876164637e-06,probable / needs validation,"The coefficient pattern is economically usable but diagnostically weaker: beta 1.02, ECT -0.04.",Observed SSSU monthly data; processor and farm-gate prices converted to UAH/kg.,"(2, 1)",,,,,,,
H1_farmgate_to_processor_sour_cream_asymmetry,H1,NARDL-lite,Processor Sour cream,Farm-gate raw milk,monthly,131,2015-01-01,2026-03-01,,,-0.03278961781634844,0.3661460189567499,,,,,unreliable / appendix only,Asymmetry evidence is too weak for the main text.,"Asymmetry is a mechanism under H1, not a separate hypothesis.",,0.176800446266998,0.06217685054187156,0.21539297872111235,0.28100025215852165,0.8640306148807468,,
H2_processor_to_consumer_drinking_milk,H2,ECM,Official consumer Drinking milk,Processor Drinking milk,monthly,111,2017-01-01,2026-03-01,0.888768009650942,0.766660721346764,-0.06641701145710235,0.019311996505766642,0.18727558638034275,0.016181792592497336,0.9080182594679076,0.018168448560282987,probable / needs validation,"The coefficient pattern is economically usable but diagnostically weaker: beta 0.89, ECT -0.07.",Observed SSSU monthly processor-to-consumer bridge.,"(4, 3)",,,,,,,
H2_processor_to_consumer_drinking_milk_asymmetry,H2,NARDL-lite,Official consumer Drinking milk,Processor Drinking milk,monthly,111,2017-01-01,2026-03-01,,,-0.1130823924858273,0.010600982569862347,,,,,reliable,"Asymmetry is statistically meaningful: positive shocks 0.29, negative shocks -0.08.",Observed SSSU monthly processor-to-consumer bridge.,,0.29361760585265845,0.013957995203685132,-0.08012789654091096,0.39885544354368974,0.031129008534763695,,
H2_processor_to_consumer_sour_cream,H2,ECM,Official consumer Sour cream,Processor Sour cream,monthly,111,2017-01-01,2026-03-01,1.1744110227880533,0.01850596464383745,-0.007854614375216451,0.8189549533776929,0.21747051735732056,0.00021649452831453138,0.8142644570535854,0.2501804857058642,unreliable / appendix only,The specification is retained only as a diagnostic or appendix result.,Observed SSSU monthly processor-to-consumer bridge.,"(2, 3)",,,,,,,
H2_processor_to_consumer_sour_cream_asymmetry,H2,NARDL-lite,Official consumer Sour cream,Processor Sour cream,monthly,111,2017-01-01,2026-03-01,,,-0.09262215470775144,0.0784607547460731,,,,,probable / needs validation,Asymmetry is suggestive but should not be a headline claim.,Observed SSSU monthly processor-to-consumer bridge.,,0.30128711751477827,5.961775239957522e-05,0.1390904769623299,0.09375402911813924,0.1933573139811342,,
H2_processor_to_consumer_soft_cheese,H2,ECM,Official consumer Soft cheese,Processor hard cheese,monthly,111,2017-01-01,2026-03-01,1.146136083346202,0.1503072423782103,-0.08209929836498141,0.08636320230881017,0.2777753168188539,2.7274872363494727e-06,0.22124837303999878,0.10945135316015382,probable / needs validation,"The coefficient pattern is economically usable but diagnostically weaker: beta 1.15, ECT -0.08.",Soft consumer cheese compared with hard processor cheese; keep as appendix if diagnostics are weak.,"(4, 4)",,,,,,,
H2_processor_to_consumer_soft_cheese_asymmetry,H2,NARDL-lite,Official consumer Soft cheese,Processor hard cheese,monthly,111,2017-01-01,2026-03-01,,,-0.10578890655196457,0.015739614520954053,,,,,probable / needs validation,Asymmetry is suggestive but should not be a headline claim.,Soft consumer cheese compared with hard processor cheese; keep as appendix if diagnostics are weak.,,0.3022427087181402,0.00046354544841248173,0.3088079893190943,0.00630777876865439,0.9704710119550527,,
H1_farmgate_to_prozorro_butter,H1,ECM,ProZorro Butter,Farm-gate raw milk,monthly,36,2023-01-01,2026-03-01,1.3698886302862205,0.00501669627057651,-0.5013096051597198,0.0011036984126326884,0.7817046954500311,1.342640597087516e-06,0.3201938869611135,0.8125010245597127,probable / needs validation,"The coefficient pattern is economically usable but diagnostically weaker: beta 1.37, ECT -0.50.",Short ProZorro bridge; use as mechanism evidence only unless diagnostics are strong.,,,,,,,,
H2_processor_to_prozorro_butter,H2,ECM,ProZorro Butter,Processor Butter,monthly,39,2023-01-01,2026-03-01,1.1633070124433003,1.7824337321155574e-05,-1.0283938142356304,3.9729320726236466e-07,0.5998591294455521,0.17021689930843342,0.9054570488296291,0.18823005809131502,probable / needs validation,"The coefficient pattern is economically usable but diagnostically weaker: beta 1.16, ECT -1.03.","Institutional procurement bridge, not retail.",,,,,,,,
H1_farmgate_to_prozorro_condensed_milk,H1,ECM,ProZorro Condensed milk,Farm-gate raw milk,monthly,34,2023-02-01,2026-03-01,0.36779025378563773,0.005825590049581459,-0.8207540189247859,4.221657596102582e-06,0.0986901418452632,0.7746377245252201,0.6912936933761618,0.5193206121861538,probable / needs validation,"The coefficient pattern is economically usable but diagnostically weaker: beta 0.37, ECT -0.82.",Short ProZorro bridge; use as mechanism evidence only unless diagnostics are strong.,,,,,,,,
H1_farmgate_to_prozorro_cottage_cheese,H1,ECM,ProZorro Cottage cheese,Farm-gate raw milk,monthly,36,2023-01-01,2026-03-01,0.29529077173578855,0.0043639136434783145,-0.6928559072351959,2.7793728060652217e-07,0.21311181723353184,0.1621675501631008,0.9721600611566739,0.8164285591149758,probable / needs validation,"The coefficient pattern is economically usable but diagnostically weaker: beta 0.30, ECT -0.69.",Short ProZorro bridge; use as mechanism evidence only unless diagnostics are strong.,,,,,,,,
H1_farmgate_to_prozorro_cream,H1,ECM,ProZorro Cream,Farm-gate raw milk,monthly,16,2023-02-01,2026-02-01,,,,,,,,,unreliable / appendix only,Too few observations for a reliable equilibrium model.,Short ProZorro bridge; use as mechanism evidence only unless diagnostics are strong.,,,,,,,,
H1_farmgate_to_prozorro_drinking_milk,H1,ECM,ProZorro Drinking milk,Farm-gate raw milk,monthly,36,2023-01-01,2026-03-01,0.8184203742763052,0.014334670662458816,-0.42098153917607406,0.01763305500902448,0.1870688170843432,0.3127130451596204,0.3113512963912963,0.6305655933078662,probable / needs validation,"The coefficient pattern is economically usable but diagnostically weaker: beta 0.82, ECT -0.42.",Short ProZorro bridge; use as mechanism evidence only unless diagnostics are strong.,,,,,,,,
H2_processor_to_prozorro_drinking_milk,H2,ECM,ProZorro Drinking milk,Processor Drinking milk,monthly,39,2023-01-01,2026-03-01,1.0848940530227313,0.7061270540473897,-0.4623795099228405,0.007761301303089154,1.3940079507465424,4.948857737243441e-07,0.5970230582132405,0.5625400468127113,probable / needs validation,"The coefficient pattern is economically usable but diagnostically weaker: beta 1.08, ECT -0.46.","Institutional procurement bridge, not retail.",,,,,,,,
H1_farmgate_to_prozorro_hard_cheese,H1,ECM,ProZorro Hard cheese,Farm-gate raw milk,monthly,36,2023-01-01,2026-03-01,0.8656185931643946,9.225797765889474e-06,-0.716877135044167,0.0014424059111314733,0.5776320014244574,0.0018323130153158132,0.7182420659139108,0.3599894014635352,probable / needs validation,"The coefficient pattern is economically usable but diagnostically weaker: beta 0.87, ECT -0.72.",Short ProZorro bridge; use as mechanism evidence only unless diagnostics are strong.,,,,,,,,
H2_processor_to_prozorro_hard_cheese,H2,ECM,ProZorro Hard cheese,Processor Hard cheese,monthly,39,2023-01-01,2026-03-01,1.3785256610511545,1.1033057724159107e-08,-0.8694107591653568,9.31489606359458e-10,1.163924788612065,0.1547101833571827,0.8120965606404665,0.8316765479139901,probable / needs validation,"The coefficient pattern is economically usable but diagnostically weaker: beta 1.38, ECT -0.87.","Institutional procurement bridge, not retail.",,,,,,,,
H1_farmgate_to_prozorro_skim_milk_powder,H1,ECM,ProZorro Skim milk powder,Farm-gate raw milk,monthly,25,2023-04-01,2026-03-01,0.1966385745498671,0.9629556094886789,-1.435786068034682,2.4960282290537083e-10,-0.2828587620212115,0.25393175891259645,0.45492971765556434,0.2746291003796562,unreliable / appendix only,The specification is retained only as a diagnostic or appendix result.,Short ProZorro bridge; use as mechanism evidence only unless diagnostics are strong.,,,,,,,,
H2_processor_to_prozorro_skim_milk_powder,H2,ECM,ProZorro Skim milk powder,Processor Skim milk powder,monthly,28,2023-04-01,2026-03-01,1.5115398037710555,0.7144054854147343,-1.5676789971723255,7.184500621832412e-35,2.0003572509153016,0.010849032771211397,0.8681830762968435,0.9492562994519383,unreliable / appendix only,The specification is retained only as a diagnostic or appendix result.,"Institutional procurement bridge, not retail.",,,,,,,,
H2_prozorro_to_pooled_retail_observed_weekly,H2,Short panel OLS-HAC,retail_observed,prozorro_price,weekly/daily retail mechanism,39,2025-10-28,2026-01-06,,,,,,,,,unreliable / appendix only,"Short-window retail mechanism evidence; use for H2 timing and promotion discussion, not as a long-run market-power proof.",Direct same-week ProZorro-retail product aggregate; short overlap.,,,,,,,0.27346113997547655,0.2414082170142341
H2_prozorro_to_pooled_retail_baseline_weekly,H2,Short panel OLS-HAC,retail_baseline,prozorro_price,weekly/daily retail mechanism,39,2025-10-28,2026-01-06,,,,,,,,,unreliable / appendix only,"Short-window retail mechanism evidence; use for H2 timing and promotion discussion, not as a long-run market-power proof.",Baseline non-discount retail price comparison; short overlap.,,,,,,,0.28673773907115924,0.21864021761162844
H2_prozorro_to_pooled_retail_package_weekly,H2,Short panel OLS-HAC,price_package_median_uah,prozorro_price,weekly/daily retail mechanism,53,2025-10-28,2026-01-06,,,,,,,,,unreliable / appendix only,"Short-window retail mechanism evidence; use for H2 timing and promotion discussion, not as a long-run market-power proof.","SKU/package-price index response. Levels are not comparable to UAH/kg, but within-product log changes are useful as a short retail mechanism check.",,,,,,,0.5856677011306316,0.1281494501453709
H2_prozorro_to_pooled_retail_observed_daily_asof,H2,Short panel OLS-HAC,retail_observed,prozorro_price,weekly/daily retail mechanism,104,2025-11-02,2026-01-08,,,,,,,,,probable / needs validation,"Short-window retail mechanism evidence; use for H2 timing and promotion discussion, not as a long-run market-power proof.",Daily retail matched to latest ProZorro price within 30 days; mechanism evidence only.,,,,,,,-0.5456701134985924,0.05586107382849808
H2_prozorro_to_pooled_retail_package_daily_asof,H2,Short panel OLS-HAC,price_package_median_uah,prozorro_price,weekly/daily retail mechanism,402,2025-10-22,2026-01-08,,,,,,,,,unreliable / appendix only,"Short-window retail mechanism evidence; use for H2 timing and promotion discussion, not as a long-run market-power proof.",Daily SKU/package-price index matched to latest ProZorro price within 30 days. Use only as mechanism evidence.,,,,,,,-0.09384561835008129,0.2832991118240824
