link,x_col,y_col,data_variant,model_reliability,model_family,n_obs,sr_coef,lr_coef,ect_coef,ect_pvalue,cointegration_p,lag_order,notes,ljungbox_p,bp_p,white_p,jb_p,stability_flag,asymmetry_pvalue
Index FarmGate -> Producer,farmgate_index_weekly,producer_index_weekly,weekly_raw,conditionally_usable,ECM,210,0.7478928231390336,0.8832881629679926,-0.048937178455714346,2.113812820798397e-05,0.0001336637696965107,1,engle_granger_p=0.0001337,0.01954176767951292,0.06902276909153081,1.4633664807895817e-06,1.3804634458039017e-116,0,
Index FarmGate -> Producer,farmgate_index_weekly,producer_index_weekly,weekly_raw,conditionally_usable,NARDL,210,0.974177518473546,-0.13217158502035753,-0.051557994714139924,0.001106387007375014,,1,Positive and negative weekly shock decomposition.,0.000611724677507499,0.0005095759253508563,1.4972391417438167e-08,9.941390121240746e-09,0,0.8921779400070722
Index FarmGate -> Producer,farmgate_index_weekly_smooth,producer_index_weekly_smooth,weekly_smoothed,reliable,ECM,210,0.5840990706884733,0.8843679258107884,-0.04554966676525755,5.280947471207429e-05,0.0007176900459791176,1,engle_granger_p=0.0007177,0.22255066636844367,0.05023805146949197,1.0905808720567305e-09,9.430253424562176e-11,0,
Index FarmGate -> Producer,farmgate_index_weekly_smooth,producer_index_weekly_smooth,weekly_smoothed,conditionally_usable,NARDL,210,0.661204360648704,-0.06890846442669646,-0.04725356051285778,0.0005240958121874767,,1,Positive and negative weekly shock decomposition.,0.18878375801454994,0.40894518578026107,7.63811073361336e-09,0.0009092264949739652,0,0.9378195543568243
Index Producer -> Procurement,producer_index_weekly,procurement_index_weekly,weekly_raw,reliable,ECM,37,-1.6968349836246128,0.8830456882712434,-1.3150336635937863,7.90832983830884e-06,1.4030465551173538e-06,1,engle_granger_p=1.403e-06,0.4384009847529825,0.007014191844981959,0.018425169759440283,0.5199951519784477,0,
Index Producer -> Procurement,producer_index_weekly,procurement_index_weekly,weekly_raw,reliable,NARDL,37,-4.459688343575294,1.2713505692600244,-1.6013968748144027,3.2540447703292775e-15,,1,Positive and negative weekly shock decomposition.,0.1088878611951884,0.02795327737122963,0.2609821286057074,0.7952981274078856,0,3.8271179975679696e-08
Index Producer -> Procurement,producer_index_weekly_smooth,procurement_index_weekly_smooth,weekly_smoothed,reliable,ECM,39,-0.0804752514112009,0.8656523408191686,-0.5657431770889799,0.00014792531345123215,0.033949043958364004,1,engle_granger_p=0.03395,0.329108687798167,0.4605407917295823,0.07995028224665275,0.00020473137835087636,0,
Index Producer -> Procurement,producer_index_weekly_smooth,procurement_index_weekly_smooth,weekly_smoothed,reliable,NARDL,39,-0.39289026744098465,1.4266544802432959,-0.693775337694028,2.618692298370206e-06,,1,Positive and negative weekly shock decomposition.,0.16727492280782363,0.0369850391738864,0.11594034071206674,0.024667076574550348,0,0.004848284360534611
Index FarmGate -> Downstream extension,farmgate_index_weekly,downstream_extension_weekly,weekly_raw,reliable,ECM,207,1.2664439134805572,1.1560889046410536,-0.21341250924097832,0.0058650583009290875,0.004972226383238165,4,engle_granger_p=0.004972,0.9992317730642897,0.9210536476062997,0.14771788610764985,0.0,0,
Index FarmGate -> Downstream extension,farmgate_index_weekly,downstream_extension_weekly,weekly_raw,conditionally_usable,NARDL,210,1.9851840787955948,1.4216995715353475,-0.27682053390285,0.08482702074963862,,1,Positive and negative weekly shock decomposition.,0.05189035046564926,9.496704063443253e-07,3.999384833958111e-06,0.0,0,0.27586076724844794
Index FarmGate -> Downstream extension,farmgate_index_weekly_smooth,downstream_extension_weekly_smooth,weekly_smoothed,reliable,ECM,207,0.957663655974957,1.159277810623595,-0.15290276624132026,0.006909969549400184,0.013171364845106991,4,engle_granger_p=0.01317,0.9956861403529225,0.9096370660008651,0.3569171182083662,0.0,0,
Index FarmGate -> Downstream extension,farmgate_index_weekly_smooth,downstream_extension_weekly_smooth,weekly_smoothed,conditionally_usable,NARDL,210,2.9120409485270713,0.6361245925422978,-0.16087408940369197,0.05422334933505254,,1,Positive and negative weekly shock decomposition.,0.00039407971519400274,0.00010117666760432337,0.00045396477970252906,0.0,0,0.6662642295444764
Index Producer -> Downstream extension,producer_index_weekly,downstream_extension_weekly,weekly_raw,reliable,NARDL,210,1.1644436198252464,1.5305153581837754,-0.3449604490845166,0.036040086755201046,,1,Positive and negative weekly shock decomposition.,0.0880404898670559,8.076262208801413e-07,7.00440015632086e-06,0.0,0,0.06338261151632252
Index Producer -> Downstream extension,producer_index_weekly_smooth,downstream_extension_weekly_smooth,weekly_smoothed,conditionally_usable,NARDL,210,0.8305561574459841,1.4189068738417718,-0.23956562835292508,0.05084965774463591,,1,Positive and negative weekly shock decomposition.,6.736868898275936e-05,1.0322793053687233e-05,2.515308844290928e-06,0.0,0,0.1505925018098356
Index Procurement -> Downstream extension,procurement_index_weekly,downstream_extension_weekly,weekly_raw,conditionally_usable,NARDL,37,-0.6129032845362654,-1.253516888102706,-0.6707912656021254,0.010751590751865435,,1,Positive and negative weekly shock decomposition.,0.6941872081731486,0.1119180042247421,0.4104001535673401,9.11160036521247e-28,0,0.35323888814413784
Index Procurement -> Downstream extension,procurement_index_weekly_smooth,downstream_extension_weekly_smooth,weekly_smoothed,conditionally_usable,NARDL,39,-0.5857164493095484,-1.2049118048238123,-0.5342265336829113,0.001303145865860856,,1,Positive and negative weekly shock decomposition.,0.6251407964371474,0.21409595312201118,0.3496374943743983,7.099564544852895e-33,0,0.28718627029115357
