product,product_label,link,x_col,y_col,data_variant,admissibility_status,mapping_type,model_reliability,model_family,n_obs,sr_coef,lr_coef,ect_coef,ect_pvalue,cointegration_p,lag_order,notes,ljungbox_p,bp_p,white_p,jb_p,stability_flag,asymmetry_pvalue
butter,Butter,FarmGate -> Procurement,farmgate_combined_linear_weekly,prozorro_weekly,weekly_raw,weak_extension,inferred,reliable,ECM,37,-2.210454726685891,1.6299229189501268,-0.6043123382958279,5.007681598294524e-08,7.427564536896012e-06,1,engle_granger_p=7.428e-06,0.5650764588239303,0.7987343008372239,0.18412499939614704,0.5369468724142453,0,
butter,Butter,FarmGate -> Procurement,farmgate_combined_linear_weekly,prozorro_weekly,weekly_raw,weak_extension,inferred,reliable,NARDL,37,-3.049261252428387,3.578983527939642,-0.7597660835567109,2.1003996904809485e-06,,1,Positive and negative weekly shock decomposition.,0.7469862473784034,0.6340233272140514,0.2627018243999982,0.6183466055001724,0,0.009213124099216827
butter,Butter,FarmGate -> Procurement,farmgate_combined_linear_weekly_smooth,prozorro_weekly_smooth,weekly_smoothed,weak_extension,inferred,reliable,NARDL,39,0.686817801542552,2.239254641549302,-0.3759375446724709,0.0003648512963013116,,1,Positive and negative weekly shock decomposition.,0.8634120022289299,0.6349414229081181,0.2358216245273281,0.04421341545351302,0,0.09353043146871337
butter,Butter,FarmGate -> Producer,farmgate_combined_linear_weekly,producer_linear_weekly,weekly_raw,acceptable,inferred,reliable,ECM,208,1.3160266756500547,1.4812452605612247,-0.046307185721509936,0.002159646916986121,0.0005933919508350359,3,engle_granger_p=0.0005934,0.4420875574627414,0.5555328754670052,0.5338812865613318,0.0005632978165569444,0,
butter,Butter,FarmGate -> Producer,farmgate_combined_linear_weekly_smooth,producer_linear_weekly_smooth,weekly_smoothed,acceptable,inferred,reliable,ECM,210,1.046106507212257,1.4814804195963363,-0.03918595268591528,0.005626534994827443,0.0006816120902666117,1,engle_granger_p=0.0006816,0.14945254863372215,0.7577792718405967,0.02867618966222299,7.219135677027921e-05,0,
butter,Butter,FarmGate -> Producer,farmgate_combined_linear_weekly,producer_linear_weekly,weekly_raw,acceptable,inferred,conditionally_usable,NARDL,210,1.9280949403017837,-1.1702326669505814,-0.05694465176099807,0.0007958899878906975,,1,Positive and negative weekly shock decomposition.,0.00034783653384188316,0.34233804822282626,0.0674223686732147,0.0017525902640361775,0,0.38066740886368344
butter,Butter,FarmGate -> Producer,farmgate_combined_linear_weekly_smooth,producer_linear_weekly_smooth,weekly_smoothed,acceptable,inferred,conditionally_usable,NARDL,210,1.4897825318722335,-0.8031929642497188,-0.05582845969557356,0.00011458866989539597,,1,Positive and negative weekly shock decomposition.,0.013712991030497465,0.5090782589279241,0.02615735936499101,1.6451625838732525e-13,0,0.5126425241968662
butter,Butter,Producer -> Procurement,producer_linear_weekly,prozorro_weekly,weekly_raw,weak_extension,direct,conditionally_usable,NARDL,37,-2.8371950440011964,0.22168751645848989,-0.7932274610664828,0.00015978619064663523,,1,Positive and negative weekly shock decomposition.,0.2530379922459903,0.5616182462537844,0.15972327131082073,0.7827437946068134,0,0.4944254604683991
butter,Butter,Producer -> Procurement,producer_linear_weekly_smooth,prozorro_weekly_smooth,weekly_smoothed,weak_extension,direct,reliable,NARDL,39,1.2166181435716472,2.4550128775822087,-0.22486257676899862,0.0892300895347895,,1,Positive and negative weekly shock decomposition.,0.08865758134242264,0.15960346126107,0.215985543426075,0.4111028464965023,0,0.0008980653442787191
cheese,CHEESE,FarmGate -> Procurement,farmgate_combined_linear_weekly,prozorro_weekly,weekly_raw,weak_extension,inferred,reliable,ECM,36,-5.1493102651295,1.894097129074936,-1.4969793866922574,2.927927334878233e-09,0.0006281500054102716,2,engle_granger_p=0.0006282,0.7402819969738974,0.20198566095605408,0.34893085982724753,0.5468529766933272,0,
