model,product,product_label,link,link_direction,price_variant,farm_gate_source,reconstruction_variant,horizon_days,n_obs,coef,pvalue,stderr,r2,core_signal,ljungbox_p,arch_p,jb_p,coef_positive_shock,p_positive_shock,coef_negative_shock_abs,p_negative_shock_abs,asymmetry_pvalue,asymmetry_gap
LP_linear,butter,Butter,FarmGateUA -> ProducerUA,forward,processor_price,initial,linear,0,1476,1.0626274953965829,1.823542509423219e-75,0.057807356916637874,0.8973894224364478,1,0.3127680813010328,0.6528058989624949,0.0,,,,,,
LP_asymmetric,butter,Butter,FarmGateUA -> ProducerUA,forward,processor_price,initial,linear,0,1476,,,,0.8973895567898689,1,0.31306918089107444,0.6524539273876223,0.0,1.063229498136964,2.989566171150403e-75,-1.0615037744158597,1.5406489070376397e-49,2.972388231871089e-71,2.124733272552824
LP_linear,butter,Butter,FarmGateUA -> ProducerUA,forward,processor_price,initial,linear,1,1475,1.9687616460661639,1.0394076658805435e-48,0.13422510706689383,0.8353626150216888,1,2.674138894296166e-31,5.2510156100613055e-11,0.0,,,,,,
LP_asymmetric,butter,Butter,FarmGateUA -> ProducerUA,forward,processor_price,initial,linear,1,1475,,,,0.8354513331102306,1,3.269661128927466e-31,5.3465681910553076e-11,0.0,1.9986654238865964,1.4064038080866849e-37,-1.912835903146847,3.6595349010982574e-33,1.4871622389531353e-51,3.9115013270334433
LP_linear,butter,Butter,FarmGateUA -> ProducerUA,forward,processor_price,initial,linear,3,1473,3.353774776164937,4.1712574023347536e-21,0.3557168220259426,0.7048672769270882,1,4.9068869549156624e-182,6.997631535030461e-72,0.0,,,,,,
LP_asymmetric,butter,Butter,FarmGateUA -> ProducerUA,forward,processor_price,initial,linear,3,1473,,,,0.705739898290749,1,3.8712304641892515e-182,1.7188451362322366e-69,0.0,3.5311809424176808,2.639572342801931e-13,-3.0202605169118297,4.354273143310435e-15,1.6215368880619845e-28,6.55144145932951
LP_linear,butter,Butter,FarmGateUA -> ProducerUA,forward,processor_price,initial,linear,7,1469,4.524370449118646,2.660123796222256e-10,0.7161768154189422,0.4933649338665679,1,0.0,1.2669892637594125e-168,0.0,,,,,,
LP_asymmetric,butter,Butter,FarmGateUA -> ProducerUA,forward,processor_price,initial,linear,7,1469,,,,0.4943959962422676,1,0.0,2.689633838209785e-164,0.0,4.874352685112987,8.28188896851839e-09,-3.863625620861341,5.9188512578588735e-06,6.576730787373058e-12,8.737978305974327
LP_linear,butter,Butter,FarmGateUA -> ProducerUA,forward,processor_price,initial,linear,14,1462,4.170640784313236,2.3088121563040805e-06,0.8828014592525012,0.30761270244670125,1,0.0,3.2474241354789874e-238,2.95024003715952e-132,,,,,,
LP_asymmetric,butter,Butter,FarmGateUA -> ProducerUA,forward,processor_price,initial,linear,14,1462,,,,0.3139334559486143,1,0.0,2.2830108609872958e-234,7.212787816685439e-126,5.576596524810305,3.81559982695785e-08,-1.4391942572622505,0.4163909496742626,3.36990277611007e-05,7.015790782072555
LP_linear,butter,Butter,FarmGateUA -> ProducerUA,forward,processor_price,initial,linear,21,1455,3.6051569319169974,0.0013172415334068727,1.1223338008540604,0.25874154971952024,1,0.0,1.108145902645977e-245,1.0810924261430292e-11,,,,,,
LP_asymmetric,butter,Butter,FarmGateUA -> ProducerUA,forward,processor_price,initial,linear,21,1455,,,,0.2682044218942189,1,0.0,7.782579435174817e-238,1.4343852512613194e-08,5.812124256682446,4.386533059639022e-06,0.8645355068895044,0.7622769914985711,0.045371630115341274,4.947588749792941
LP_linear,butter,Butter,FarmGateUA -> ProZorro,forward,procurement_price,initial,linear,0,268,-2.318550564540181,0.738500344431043,6.945096438176428,0.15092602129633825,0,2.115442626090793e-05,0.005977815951059467,2.9943765645677954e-17,,,,,,
LP_asymmetric,butter,Butter,FarmGateUA -> ProZorro,forward,procurement_price,initial,linear,0,268,,,,0.1511504850199603,0,2.1277227571102177e-05,0.006712015201592491,3.6578102585337046e-18,0.00010720625657190119,0.999992589301709,3.2697246055341482,0.6958163334985055,0.8222223449364785,-3.2696173992775766
LP_linear,butter,Butter,FarmGateUA -> ProZorro,forward,procurement_price,initial,linear,1,267,-3.788970608840367,0.5799877470670745,6.846679957538257,0.22610545067080678,0,1.2846362437899575e-14,0.034607463735544096,8.424808314502954e-11,,,,,,
LP_asymmetric,butter,Butter,FarmGateUA -> ProZorro,forward,procurement_price,initial,linear,1,267,,,,0.22658807569070494,0,1.2553747605994393e-14,0.03155662864746415,4.0168225649837967e-11,-0.03129278925654655,0.9982908967802973,5.333749366265625,0.5236271470511554,0.7381060635008607,-5.365042155522172
LP_linear,butter,Butter,FarmGateUA -> ProZorro,forward,procurement_price,initial,linear,3,265,-7.784588175665524,0.2701276704493879,7.059131195852704,0.18880606403200462,0,3.1706811007225637e-25,0.0005604242646916207,7.224111259016558e-29,,,,,,
LP_asymmetric,butter,Butter,FarmGateUA -> ProZorro,forward,procurement_price,initial,linear,3,265,,,,0.19036673852575137,0,5.031256483754317e-25,0.001237872274493846,6.436073002045095e-30,-0.5918343486931175,0.9566325417357665,10.715247539853356,0.24295857102026075,0.42412523758415654,-11.307081888546474
LP_linear,butter,Butter,FarmGateUA -> ProZorro,forward,procurement_price,initial,linear,7,261,-8.73099876160002,0.34666965166719677,9.277748493927739,0.24349997162399428,0,1.3390541773614998e-16,0.00034606373032088663,0.0039242490029554825,,,,,,
LP_asymmetric,butter,Butter,FarmGateUA -> ProZorro,forward,procurement_price,initial,linear,7,261,,,,0.24742837084112734,1,2.0100922012949936e-15,0.00034083145361931853,0.002216027457696066,-19.323369573602623,0.04389846532570544,3.8168900079115833,0.7545776334520937,0.1133588859762078,-23.140259581514208
