link,link_direction,price_variant,horizon_days,models,products,variants,mean_coef,median_coef,mean_abs_coef,sig_share,core_share,median_n_obs
FarmGateUA -> ProZorro,forward,procurement_price,0,28,7,2,-2.0780217417622575,0.17923507645671022,7.889457681959073,0.14285714285714285,0.14285714285714285,268.0
FarmGateUA -> ProducerUA,forward,processor_price,0,20,5,2,0.9290533670202292,0.9492542240215143,0.9290533670202293,1.0,1.0,1476.0
FarmGateUA -> Retail,forward,retail_observed,0,36,9,2,9.843007404574136,4.084352710307101,12.73459461128034,0.16666666666666666,0.16666666666666666,60.0
FarmGateUA -> Retail optimal,forward,retail_optimal_observed,0,36,9,2,1.6599487595194222,4.084352710307101,20.82424588414685,0.16666666666666666,0.16666666666666666,60.0
Novus -> ProZorro,reverse,novus_observed,0,8,4,2,-0.9877043555026555,0.0024628014060632617,1.0316827381604556,0.25,0.0,41.5
ProZorro -> Novus,forward,novus_observed,0,8,4,2,0.015031424970618344,-0.0030776852095667634,0.09781564487299887,0.25,0.0,41.5
ProZorro -> ProducerUA,reverse,processor_price,0,10,5,2,0.0003477804607395239,-7.885078984866639e-05,0.001296185948419768,0.0,0.0,268.0
ProZorro -> Retail,forward,retail_baseline,0,12,6,2,-0.060652982752703845,-0.04349642387357001,0.08821088011388101,0.0,0.0,62.0
ProZorro -> Retail,forward,retail_observed,0,12,6,2,-0.06834517467239463,-0.03927835098567897,0.09013691078986412,0.0,0.0,62.0
ProZorro -> Retail matched,forward,retail_matched_baseline,0,12,6,2,-0.21012313521348788,-0.03744271261319268,0.21012313521348788,0.16666666666666666,0.16666666666666666,54.0
ProZorro -> Retail matched,forward,retail_matched_observed,0,12,6,2,-0.2047014467297704,-0.035965797406982886,0.21848390722964336,0.16666666666666666,0.16666666666666666,54.0
ProZorro -> Retail optimal,forward,retail_optimal_baseline,0,12,6,2,-0.060652982752703845,-0.04349642387357001,0.08821088011388101,0.0,0.0,62.0
ProZorro -> Retail optimal,forward,retail_optimal_observed,0,12,6,2,-0.06834517467239463,-0.03927835098567897,0.09013691078986412,0.0,0.0,62.0
ProZorro -> Silpo,forward,silpo_baseline,0,12,6,2,0.0049024317878567205,0.007364178574546726,0.03148729823009389,0.0,0.0,47.0
ProZorro -> Silpo,forward,silpo_observed,0,12,6,2,0.000748906429638139,0.012922925848834987,0.02941933677106329,0.0,0.0,47.0
ProducerUA -> FarmGateUA,reverse,processor_price,0,20,5,2,0.6464426150966844,0.6258615573806687,0.6464426150966844,1.0,1.0,1476.0
ProducerUA -> ProZorro,forward,procurement_price,0,10,5,2,-2.3250077468902837,-0.34270424653693576,4.576376216463825,0.1,0.1,268.0
Retail -> FarmGateUA,reverse,retail_observed,0,36,9,2,0.0003144817072211617,0.00012517666611325663,0.0003705605302090492,0.05555555555555555,0.05555555555555555,60.0
Retail -> ProZorro,reverse,retail_baseline,0,12,6,2,-0.09891929523128672,-0.05645066771480965,0.1494119738930257,0.16666666666666666,0.16666666666666666,62.0
Retail -> ProZorro,reverse,retail_observed,0,12,6,2,-0.054081817318887566,-0.06428233987005547,0.09649890919434038,0.16666666666666666,0.16666666666666666,62.0
Retail matched -> ProZorro,reverse,retail_matched_baseline,0,12,6,2,-0.07551889802078317,-0.0361314455591157,0.07551889802078317,0.16666666666666666,0.16666666666666666,54.0
Retail matched -> ProZorro,reverse,retail_matched_observed,0,12,6,2,-0.035279904713924504,-0.029178086588462784,0.06765412240962637,0.16666666666666666,0.16666666666666666,54.0
Retail optimal -> FarmGateUA,reverse,retail_optimal_observed,0,36,9,2,0.0003092455959007644,0.00012517666611325663,0.00037499092659092005,0.05555555555555555,0.05555555555555555,60.0
Retail optimal -> ProZorro,reverse,retail_optimal_baseline,0,12,6,2,-0.09891929523128672,-0.05645066771480965,0.1494119738930257,0.16666666666666666,0.16666666666666666,62.0
Retail optimal -> ProZorro,reverse,retail_optimal_observed,0,12,6,2,-0.054081817318887566,-0.06428233987005547,0.09649890919434038,0.16666666666666666,0.16666666666666666,62.0
Silpo -> ProZorro,reverse,silpo_baseline,0,12,6,2,0.03831868374448097,0.1060308529631265,0.21763296504682614,0.0,0.0,47.0
Silpo -> ProZorro,reverse,silpo_observed,0,12,6,2,-0.014103845470892702,0.09514274763408065,0.20843060149761009,0.0,0.0,47.0
FarmGateUA -> ProZorro,forward,procurement_price,1,28,7,2,0.09691573315969773,0.9269609705550155,13.745284601519543,0.21428571428571427,0.21428571428571427,267.0
FarmGateUA -> ProducerUA,forward,processor_price,1,20,5,2,1.9979405685558624,1.9438040955429297,1.9979405685558622,1.0,1.0,1475.0
FarmGateUA -> Retail,forward,retail_observed,1,36,9,2,2.57058238288663,2.7526266987485313,16.652541968153372,0.25,0.25,58.0
FarmGateUA -> Retail optimal,forward,retail_optimal_observed,1,36,9,2,-20.78667176724291,2.7526266987485313,40.00979611828291,0.3611111111111111,0.3611111111111111,58.0
Novus -> ProZorro,reverse,novus_observed,1,8,4,2,-0.5625875932676084,-0.026176207212922346,0.6657228204744047,0.25,0.0,40.5
ProZorro -> Novus,forward,novus_observed,1,6,3,2,0.18292561629388535,0.10646409987537345,0.5826802665341376,0.3333333333333333,0.3333333333333333,44.0
ProZorro -> ProducerUA,reverse,processor_price,1,10,5,2,0.0008307557703581802,-3.1276384420910906e-06,0.00314091055642461,0.0,0.0,268.0
ProZorro -> Retail,forward,retail_baseline,1,12,6,2,0.04402286106293505,0.027223712213728473,0.14399761489283605,0.16666666666666666,0.16666666666666666,59.5
