product,product_label,stage,spread,farm_gate_source,reconstruction_variant,n_obs,lag_spread_coef,lag_spread_p,upstream_pos_coef,upstream_pos_p,upstream_neg_abs_coef,upstream_neg_abs_p,asymmetry_pvalue,discount_share_coef,discount_share_p,discount_depth_coef,discount_depth_p,r2,persistent_margin_flag,asymmetric_margin_flag,ljungbox_p,arch_p,jb_p
butter,Butter,producer_farmgate,ProducerUA / FarmGateUA,initial,linear,1477,-0.000975780273294791,0.6797773327949945,0.11614848242146665,0.1253894521426023,0.11927117782190422,0.49553309516283495,0.9856220810680526,-0.004875573880303165,0.34007647205351843,,,0.007646181695914911,1,0,0.0,1.303959223608123e-240,0.015442776369809017
butter,Butter,retail_farmgate_observed,Retail observed / FarmGateUA,initial,linear,63,-0.41326918267104107,1.1714842284372013e-05,18.276337196896954,0.1068332651463516,12.150933948116185,0.14032006856627302,0.5760897567667289,-1.0796135013444135,3.8897512470638215e-05,,,0.4385995890870824,0,0,0.1335074814021709,0.4231626039520454,0.40272351890666847
butter,Butter,retail_farmgate_baseline,Retail baseline / FarmGateUA,initial,linear,63,-0.41892824444642823,3.82815190896269e-06,19.26947811983689,0.07133840311312899,10.557500211598825,0.17813201082796992,0.3554709439714433,-0.9840068733113521,1.6702898010599947e-05,,,0.41874564218604304,0,0,0.6511569087723774,0.9491163310448484,0.11007747222023861
butter,Butter,producer_farmgate,ProducerUA / FarmGateUA,filled,linear,1477,-0.0022350898118893817,0.19850285398658707,0.7694668720921273,3.4036588521909316e-10,-0.3011106235786208,0.14971352398639362,1.8103968673729793e-06,-0.008237147739296787,0.10259774983205636,,,0.08359117388291593,1,1,0.0,6.093362964138901e-238,3.81007538651435e-09
butter,Butter,retail_farmgate_observed,Retail observed / FarmGateUA,filled,linear,63,-0.42416817434047815,2.4014012610452487e-06,20.961616844486432,0.20981250775624027,26.80732852652095,0.1008359908574056,0.7346587083888174,-1.0645171531823445,4.8684074947523045e-05,,,0.44145515799236057,0,0,0.13005293259830103,0.4294828844245601,0.38469657094360943
butter,Butter,retail_farmgate_baseline,Retail baseline / FarmGateUA,filled,linear,63,-0.432229986936622,6.308175082982914e-07,21.84081391240461,0.13583691939743975,23.017219374740463,0.13302625988827108,0.9376271537985631,-0.9674078940060525,2.190991080369953e-05,,,0.42258900358313134,0,0,0.6521933005228071,0.9323016878915787,0.06311705497028673
butter,Butter,procurement_producer,ProZorro / ProducerUA,not_applicable,linear,269,-0.5284530116316932,1.8299297527091966e-15,-13.433663134276081,0.0035600735982846245,-2.644423852411324,0.48903546035615353,0.019262110092008993,0.19234809057003183,0.007742341268044864,,,0.27767368515668567,0,1,0.0006663565651984907,0.00030976460893876337,4.803093601652126e-59
butter,Butter,retail_procurement_observed,Retail observed / ProZorro,not_applicable,linear,63,-0.3785287968794958,9.572323514725826e-06,-0.815221701158277,6.002919272867725e-21,0.6490493196193734,0.00028467990588567645,6.175681760259799e-12,-0.9568468527792586,0.00010553553284527128,,,0.6986687163101877,0,1,0.039844793599911374,0.3720564847142998,0.05461541102627557
butter,Butter,retail_procurement_baseline,Retail baseline / ProZorro,not_applicable,linear,63,-0.37119634510907346,9.379064295324828e-06,-0.8557214211075881,2.136145680511695e-18,0.6045421389008099,0.00024883893366685816,6.741397213429724e-11,-0.8375742996342528,0.00015637554494909834,,,0.704536396105724,0,1,0.1816327688521059,0.9078181170163948,0.00026571883535844227
butter,Butter,retail_matched_procurement_observed,Retail matched observed / ProZorro,not_applicable,linear,57,-0.35298350266615497,0.0012086315915725103,-0.7576229147288924,0.0013223194007531628,0.8453138913091096,7.988312590614297e-08,3.2408464739918577e-07,-0.4864465139202826,0.025216334553319036,,,0.5561786832037482,0,1,0.15674929830317683,0.41797400563190384,0.6970603344894581
