finding_type,link_or_stage,product,product_label,price_variant,n_core_rows,median_coef,directionally_stable,interpretation_flag
local_projection,FarmGateUA -> ProZorro,cheese,CHEESE,procurement_price,4,47.93603164085357,1.0,stronger
local_projection,FarmGateUA -> ProZorro,sour_cream,Sour cream,procurement_price,4,-40.54685115383987,1.0,stronger
local_projection,FarmGateUA -> ProducerUA,butter,Butter,processor_price,8,7.051879998902111,1.0,stronger
local_projection,FarmGateUA -> ProducerUA,cheese,CHEESE,processor_price,8,4.15654197901201,1.0,stronger
local_projection,FarmGateUA -> ProducerUA,milk,Drinking milk / fermented milk,processor_price,8,4.2327563971894335,1.0,stronger
local_projection,FarmGateUA -> ProducerUA,milk_powder,Milk powder,processor_price,8,4.4831248882800825,1.0,stronger
local_projection,FarmGateUA -> ProducerUA,sour_cream,Sour cream,processor_price,8,4.922900624186235,1.0,stronger
local_projection,FarmGateUA -> Retail,butter,Butter,retail_observed,8,-62.6229844361289,1.0,stronger
local_projection,FarmGateUA -> Retail,cheese,CHEESE,retail_observed,4,-132.1628109133423,1.0,stronger
local_projection,FarmGateUA -> Retail,condensed_milk,Condensed milk,retail_observed,1,14.41139248406607,1.0,selective
local_projection,FarmGateUA -> Retail,cream,Cream,retail_observed,2,-96.79487877891927,1.0,selective
local_projection,FarmGateUA -> Retail,milk_powder,Milk powder,retail_observed,4,-108.91118727381472,1.0,stronger
local_projection,FarmGateUA -> Retail,sour_cream,Sour cream,retail_observed,1,26.506128532329683,1.0,selective
local_projection,FarmGateUA -> Retail,yogurt_dessert,Yogurt / dessert,retail_observed,2,47.73846811399982,1.0,selective
local_projection,FarmGateUA -> Retail optimal,butter,Butter,retail_optimal_observed,8,-62.6229844361289,1.0,stronger
local_projection,FarmGateUA -> Retail optimal,cheese,CHEESE,retail_optimal_observed,4,-132.1628109133423,1.0,stronger
local_projection,FarmGateUA -> Retail optimal,condensed_milk,Condensed milk,retail_optimal_observed,1,14.41139248406607,1.0,selective
local_projection,FarmGateUA -> Retail optimal,cream,Cream,retail_optimal_observed,2,-96.79487877891927,1.0,selective
local_projection,FarmGateUA -> Retail optimal,milk_powder,Milk powder,retail_optimal_observed,2,-269.305009258637,1.0,selective
local_projection,FarmGateUA -> Retail optimal,sour_cream,Sour cream,retail_optimal_observed,1,26.506128532329683,1.0,selective
local_projection,FarmGateUA -> Retail optimal,yogurt_dessert,Yogurt / dessert,retail_optimal_observed,2,47.73846811399982,1.0,selective
local_projection,Novus -> ProZorro,milk,Drinking milk / fermented milk,novus_observed,2,0.06795795060417259,1.0,selective
local_projection,ProZorro -> Novus,milk,Drinking milk / fermented milk,novus_observed,2,-1.354595546189001,1.0,selective
local_projection,ProZorro -> Retail,milk,Drinking milk / fermented milk,retail_baseline,2,-0.6512148393484039,1.0,selective
local_projection,ProZorro -> Retail,milk,Drinking milk / fermented milk,retail_observed,2,-0.6584815771005894,1.0,selective
local_projection,ProZorro -> Retail matched,condensed_milk,Condensed milk,retail_matched_baseline,2,-0.9273136558623745,1.0,selective
local_projection,ProZorro -> Retail matched,condensed_milk,Condensed milk,retail_matched_observed,2,-1.0803059819808376,1.0,selective
local_projection,ProZorro -> Retail matched,cream,Cream,retail_matched_observed,2,-0.13378757013314568,1.0,selective
local_projection,ProZorro -> Retail optimal,milk,Drinking milk / fermented milk,retail_optimal_baseline,2,-0.6512148393484039,1.0,selective
local_projection,ProZorro -> Retail optimal,milk,Drinking milk / fermented milk,retail_optimal_observed,2,-0.6584815771005894,1.0,selective
local_projection,ProZorro -> Silpo,butter,Butter,silpo_baseline,2,0.13402221825584093,1.0,selective
local_projection,ProZorro -> Silpo,butter,Butter,silpo_observed,2,0.1496037918604205,1.0,selective
local_projection,ProZorro -> Silpo,cheese,CHEESE,silpo_observed,2,-0.05607170897775719,1.0,selective
local_projection,ProZorro -> Silpo,condensed_milk,Condensed milk,silpo_baseline,2,-0.10213303074202751,1.0,selective
local_projection,ProZorro -> Silpo,milk,Drinking milk / fermented milk,silpo_baseline,2,-0.12761333390766838,1.0,selective
local_projection,ProZorro -> Silpo,sour_cream,Sour cream,silpo_baseline,2,-0.09165091672456604,1.0,selective
local_projection,ProZorro -> Silpo,sour_cream,Sour cream,silpo_observed,2,-0.09499215361050681,1.0,selective
local_projection,ProducerUA -> FarmGateUA,butter,Butter,processor_price,8,2.4079796154827937,1.0,stronger
local_projection,ProducerUA -> FarmGateUA,cheese,CHEESE,processor_price,8,3.836962439904828,1.0,stronger
local_projection,ProducerUA -> FarmGateUA,milk,Drinking milk / fermented milk,processor_price,8,5.550795824811782,1.0,stronger
local_projection,ProducerUA -> FarmGateUA,milk_powder,Milk powder,processor_price,8,2.8845601592976555,1.0,stronger
local_projection,ProducerUA -> FarmGateUA,sour_cream,Sour cream,processor_price,8,3.067434249788392,1.0,stronger
local_projection,ProducerUA -> ProZorro,cheese,CHEESE,procurement_price,3,24.551571120001427,1.0,stronger
local_projection,ProducerUA -> ProZorro,milk,Drinking milk / fermented milk,procurement_price,1,-28.125416438545283,1.0,selective
local_projection,Retail -> FarmGateUA,butter,Butter,retail_observed,8,0.014167154043636885,1.0,stronger
local_projection,Retail -> FarmGateUA,yogurt_dessert,Yogurt / dessert,retail_observed,4,-0.04817832136905649,1.0,stronger
local_projection,Retail -> ProZorro,condensed_milk,Condensed milk,retail_baseline,2,-0.8608778486050148,1.0,selective
local_projection,Retail -> ProZorro,condensed_milk,Condensed milk,retail_observed,2,-0.6473820253299916,1.0,selective
local_projection,Retail -> ProZorro,milk,Drinking milk / fermented milk,retail_baseline,2,0.1376476016939874,1.0,selective
local_projection,Retail -> ProZorro,milk,Drinking milk / fermented milk,retail_observed,2,0.15919001655861847,1.0,selective
local_projection,Retail matched -> ProZorro,cheese,CHEESE,retail_matched_observed,2,-0.26490073964049377,1.0,selective
local_projection,Retail optimal -> FarmGateUA,butter,Butter,retail_optimal_observed,8,0.014167154043636885,1.0,stronger
local_projection,Retail optimal -> FarmGateUA,yogurt_dessert,Yogurt / dessert,retail_optimal_observed,4,-0.04817832136905649,1.0,stronger
local_projection,Retail optimal -> ProZorro,condensed_milk,Condensed milk,retail_optimal_baseline,2,-0.8608778486050148,1.0,selective
local_projection,Retail optimal -> ProZorro,condensed_milk,Condensed milk,retail_optimal_observed,2,-0.6473820253299916,1.0,selective
local_projection,Retail optimal -> ProZorro,milk,Drinking milk / fermented milk,retail_optimal_baseline,2,0.1376476016939874,1.0,selective
local_projection,Retail optimal -> ProZorro,milk,Drinking milk / fermented milk,retail_optimal_observed,2,0.15919001655861847,1.0,selective
local_projection,Silpo -> ProZorro,condensed_milk,Condensed milk,silpo_baseline,2,-0.5818089861636627,1.0,selective
local_projection,Silpo -> ProZorro,condensed_milk,Condensed milk,silpo_observed,2,-0.39412993516860223,1.0,selective
local_projection,Silpo -> ProZorro,cream,Cream,silpo_observed,2,-0.6586043352489781,1.0,selective
margin_power_proxy,producer_farmgate,butter,Butter,ProducerUA / FarmGateUA,1,-0.000975780273294791,,proxy_only
margin_power_proxy,producer_farmgate,butter,Butter,ProducerUA / FarmGateUA,1,-0.0022350898118893817,,proxy_only
margin_power_proxy,procurement_producer,butter,Butter,ProZorro / ProducerUA,1,-0.5284530116316932,,proxy_only
margin_power_proxy,retail_procurement_observed,butter,Butter,Retail observed / ProZorro,1,-0.3785287968794958,,proxy_only
