horizon,target,impulse,response
0,farmgate_index_weekly,farmgate_index_weekly,1.0
0,farmgate_index_weekly,producer_index_weekly,0.0
0,farmgate_index_weekly,procurement_index_weekly,0.0
0,farmgate_index_weekly,downstream_extension_weekly,0.0
0,producer_index_weekly,farmgate_index_weekly,0.0
0,producer_index_weekly,producer_index_weekly,1.0
0,producer_index_weekly,procurement_index_weekly,0.0
0,producer_index_weekly,downstream_extension_weekly,0.0
0,procurement_index_weekly,farmgate_index_weekly,0.0
0,procurement_index_weekly,producer_index_weekly,0.0
0,procurement_index_weekly,procurement_index_weekly,1.0
0,procurement_index_weekly,downstream_extension_weekly,0.0
0,downstream_extension_weekly,farmgate_index_weekly,0.0
0,downstream_extension_weekly,producer_index_weekly,0.0
0,downstream_extension_weekly,procurement_index_weekly,0.0
0,downstream_extension_weekly,downstream_extension_weekly,1.0
1,farmgate_index_weekly,farmgate_index_weekly,1.500127486804895
1,farmgate_index_weekly,producer_index_weekly,-0.04591089458135875
1,farmgate_index_weekly,procurement_index_weekly,-0.0030533136837284074
1,farmgate_index_weekly,downstream_extension_weekly,0.012690877687528655
1,producer_index_weekly,farmgate_index_weekly,-0.07168731515032384
1,producer_index_weekly,producer_index_weekly,1.982326543752312
1,producer_index_weekly,procurement_index_weekly,0.012556904760918669
1,producer_index_weekly,downstream_extension_weekly,-0.000884772960162334
1,procurement_index_weekly,farmgate_index_weekly,-1.5609002033246395
1,procurement_index_weekly,producer_index_weekly,2.8614167827906094
1,procurement_index_weekly,procurement_index_weekly,-0.03498735244503415
1,procurement_index_weekly,downstream_extension_weekly,0.07547152822422643
1,downstream_extension_weekly,farmgate_index_weekly,2.432254710982054
1,downstream_extension_weekly,producer_index_weekly,-2.40182984097334
1,downstream_extension_weekly,procurement_index_weekly,0.2823577614311077
1,downstream_extension_weekly,downstream_extension_weekly,0.4604090447474851
2,farmgate_index_weekly,farmgate_index_weekly,1.6502203915721017
2,farmgate_index_weekly,producer_index_weekly,-0.0041903574835982504
2,farmgate_index_weekly,procurement_index_weekly,0.005565154872581713
