horizon,target,shock,fevd_share
1,farmgate_index_weekly,farmgate_index_weekly,0.9884657151196755
1,farmgate_index_weekly,producer_index_weekly,0.0004753515559592972
1,farmgate_index_weekly,procurement_index_weekly,9.532133385806116e-05
1,farmgate_index_weekly,downstream_extension_weekly,0.010963611990507086
1,producer_index_weekly,farmgate_index_weekly,0.7429627950874889
1,producer_index_weekly,producer_index_weekly,0.25320255080223175
1,producer_index_weekly,procurement_index_weekly,0.003786159023917784
1,producer_index_weekly,downstream_extension_weekly,4.8495086361500785e-05
1,procurement_index_weekly,farmgate_index_weekly,0.22883994580882774
1,procurement_index_weekly,producer_index_weekly,0.23220593326263955
1,procurement_index_weekly,procurement_index_weekly,0.5315625384308179
1,procurement_index_weekly,downstream_extension_weekly,0.007391582497714773
1,downstream_extension_weekly,farmgate_index_weekly,0.004093531291596991
1,downstream_extension_weekly,producer_index_weekly,0.07929965730957454
1,downstream_extension_weekly,procurement_index_weekly,0.09967201393541276
1,downstream_extension_weekly,downstream_extension_weekly,0.8169347974634157
2,farmgate_index_weekly,farmgate_index_weekly,0.9924170418787354
2,farmgate_index_weekly,producer_index_weekly,0.0005808647343527104
2,farmgate_index_weekly,procurement_index_weekly,0.0007023775734536476
2,farmgate_index_weekly,downstream_extension_weekly,0.006299715813458416
2,producer_index_weekly,farmgate_index_weekly,0.7621118569386431
2,producer_index_weekly,producer_index_weekly,0.21759190740002274
2,producer_index_weekly,procurement_index_weekly,0.020152552924804647
2,producer_index_weekly,downstream_extension_weekly,0.00014368273652940836
2,procurement_index_weekly,farmgate_index_weekly,0.2224362544896167
2,procurement_index_weekly,producer_index_weekly,0.23038479273623272
2,procurement_index_weekly,procurement_index_weekly,0.5226203458588446
2,procurement_index_weekly,downstream_extension_weekly,0.02455860691530593
2,downstream_extension_weekly,farmgate_index_weekly,0.04234557223133674
2,downstream_extension_weekly,producer_index_weekly,0.11749336730691252
2,downstream_extension_weekly,procurement_index_weekly,0.12495517048615658
2,downstream_extension_weekly,downstream_extension_weekly,0.7152058899755942
3,farmgate_index_weekly,farmgate_index_weekly,0.9527303052586902
3,farmgate_index_weekly,producer_index_weekly,0.0021145931203472167
3,farmgate_index_weekly,procurement_index_weekly,0.0007727433712606047
3,farmgate_index_weekly,downstream_extension_weekly,0.04438235824970198
3,producer_index_weekly,farmgate_index_weekly,0.7504961432960762
3,producer_index_weekly,producer_index_weekly,0.17252649036287968
3,producer_index_weekly,procurement_index_weekly,0.04251903336061941
3,producer_index_weekly,downstream_extension_weekly,0.03445833298042497
3,procurement_index_weekly,farmgate_index_weekly,0.21917464089873614
3,procurement_index_weekly,producer_index_weekly,0.22338414718305658
3,procurement_index_weekly,procurement_index_weekly,0.5243711328674429
3,procurement_index_weekly,downstream_extension_weekly,0.03307007905076453
3,downstream_extension_weekly,farmgate_index_weekly,0.06792787428456118
3,downstream_extension_weekly,producer_index_weekly,0.14123756491750927
3,downstream_extension_weekly,procurement_index_weekly,0.15744946948405458
3,downstream_extension_weekly,downstream_extension_weekly,0.633385091313875
4,farmgate_index_weekly,farmgate_index_weekly,0.9508107336694759
4,farmgate_index_weekly,producer_index_weekly,0.01042091389116398
4,farmgate_index_weekly,procurement_index_weekly,0.0034544774474138877
4,farmgate_index_weekly,downstream_extension_weekly,0.03531387499194624
4,producer_index_weekly,farmgate_index_weekly,0.7275938722308511
