week,producer_linear_weekly,prozorro_weekly,retail_category_baseline_weekly
2025-10-20,320.9123327972459,399.0,76.32
2025-10-27,317.2547478813789,431.88,79.88235294117648
2025-11-03,309.1667273959732,387.5,73.99
2025-11-10,303.6373276123256,353.94,74.74
2025-11-17,300.9445993314567,373.25,74.99
2025-11-24,303.2035476371586,394.425,77.9
2025-12-01,304.4446446733616,365.37,79.48378378378379
2025-12-08,303.618012853176,419.1,78.24
2025-12-15,302.320765224573,370.5,154.0
2025-12-22,299.9678283498919,381.0,114.0
2026-01-05,300.5592578700923,400.20000000000005,107.245
