week,farmgate_combined_linear_weekly,producer_linear_weekly,prozorro_weekly,retail_category_baseline_weekly,consumer_linear_weekly
2025-10-20,15.673093581443375,248.7772302865846,239.5,61.24,251.3148900877675
2025-10-27,15.524091614467444,237.2634215168736,221.55,62.9,254.3667075620796
2025-11-03,15.61505556559161,229.479131343165,257.75,61.99,251.1170541625339
2025-11-10,15.857534537165455,226.4380143050482,216.12,60.86841772151899,253.0975474064417
2025-11-17,15.946552012709269,223.8747133545354,216.435,61.99,255.7549080515814
2025-11-24,15.846483328734834,218.8835323842551,235.2,62.144999999999996,254.4080237763108
2025-12-01,15.635600327661098,212.6909632363904,260.4,64.49,250.8990447972521
2025-12-08,15.453444225086285,208.0909030112431,207.0,64.99,249.8577331957002
2025-12-15,15.364762900190236,206.1481364914207,216.0,259.2475,253.2347489334628
2025-12-22,15.38033923459717,204.4413509808933,192.0,220.245,257.0066884652795
2026-01-05,14.57659688595679,217.4610859174078,228.5,98.99,243.922328943733
