week,producer_linear_weekly,prozorro_weekly,retail_category_baseline_weekly
2025-10-20,120.9954273039435,146.1,59.36393382352941
2025-10-27,124.6809474624847,139.36,58.32142857142858
2025-11-03,124.8272733946052,125.625,59.305084745762706
2025-11-10,125.447618086995,120.9,59.988749999999996
2025-11-17,125.7197132388856,109.92,60.74
2025-11-24,124.0222448446323,119.295,57.74
2025-12-01,119.5897116479775,140.75,60.238749999999996
2025-12-08,115.5546125158734,129.75,59.72727272727273
2025-12-15,111.9302000015772,142.86,64.49
2025-12-22,108.9894172828574,119.28,72.99
2026-01-05,107.2102619138061,129.8,56.14
