product,product_label,system_name,target_series,included_series,status,reason,n_obs,vecm_rank,k_ar_diff,alpha_farmgate_combined_linear_weekly_smooth,alpha_producer_linear_weekly_smooth,alpha_prozorro_weekly_smooth,alpha_consumer_linear_weekly_smooth,ljungbox_p,bp_p,white_p,jb_p,stability_flag
butter,Butter,full_chain,consumer_linear_weekly,farmgate_combined_linear_weekly; producer_linear_weekly; prozorro_weekly; retail_category_baseline_weekly; consumer_linear_weekly,infeasible,too_short,0,,,,,,,,,,,
butter,Butter,full_chain_smoothed,consumer_linear_weekly_smooth,farmgate_combined_linear_weekly_smooth; producer_linear_weekly_smooth; prozorro_weekly_smooth; consumer_linear_weekly_smooth,infeasible,too_short,0,,,,,,,,,,,
butter,Butter,staged_chain,retail_category_baseline_weekly,producer_linear_weekly; prozorro_weekly; retail_category_baseline_weekly,infeasible,too_short,11,,,,,,,,,,,
cheese,CHEESE,full_chain,consumer_linear_weekly,farmgate_combined_linear_weekly; producer_linear_weekly; prozorro_weekly; retail_category_baseline_weekly; consumer_linear_weekly,infeasible,too_short,11,,,,,,,,,,,
cheese,CHEESE,full_chain_smoothed,consumer_linear_weekly_smooth,farmgate_combined_linear_weekly_smooth; producer_linear_weekly_smooth; prozorro_weekly_smooth; consumer_linear_weekly_smooth,ok,,41,1.0,1.0,-0.010025262997471713,-2.0271192863915948,36.46338405884447,0.07606046873062552,0.9707065438206466,,,3.785243276069734e-05,0.0
cheese,CHEESE,staged_chain,retail_category_baseline_weekly,producer_linear_weekly; prozorro_weekly; retail_category_baseline_weekly,infeasible,too_short,11,,,,,,,,,,,
condensed_milk,Condensed milk,full_chain,consumer_linear_weekly,farmgate_combined_linear_weekly; producer_linear_weekly; prozorro_weekly; retail_category_baseline_weekly; consumer_linear_weekly,infeasible,too_short,0,,,,,,,,,,,
condensed_milk,Condensed milk,full_chain_smoothed,consumer_linear_weekly_smooth,farmgate_combined_linear_weekly_smooth; producer_linear_weekly_smooth; prozorro_weekly_smooth; consumer_linear_weekly_smooth,infeasible,too_short,0,,,,,,,,,,,
condensed_milk,Condensed milk,staged_chain,retail_category_baseline_weekly,producer_linear_weekly; prozorro_weekly; retail_category_baseline_weekly,infeasible,too_short,0,,,,,,,,,,,
cream,Cream,full_chain,consumer_linear_weekly,farmgate_combined_linear_weekly; producer_linear_weekly; prozorro_weekly; retail_category_baseline_weekly; consumer_linear_weekly,infeasible,too_short,0,,,,,,,,,,,
cream,Cream,full_chain_smoothed,consumer_linear_weekly_smooth,farmgate_combined_linear_weekly_smooth; producer_linear_weekly_smooth; prozorro_weekly_smooth; consumer_linear_weekly_smooth,infeasible,too_short,0,,,,,,,,,,,
cream,Cream,staged_chain,retail_category_baseline_weekly,producer_linear_weekly; prozorro_weekly; retail_category_baseline_weekly,infeasible,too_short,0,,,,,,,,,,,
milk,Drinking milk / fermented milk,full_chain,consumer_linear_weekly,farmgate_combined_linear_weekly; producer_linear_weekly; prozorro_weekly; retail_category_baseline_weekly; consumer_linear_weekly,infeasible,too_short,11,,,,,,,,,,,
milk,Drinking milk / fermented milk,full_chain_smoothed,consumer_linear_weekly_smooth,farmgate_combined_linear_weekly_smooth; producer_linear_weekly_smooth; prozorro_weekly_smooth; consumer_linear_weekly_smooth,ok,,41,1.0,1.0,0.028408679405058656,0.4680188322149579,0.15564092167218188,1.7857414972541779,0.8016055269501023,,,8.68103339382654e-09,0.0
milk,Drinking milk / fermented milk,staged_chain,retail_category_baseline_weekly,producer_linear_weekly; prozorro_weekly; retail_category_baseline_weekly,infeasible,too_short,11,,,,,,,,,,,
milk_powder,Milk powder,full_chain,consumer_linear_weekly,farmgate_combined_linear_weekly; producer_linear_weekly; prozorro_weekly; retail_category_baseline_weekly; consumer_linear_weekly,infeasible,too_short,0,,,,,,,,,,,
milk_powder,Milk powder,full_chain_smoothed,consumer_linear_weekly_smooth,farmgate_combined_linear_weekly_smooth; producer_linear_weekly_smooth; prozorro_weekly_smooth; consumer_linear_weekly_smooth,infeasible,too_short,0,,,,,,,,,,,
milk_powder,Milk powder,staged_chain,retail_category_baseline_weekly,producer_linear_weekly; prozorro_weekly; retail_category_baseline_weekly,infeasible,too_short,2,,,,,,,,,,,
other,Other,full_chain,consumer_linear_weekly,farmgate_combined_linear_weekly; producer_linear_weekly; prozorro_weekly; retail_category_baseline_weekly; consumer_linear_weekly,infeasible,too_short,0,,,,,,,,,,,
other,Other,full_chain_smoothed,consumer_linear_weekly_smooth,farmgate_combined_linear_weekly_smooth; producer_linear_weekly_smooth; prozorro_weekly_smooth; consumer_linear_weekly_smooth,infeasible,too_short,0,,,,,,,,,,,
other,Other,staged_chain,retail_category_baseline_weekly,producer_linear_weekly; prozorro_weekly; retail_category_baseline_weekly,infeasible,too_short,0,,,,,,,,,,,
sour_cream,Sour cream,full_chain,consumer_linear_weekly,farmgate_combined_linear_weekly; producer_linear_weekly; prozorro_weekly; retail_category_baseline_weekly; consumer_linear_weekly,infeasible,too_short,11,,,,,,,,,,,
sour_cream,Sour cream,full_chain_smoothed,consumer_linear_weekly_smooth,farmgate_combined_linear_weekly_smooth; producer_linear_weekly_smooth; prozorro_weekly_smooth; consumer_linear_weekly_smooth,ok,,41,4.0,2.0,-0.17848306595124713,1.0743739885259111,7.949317824699374,3.795584612368427,0.49756999985452166,,,0.0029185895182930045,0.0
sour_cream,Sour cream,staged_chain,retail_category_baseline_weekly,producer_linear_weekly; prozorro_weekly; retail_category_baseline_weekly,infeasible,too_short,11,,,,,,,,,,,
yogurt_dessert,Yogurt / dessert,full_chain,consumer_linear_weekly,farmgate_combined_linear_weekly; producer_linear_weekly; prozorro_weekly; retail_category_baseline_weekly; consumer_linear_weekly,infeasible,too_short,0,,,,,,,,,,,
yogurt_dessert,Yogurt / dessert,full_chain_smoothed,consumer_linear_weekly_smooth,farmgate_combined_linear_weekly_smooth; producer_linear_weekly_smooth; prozorro_weekly_smooth; consumer_linear_weekly_smooth,infeasible,too_short,0,,,,,,,,,,,
yogurt_dessert,Yogurt / dessert,staged_chain,retail_category_baseline_weekly,producer_linear_weekly; prozorro_weekly; retail_category_baseline_weekly,infeasible,too_short,0,,,,,,,,,,,
