product,product_label,stage,spread,farm_gate_source,reconstruction_variant,n_obs,mean_log_spread,median_log_spread,sd_log_spread,mean_price_ratio,date_min,date_max
butter,Butter,producer_farmgate,ProducerUA / FarmGateUA,initial,linear,1478,2.858488096649298,2.825186846841259,0.12905732123250743,17.43514674267308,2021-12-30,2026-01-15
butter,Butter,retail_farmgate_observed,Retail observed / FarmGateUA,initial,linear,67,1.5475596031724135,1.4507275193341815,0.28086541147653465,4.699986343964921,2025-10-21,2026-01-08
butter,Butter,retail_farmgate_baseline,Retail baseline / FarmGateUA,initial,linear,67,1.5933219841624184,1.4840070071313476,0.2544739235388445,4.920066192443617,2025-10-21,2026-01-08
butter,Butter,producer_farmgate,ProducerUA / FarmGateUA,filled,linear,1478,3.0979011314430673,3.0964091809923047,0.17340275205092076,22.151409559033223,2021-12-30,2026-01-15
butter,Butter,retail_farmgate_observed,Retail observed / FarmGateUA,filled,linear,67,1.8256966417742628,1.7272737350797658,0.2652503521146421,6.207117650720424,2025-10-21,2026-01-08
butter,Butter,retail_farmgate_baseline,Retail baseline / FarmGateUA,filled,linear,67,1.871459022764268,1.7714415846391383,0.2390269957059323,6.497769880766603,2025-10-21,2026-01-08
butter,Butter,procurement_producer,ProZorro / ProducerUA,not_applicable,linear,270,0.14681075154280868,0.16450649871312484,0.17002122604288267,1.158134767071373,2025-04-14,2026-01-08
butter,Butter,retail_procurement_observed,Retail observed / ProZorro,not_applicable,linear,67,-1.5385072273215972,-1.6351658406850218,0.2898997932880078,0.21470136265708947,2025-10-21,2026-01-08
butter,Butter,retail_procurement_baseline,Retail baseline / ProZorro,not_applicable,linear,67,-1.492744846331592,-1.5721002419964556,0.2658520977918972,0.224754890455615,2025-10-21,2026-01-08
butter,Butter,retail_matched_procurement_observed,Retail matched observed / ProZorro,not_applicable,linear,61,-1.6838563000856206,-1.7363026256544032,0.2281137015820855,0.18565664606841997,2025-10-21,2026-01-08
butter,Butter,retail_matched_procurement_baseline,Retail matched baseline / ProZorro,not_applicable,linear,61,-1.6253230839200805,-1.657041095148207,0.20457423819083462,0.19684806648429004,2025-10-21,2026-01-08
butter,Butter,silpo_procurement_observed,Silpo observed / ProZorro,not_applicable,linear,51,-1.6945545350455642,-1.7196924373987281,0.1297399412237989,0.18368103426924248,2025-10-21,2025-12-13
butter,Butter,silpo_procurement_baseline,Silpo baseline / ProZorro,not_applicable,linear,51,-1.634564852871111,-1.6543172442302634,0.12232839462512639,0.19503722272391147,2025-10-21,2025-12-13
butter,Butter,retail_optimal_procurement_observed,Retail optimal observed / ProZorro,not_applicable,linear,67,-1.5385072273215972,-1.6351658406850218,0.2898997932880078,0.21470136265708947,2025-10-21,2026-01-08
butter,Butter,retail_optimal_procurement_baseline,Retail optimal baseline / ProZorro,not_applicable,linear,67,-1.492744846331592,-1.5721002419964556,0.2658520977918972,0.224754890455615,2025-10-21,2026-01-08
butter,Butter,producer_farmgate,ProducerUA / FarmGateUA,initial,pchip,1478,2.8584710535571247,2.8247666102762015,0.12940878493144514,17.434849596392244,2021-12-30,2026-01-15
butter,Butter,retail_farmgate_observed,Retail observed / FarmGateUA,initial,pchip,67,1.5475279179927746,1.4510573629750123,0.2812287178690252,4.699837426412565,2025-10-21,2026-01-08
butter,Butter,retail_farmgate_baseline,Retail baseline / FarmGateUA,initial,pchip,67,1.59329029898278,1.4838735712860327,0.2548532020896666,4.919910301732202,2025-10-21,2026-01-08
butter,Butter,producer_farmgate,ProducerUA / FarmGateUA,filled,pchip,1478,3.0978605083153044,3.096586708981727,0.17369065366127495,22.150509717769882,2021-12-30,2026-01-15
butter,Butter,retail_farmgate_observed,Retail observed / FarmGateUA,filled,pchip,67,1.8255936580169796,1.7268132211593001,0.2654251727254425,6.206478451336996,2025-10-21,2026-01-08
butter,Butter,retail_farmgate_baseline,Retail baseline / FarmGateUA,filled,pchip,67,1.871356039006985,1.7709292007055706,0.2392105186852069,6.497100750465688,2025-10-21,2026-01-08
butter,Butter,procurement_producer,ProZorro / ProducerUA,not_applicable,pchip,270,0.1468252051012403,0.1645918843813181,0.17024444675715764,1.1581515063608716,2025-04-14,2026-01-08
butter,Butter,retail_procurement_observed,Retail observed / ProZorro,not_applicable,pchip,67,-1.5385072273215972,-1.6351658406850218,0.2898997932880078,0.21470136265708947,2025-10-21,2026-01-08
butter,Butter,retail_procurement_baseline,Retail baseline / ProZorro,not_applicable,pchip,67,-1.492744846331592,-1.5721002419964556,0.2658520977918972,0.224754890455615,2025-10-21,2026-01-08
butter,Butter,retail_matched_procurement_observed,Retail matched observed / ProZorro,not_applicable,pchip,61,-1.6838563000856206,-1.7363026256544032,0.2281137015820855,0.18565664606841997,2025-10-21,2026-01-08
butter,Butter,retail_matched_procurement_baseline,Retail matched baseline / ProZorro,not_applicable,pchip,61,-1.6253230839200805,-1.657041095148207,0.20457423819083462,0.19684806648429004,2025-10-21,2026-01-08
butter,Butter,silpo_procurement_observed,Silpo observed / ProZorro,not_applicable,pchip,51,-1.6945545350455642,-1.7196924373987281,0.1297399412237989,0.18368103426924248,2025-10-21,2025-12-13
butter,Butter,silpo_procurement_baseline,Silpo baseline / ProZorro,not_applicable,pchip,51,-1.634564852871111,-1.6543172442302634,0.12232839462512639,0.19503722272391147,2025-10-21,2025-12-13
butter,Butter,retail_optimal_procurement_observed,Retail optimal observed / ProZorro,not_applicable,pchip,67,-1.5385072273215972,-1.6351658406850218,0.2898997932880078,0.21470136265708947,2025-10-21,2026-01-08
butter,Butter,retail_optimal_procurement_baseline,Retail optimal baseline / ProZorro,not_applicable,pchip,67,-1.492744846331592,-1.5721002419964556,0.2658520977918972,0.224754890455615,2025-10-21,2026-01-08
cheese,CHEESE,producer_farmgate,ProducerUA / FarmGateUA,initial,linear,1478,2.696420598936519,2.702411223527151,0.11369539873804461,14.826566404078731,2021-12-30,2026-01-15
cheese,CHEESE,retail_farmgate_observed,Retail observed / FarmGateUA,initial,linear,71,1.5255265770657578,1.1928927172690953,0.6122884453643107,4.597563903714518,2025-10-21,2026-01-08
cheese,CHEESE,retail_farmgate_baseline,Retail baseline / FarmGateUA,initial,linear,71,1.5774275018844526,1.2690859765695128,0.5807278645435713,4.842482497229118,2025-10-21,2026-01-08
cheese,CHEESE,producer_farmgate,ProducerUA / FarmGateUA,filled,linear,1478,2.935833633730289,2.925889683531336,0.09963413957554054,18.837199916827153,2021-12-30,2026-01-15
cheese,CHEESE,retail_farmgate_observed,Retail observed / FarmGateUA,filled,linear,71,1.8016415064340174,1.48145837360671,0.5969601241510595,6.059586154629599,2025-10-21,2026-01-08
cheese,CHEESE,retail_farmgate_baseline,Retail baseline / FarmGateUA,filled,linear,71,1.8535424312527122,1.55390982127867,0.5656670373374948,6.382388697313861,2025-10-21,2026-01-08
cheese,CHEESE,procurement_producer,ProZorro / ProducerUA,not_applicable,linear,270,-0.12834630925277146,-0.07428710608756539,0.3067874171519519,0.8795487305327251,2025-04-14,2026-01-08
cheese,CHEESE,retail_procurement_observed,Retail observed / ProZorro,not_applicable,linear,71,-1.0117400086146806,-1.2886628858101954,0.6555519264771565,0.36358578644993805,2025-10-21,2026-01-08
cheese,CHEESE,retail_procurement_baseline,Retail baseline / ProZorro,not_applicable,linear,71,-0.9598390837959856,-1.2162383488029338,0.6252401153305275,0.3829545046024521,2025-10-21,2026-01-08
cheese,CHEESE,retail_matched_procurement_observed,Retail matched observed / ProZorro,not_applicable,linear,61,-1.268575151202969,-1.317589531112903,0.2674887170362028,0.28123204958363174,2025-10-21,2026-01-08
cheese,CHEESE,retail_matched_procurement_baseline,Retail matched baseline / ProZorro,not_applicable,linear,61,-1.1900172594309941,-1.2615630437150758,0.24370831955269237,0.3042160134261016,2025-10-21,2026-01-08
cheese,CHEESE,silpo_procurement_observed,Silpo observed / ProZorro,not_applicable,linear,51,-1.3894472914833904,-1.4223707103587868,0.19064288750899575,0.24921300872542237,2025-10-21,2025-12-13
cheese,CHEESE,silpo_procurement_baseline,Silpo baseline / ProZorro,not_applicable,linear,51,-1.3092415126035226,-1.341737054652846,0.18564327003162212,0.2700247891305599,2025-10-21,2025-12-13
cheese,CHEESE,novus_procurement_observed,Novus observed / ProZorro,not_applicable,linear,57,-0.133957714107045,-0.31453568724365244,0.7560345802874112,0.8746270482071222,2025-11-04,2026-01-08
cheese,CHEESE,retail_optimal_procurement_observed,Retail optimal observed / ProZorro,not_applicable,linear,71,-1.0117400086146806,-1.2886628858101954,0.6555519264771565,0.36358578644993805,2025-10-21,2026-01-08
cheese,CHEESE,retail_optimal_procurement_baseline,Retail optimal baseline / ProZorro,not_applicable,linear,71,-0.9598390837959856,-1.2162383488029338,0.6252401153305275,0.3829545046024521,2025-10-21,2026-01-08
cheese,CHEESE,producer_farmgate,ProducerUA / FarmGateUA,initial,pchip,1478,2.696371851340971,2.702771229720107,0.11384860510315882,14.82584366223241,2021-12-30,2026-01-15
cheese,CHEESE,retail_farmgate_observed,Retail observed / FarmGateUA,initial,pchip,71,1.5255387150337554,1.1928927172690953,0.6126349831592226,4.59761970913673,2025-10-21,2026-01-08
cheese,CHEESE,retail_farmgate_baseline,Retail baseline / FarmGateUA,initial,pchip,71,1.5774396398524504,1.2699264869143896,0.5810620225172027,4.8425412754834225,2025-10-21,2026-01-08
cheese,CHEESE,producer_farmgate,ProducerUA / FarmGateUA,filled,pchip,1478,2.935761306099151,2.9256435008051938,0.09985709259676351,18.83583751605011,2021-12-30,2026-01-15
cheese,CHEESE,retail_farmgate_observed,Retail observed / FarmGateUA,filled,pchip,71,1.8015590162528272,1.481292940237743,0.5971242185318478,6.059086318885821,2025-10-21,2026-01-08
cheese,CHEESE,retail_farmgate_baseline,Retail baseline / FarmGateUA,filled,pchip,71,1.8534599410715227,1.554183145996868,0.5658249319323252,6.381862234628096,2025-10-21,2026-01-08
cheese,CHEESE,procurement_producer,ProZorro / ProducerUA,not_applicable,pchip,270,-0.12837344251893495,-0.07309493621357266,0.306884007397217,0.879524865826681,2025-04-14,2026-01-08
cheese,CHEESE,retail_procurement_observed,Retail observed / ProZorro,not_applicable,pchip,71,-1.0117400086146806,-1.2886628858101954,0.6555519264771565,0.36358578644993805,2025-10-21,2026-01-08
cheese,CHEESE,retail_procurement_baseline,Retail baseline / ProZorro,not_applicable,pchip,71,-0.9598390837959856,-1.2162383488029338,0.6252401153305275,0.3829545046024521,2025-10-21,2026-01-08
cheese,CHEESE,retail_matched_procurement_observed,Retail matched observed / ProZorro,not_applicable,pchip,61,-1.268575151202969,-1.317589531112903,0.2674887170362028,0.28123204958363174,2025-10-21,2026-01-08
cheese,CHEESE,retail_matched_procurement_baseline,Retail matched baseline / ProZorro,not_applicable,pchip,61,-1.1900172594309941,-1.2615630437150758,0.24370831955269237,0.3042160134261016,2025-10-21,2026-01-08
