standardized_type,ua_series,adf_p_level,adf_p_diff1,n_obs,r2,coef_dlog_bm,p_dlog_bm,lb_pvalue,bp_pvalue
butter,Producer_UA,0.8957095099328973,2.058162067271936e-07,206,0.2970303689887075,0.5768082450868965,0.00010246761987115735,0.035414331871794796,0.989535326823681
butter,Prozorro,0.04546111309610459,4.7115654349476986e-14,37,0.2241858816269745,-0.6502663616217152,0.339908488706147,0.9594583942133478,0.09690208379861953
cream,Producer_UA,0.2659556648946424,3.971790060171897e-10,206,0.2859419889856879,0.06738118415871205,0.4463113673473248,0.0064317213696450035,0.8859032133088937
cream,Prozorro,0.7329218358145186,0.015755985715404427,36,0.3757495329755546,0.2236227268811068,0.15475091125604043,0.40723546420978796,0.8002812894886705
hard_cheese,Consumer_UA,0.9571206785257237,1.3006912278692527e-09,209,0.28387665389148287,0.25687893792501953,0.30602287596742817,0.020766783565572405,0.6726064021490037
hard_cheese,Producer_UA,0.902873875233027,2.3044887895985514e-09,206,0.29505374133553297,0.1879742116302045,0.34743912667220833,0.016792797620718537,0.5183840485222343
hard_cheese,Prozorro,0.6128667681990054,2.824769360144241e-12,37,0.46534624292278826,1.1268657104314153,0.3986660699155766,0.7341891306719357,0.8595386694610146
milk,Consumer_UA,0.9194544590408007,2.2827421938248852e-11,210,0.250765119780451,0.10523719619434635,0.17532546354563427,0.02551906788393604,0.574718742961147
milk,Producer_UA,0.8934687684741718,5.275400621841551e-10,206,0.25533154919358325,0.22832569172247405,0.2469314867523692,0.03098331443646493,0.6355671579046396
milk,Prozorro,0.0037983780492439325,0.1637647482687305,37,0.40372195081529505,0.13911351542977196,0.791017944468801,0.5259382998559289,0.9793227110582782
other,Prozorro,0.798880366566112,1.0013782301645265e-08,37,0.044983469984414715,0.41123760262211967,0.47663526820703594,0.6456174338834906,0.9613139635403138
