product,product_literal,retailer,brand_norm,n_rows,n_dates,n_item_keys,matched_share,mean_discount_share,median_price
butter,butter,Novus,,5,1,5,0.0,0.0,47.49
butter,butter,Novus,новгород сіверський,4,3,1,0.0,0.0,106.495
butter,butter,Novus,novus,4,2,1,0.0,0.0,114.0
butter,butter,Novus,prego,4,2,4,0.25,0.0,114.0
butter,butter,Novus,гхі,4,2,2,0.0,0.0,364.0
butter,butter,Novus,яготинське,4,2,3,1.0,0.0,134.0
butter,butter,Novus,roshen,3,2,2,0.6666666666666666,0.0,124.0
butter,butter,Novus,волошкове поле,3,2,1,1.0,0.0,114.0
butter,butter,Novus,селянське,3,2,2,1.0,0.0,99.99
butter,butter,Novus,organic,2,2,1,0.0,0.0,141.5
butter,butter,Novus,галичина,2,2,1,1.0,0.0,124.0
butter,butter,Novus,дари,2,2,1,0.0,0.0,98.99
butter,butter,Novus,молочна,2,2,1,1.0,0.0,101.495
butter,butter,Novus,paysan,2,1,2,0.0,0.0,279.0
butter,butter,Novus,біло,2,1,1,1.0,0.0,106.995
butter,butter,Novus,ранчо,2,1,1,1.0,0.0,126.5
butter,butter,Novus,dziugas,1,1,1,0.0,0.0,89.99
butter,butter,Novus,mlekovita,1,1,1,0.0,0.0,79.99
butter,butter,Novus,mother,1,1,1,0.0,0.0,154.0
butter,butter,Novus,president,1,1,1,0.0,0.0,199.0
butter,butter,Novus,валіо,1,1,1,0.0,0.0,229.0
butter,butter,Novus,житомирський,1,1,1,0.0,0.0,114.0
butter,butter,Novus,звени гора,1,1,1,0.0,0.0,104.0
butter,butter,Novus,комо,1,1,1,1.0,0.0,139.0
butter,butter,Novus,молокiя,1,1,1,0.0,0.0,124.0
butter,butter,Novus,молокія,1,1,1,1.0,0.0,114.0
butter,butter,Novus,онур,1,1,1,0.0,0.0,35.49
butter,butter,Novus,ферма,1,1,1,1.0,0.0,154.0
butter,butter,Novus,чумак,1,1,1,0.0,0.0,37.49
butter,butter,Novus,щедро,1,1,1,0.0,0.0,41.99
butter,butter,Silpo,лавка традицій,1064,48,23,0.0,0.19548872180451127,55.49
butter,butter,Silpo,селянське,811,48,15,0.17879161528976573,0.18002466091245375,77.99
butter,butter,Silpo,яготинське,432,48,6,0.6666666666666666,0.23842592592592593,59.99
butter,butter,Silpo,l amp l,340,48,11,0.0,0.1676470588235294,294.0
butter,butter,Silpo,ферма,233,48,5,0.41201716738197425,0.7167381974248928,55.9
butter,butter,Silpo,gheesome,192,48,4,0.0,0.3541666666666667,94.19
butter,butter,Silpo,organic,192,48,4,0.0,0.296875,59.99
butter,butter,Silpo,isigny,191,48,4,0.0,0.18848167539267016,125.0
butter,butter,Silpo,burro,144,48,3,0.0,0.3125,92.49
butter,butter,Silpo,president,144,48,2,0.0,0.2569444444444444,57.49
butter,butter,Silpo,valio,144,48,3,0.0,0.3680555555555556,64.99
butter,butter,Silpo,біло,144,48,3,0.3333333333333333,0.2916666666666667,62.24
butter,butter,Silpo,гхі,144,48,2,0.0,0.2847222222222222,89.99
butter,butter,Silpo,повна чаша,144,48,1,0.0,0.1527777777777778,52.24
butter,butter,Silpo,яготинське для дітей,144,48,3,0.0,0.2569444444444444,44.69
butter,butter,Silpo,волошкове поле,97,48,1,1.0,0.21649484536082475,66.49
butter,butter,Silpo,beppino,96,48,2,0.0,0.10416666666666667,33.49
butter,butter,Silpo,brazzale,96,48,2,0.0,0.28125,119.495
