product,product_label,candidate,candidate_label,observed_col,baseline_col,discount_col,support_col,n_obs,coverage_share,best_corr_prozorro,best_lag_prozorro,best_corr_consumer,best_lag_consumer,discount_std,median_item_support,overlap_prozorro_n,overlap_consumer_n,coverage_share_scaled,best_corr_prozorro_scaled,best_corr_consumer_scaled,discount_std_scaled,median_item_support_scaled,selection_score
butter,Butter,retail_merged,Retail merged full list,retail_observed_model,retail_baseline_model,retail_discount_share,retail_n_item_keys,67,0.036792970895112576,-0.32677518443043335,18.0,,,0.08625263707089817,108.0,67,0,0.9305555555555556,0.5836342348525765,0.0,0.19710609604394155,0.16640986132511557,0.4989290259256011
butter,Butter,retail_consumer,Retail plus ConsumerUA,retail_consumer_observed_model,retail_consumer_baseline_model,retail_discount_share,retail_n_item_keys,67,0.036792970895112576,-0.32677518443043335,18.0,,,0.08625263707089817,108.0,67,0,0.9305555555555556,0.5836342348525765,0.0,0.19710609604394155,0.16640986132511557,0.4989290259256011
butter,Butter,retail_matched,Retail matched cross-shop,retail_matched_observed_model,retail_matched_baseline_model,retail_matched_discount_share,retail_matched_n_item_keys,61,0.033498077979132346,-0.3757918057738585,24.0,,,0.10643110927039445,13.0,61,0,0.8472222222222223,0.6711799839053741,0.0,0.24321830796512198,0.020030816640986132,0.48284711513093903
butter,Butter,silpo,Silpo only,silpo_observed_model,silpo_baseline_model,silpo_discount_share,silpo_n_item_keys,51,0.02800658978583196,-0.369678279479687,17.0,,,0.05037785198806646,108.0,51,0,0.7083333333333334,0.660260968597743,0.0,0.11512438424677024,0.16640986132511557,0.44705220820276725
butter,Butter,novus,Novus only,novus_observed_model,novus_observed_model,novus_discount_share,novus_n_item_keys,32,0.01757276221856123,-0.4487316103946771,10.0,,,0.0,1.0,32,0,0.4444444444444445,0.8014535453276326,0.0,0.0,0.0015408320493066256,0.3740005217390191
condensed_milk,Condensed milk,retail_merged,Retail merged full list,retail_observed_model,retail_baseline_model,retail_discount_share,retail_n_item_keys,64,0.03514552443712246,-0.3496720439876933,26.0,,,0.08089048991138348,34.0,64,0,0.888888888888889,0.6245289898552263,0.0,0.18485241976322347,0.05238828967642527,0.4803688490510207
condensed_milk,Condensed milk,retail_consumer,Retail plus ConsumerUA,retail_consumer_observed_model,retail_consumer_baseline_model,retail_discount_share,retail_n_item_keys,64,0.03514552443712246,-0.3496720439876933,26.0,,,0.08089048991138348,34.0,64,0,0.888888888888889,0.6245289898552263,0.0,0.18485241976322347,0.05238828967642527,0.4803688490510207
condensed_milk,Condensed milk,retail_matched,Retail matched cross-shop,retail_matched_observed_model,retail_matched_baseline_model,retail_matched_discount_share,retail_matched_n_item_keys,51,0.02800658978583196,0.28716166633864887,3.0,,,0.4375949744936837,1.0,51,0,0.7083333333333334,0.5128828240267668,0.0,1.0,0.0015408320493066256,0.466595972015426
condensed_milk,Condensed milk,silpo,Silpo only,silpo_observed_model,silpo_baseline_model,silpo_discount_share,silpo_n_item_keys,51,0.02800658978583196,-0.3426001859314003,26.0,,,0.0641912699618458,34.0,51,0,0.7083333333333334,0.6118983536798859,0.0,0.1466910584065045,0.05238828967642527,0.41859685539608
cottage_cheese,Cottage cheese,retail_merged,Retail merged full list,retail_observed_model,retail_baseline_model,retail_discount_share,retail_n_item_keys,67,0.036792970895112576,-0.32719814171384987,1.0,,,0.08337936317387713,59.5,67,0,0.9305555555555556,0.5843896543649619,0.0,0.19054003824050006,0.09167950693374423,0.4872894928402669
