product,product_literal,retailer,n_rows,n_dates,n_item_keys,n_brands,matched_share,mean_discount_share,median_price
butter,butter,Novus,62,11,43,30,0.3870967741935484,0.0,114.0
butter,butter,Silpo,5946,48,120,40,0.17776656575849312,0.22922973427514295,70.49
condensed_milk,condensed_milk,Novus,31,8,24,12,0.0967741935483871,0.0,78.99
condensed_milk,condensed_milk,Silpo,1768,48,35,18,0.027149321266968326,0.19400452488687783,64.99
cottage_cheese,cottage_cheese,Novus,58,12,33,17,0.5344827586206896,0.0,89.99
cottage_cheese,cottage_cheese,Silpo,4161,48,65,21,0.3239605863975006,0.23648161499639508,59.99
cream,cream,Novus,90,17,70,39,0.26666666666666666,0.0,71.99
cream,cream,Silpo,3750,48,65,33,0.26266666666666666,0.3048,57.49
hard_cheese,hard_cheese,Novus,559,32,533,167,0.0,0.0,189.0
hard_cheese,hard_cheese,Silpo,2669,48,59,22,0.0,0.22105657549644062,54.99
milk,milk,Novus,116,20,79,29,0.4396551724137931,0.0,63.49
milk,kefir,Novus,40,9,26,18,0.675,0.0,58.99
milk,ayran,Novus,11,3,8,3,0.36363636363636365,0.0,61.99
milk,ryazhanka,Novus,10,5,8,5,0.9,0.0,57.49
milk,milk,Silpo,12455,48,213,56,0.21758329987956643,0.26623845845042154,59.99
milk,kefir,Silpo,4426,48,60,34,0.4252146407591505,0.22661545413465883,54.99
milk,ryazhanka,Silpo,1918,48,34,19,0.31908237747653806,0.25495307612095935,49.99
milk,ayran,Silpo,927,48,18,5,0.16828478964401294,0.267529665587918,54.9
milk_powder,milk_powder,Novus,2,1,2,2,0.5,0.0,164.0
milk_powder,milk_powder,Silpo,210,48,4,3,0.22857142857142856,0.3904761904761905,82.445
sour_cream,sour_cream,Novus,62,11,29,18,0.7741935483870968,0.0,59.99
sour_cream,sour_cream,Silpo,5228,48,62,37,0.4292272379495027,0.2394797245600612,54.99
yogurt_dessert,yogurt,Novus,238,25,199,33,0.5210084033613446,0.0,41.49
yogurt_dessert,dessert,Novus,108,18,103,26,0.1388888888888889,0.0,37.79
yogurt_dessert,yogurt,Silpo,24448,48,506,62,0.24145124345549737,0.28251799738219896,53.99
yogurt_dessert,dessert,Silpo,9263,48,215,44,0.07222282197992011,0.3017380978084854,55.49
