item_key,silpo_product,silpo_brand_norm,silpo_canonical_name,silpo_first_name,novus_brand_norm,novus_canonical_name,novus_first_name,silpo_n_rows,novus_n_rows,strict_alignment_flag,combined_rows
milk|селянська|milk,milk,селянська,milk,Ряжанка пляшка,селянська,milk,Ряжанка,192.0,1.0,1,193.0
yogurt_dessert|активіа|біфідойогурт банан ківі безлактозний,yogurt_dessert,активіа,біфідойогурт банан ківі безлактозний,Біфідойогурт Банан ківі безлактозний,активіа,біфідойогурт банан ківі безлактозний,Біфідойогурт Банан-ківі безлактозний,96.0,2.0,1,98.0
butter|яготинське|топлене,butter,яготинське,топлене,Масло топлене,яготинське,топлене,Масло топлене,96.0,1.0,1,97.0
milk|на здоров я|дитяче,milk,на здоров я,дитяче,Молоко ультрапастеризоване дитяче,на здоров я,дитяче,Молоко Дитяче ультрапастеризоване,96.0,1.0,1,97.0
milk|селянське|мікрофільтроване незбиране,milk,селянське,мікрофільтроване незбиране,"Молоко пастеризоване мікрофільтроване незбиране 3,4-",селянське,мікрофільтроване незбиране,"Молоко мікрофільтроване незбиране 3,4-",96.0,1.0,1,97.0
yogurt_dessert|галичина|карпатський чорниця,yogurt_dessert,галичина,карпатський чорниця,Йогурт Карпатський чорниця,галичина,карпатський чорниця,Йогурт Карпатський Чорниця,96.0,1.0,1,97.0
yogurt_dessert|фанні|диня персик,yogurt_dessert,фанні,диня персик,Йогурт диня-персик питний пляшка,фанні,диня персик,Йогурт диня-персик,96.0,1.0,1,97.0
yogurt_dessert|яготинський|манго та соком маракуї,yogurt_dessert,яготинський,манго та соком маракуї,Йогурт з манго та соком маракуї,яготинський,манго та соком маракуї,Йогурт з манго та соком маракуї,96.0,1.0,1,97.0
yogurt_dessert|яготинський|персиком,yogurt_dessert,яготинський,персиком,Йогурт з персиком питний пляшка,яготинський,персиком,Йогурт з персиком,96.0,1.0,1,97.0
yogurt_dessert|яготинський|полуницею,yogurt_dessert,яготинський,полуницею,Йогурт з полуницею питний пляшка,яготинський,полуницею,Йогурт з полуницею,96.0,1.0,1,97.0
yogurt_dessert|галичина|карпатський лісова ягода,yogurt_dessert,галичина,карпатський лісова ягода,Йогурт Карпатський лісова ягода,галичина,карпатський лісова ягода,Йогурт Карпатський лісова ягода,95.0,1.0,1,96.0
milk|простонаше|пряжене,milk,простонаше,пряжене,Молоко пряжене пляшка,простонаше,пряжене,Молоко пряжене,50.0,1.0,1,51.0
