date,product,product_label,retail_optimal_observed,retail_optimal_baseline,retail_optimal_observed_model,retail_optimal_baseline_model,retail_optimal_discount_share,retail_optimal_n_item_keys
2021-02-01,butter,Butter,,,,,,
2021-02-02,butter,Butter,,,,,,
2021-02-03,butter,Butter,,,,,,
2021-02-04,butter,Butter,,,,,,
2021-02-05,butter,Butter,,,,,,
2021-02-06,butter,Butter,,,,,,
2021-02-07,butter,Butter,,,,,,
2021-02-08,butter,Butter,,,,,,
2021-02-09,butter,Butter,,,,,,
2021-02-10,butter,Butter,,,,,,
2021-02-11,butter,Butter,,,,,,
2021-02-12,butter,Butter,,,,,,
2021-02-13,butter,Butter,,,,,,
2021-02-14,butter,Butter,,,,,,
2021-02-15,butter,Butter,,,,,,
2021-02-16,butter,Butter,,,,,,
2021-02-17,butter,Butter,,,,,,
2021-02-18,butter,Butter,,,,,,
2021-02-19,butter,Butter,,,,,,
2021-02-20,butter,Butter,,,,,,
2021-02-21,butter,Butter,,,,,,
2021-02-22,butter,Butter,,,,,,
2021-02-23,butter,Butter,,,,,,
2021-02-24,butter,Butter,,,,,,
2021-02-25,butter,Butter,,,,,,
2021-02-26,butter,Butter,,,,,,
2021-02-27,butter,Butter,,,,,,
2021-02-28,butter,Butter,,,,,,
2021-03-01,butter,Butter,,,,,,
2021-03-02,butter,Butter,,,,,,
2021-03-03,butter,Butter,,,,,,
2021-03-04,butter,Butter,,,,,,
2021-03-05,butter,Butter,,,,,,
2021-03-06,butter,Butter,,,,,,
2021-03-07,butter,Butter,,,,,,
2021-03-08,butter,Butter,,,,,,
2021-03-09,butter,Butter,,,,,,
2021-03-10,butter,Butter,,,,,,
2021-03-11,butter,Butter,,,,,,
2021-03-12,butter,Butter,,,,,,
2021-03-13,butter,Butter,,,,,,
2021-03-14,butter,Butter,,,,,,
2021-03-15,butter,Butter,,,,,,
2021-03-16,butter,Butter,,,,,,
2021-03-17,butter,Butter,,,,,,
2021-03-18,butter,Butter,,,,,,
2021-03-19,butter,Butter,,,,,,
2021-03-20,butter,Butter,,,,,,
