model,product,product_label,link,link_direction,price_variant,farm_gate_source,reconstruction_variant,horizon_days,n_obs,coef,pvalue,stderr,r2,core_signal,ljungbox_p,arch_p,jb_p,coef_positive_shock,p_positive_shock,coef_negative_shock_abs,p_negative_shock_abs,asymmetry_pvalue,asymmetry_gap
LP_linear,butter,Butter,FarmGateUA -> ProducerUA,forward,processor_price,initial,linear,0,1458,1.0660807710355167,8.177707610967927e-06,0.23900595072855554,0.7440159427820672,1,3.2530272932799265e-52,2.198993094532072e-41,0.0,,,,,,
LP_asymmetric,butter,Butter,FarmGateUA -> ProducerUA,forward,processor_price,initial,linear,0,1458,,,,0.7440171872570842,1,3.260036458490421e-52,2.3771278025449616e-41,0.0,1.06128862088672,3.219139968399979e-06,-1.0738343953546234,0.00020683825256119541,1.3972253938627858e-05,2.1351230162413435
LP_linear,butter,Butter,FarmGateUA -> ProducerUA,forward,processor_price,initial,linear,1,1457,2.0809111668448996,3.310283276337386e-06,0.44745349594451217,0.6722062274696867,1,2.1111890273001942e-135,6.077675511646974e-45,0.0,,,,,,
LP_asymmetric,butter,Butter,FarmGateUA -> ProducerUA,forward,processor_price,initial,linear,1,1457,,,,0.6722544519427256,1,2.982347636690113e-135,9.407754841668134e-45,0.0,2.0236467449943722,1.4690609840121426e-06,-2.17355397144575,0.00047638991191338586,7.65095058974873e-06,4.197200716440122
LP_linear,butter,Butter,FarmGateUA -> ProducerUA,forward,processor_price,initial,linear,3,1455,3.8537240688971264,7.616618809186491e-07,0.7793263037327374,0.5068293287083406,1,0.0,7.085289174821253e-100,0.0,,,,,,
LP_asymmetric,butter,Butter,FarmGateUA -> ProducerUA,forward,processor_price,initial,linear,3,1455,,,,0.5070177169330903,1,0.0,2.1950270174702353e-99,0.0,3.6421413673815453,1.8234291008403127e-06,-4.195948994444291,0.008017477631701546,9.567995789180607e-06,7.838090361825836
LP_linear,butter,Butter,FarmGateUA -> ProducerUA,forward,processor_price,initial,linear,7,1451,4.838807596544736,7.638938236421526e-05,1.2233254014411887,0.23399538849722878,1,0.0,1.3787744320968335e-205,5.912269056778914e-202,,,,,,
LP_asymmetric,butter,Butter,FarmGateUA -> ProducerUA,forward,processor_price,initial,linear,7,1451,,,,0.23526819836637025,1,0.0,7.649367566270766e-206,5.8856984624745416e-198,3.8884268523189056,0.018545155452558117,-6.373240666208084,0.04646882550031312,0.00029217301594868655,10.26166751852699
LP_linear,butter,Butter,FarmGateUA -> ProducerUA,forward,processor_price,initial,linear,14,1444,1.1310742314941775,0.5992480732410446,2.1524504231748094,0.12448616528655765,0,0.0,1.2814837266770872e-265,0.002349463555993366,,,,,,
LP_asymmetric,butter,Butter,FarmGateUA -> ProducerUA,forward,processor_price,initial,linear,14,1444,,,,0.12470360715643602,0,0.0,4.287479816992346e-266,0.0019415037804283997,0.5570591182596338,0.8744075883911032,-2.056934999549573,0.5927231017160064,0.5144626567874244,2.6139941178092068
