link,link_direction,price_variant,horizon_days,models,products,variants,mean_coef,median_coef,mean_abs_coef,sig_share,core_share,median_n_obs
FarmGateUA -> ProZorro,forward,procurement_price,0,32,8,2,-3.401091113564189,-2.6213058528854996,6.647493857511429,0.125,0.125,260.0
FarmGateUA -> ProducerUA,forward,processor_price,0,20,5,2,0.7163428194956903,0.7182696748773822,0.7163428194956903,1.0,1.0,1458.0
FarmGateUA -> Retail,forward,retail_observed,0,36,9,2,4.027076910646121,0.574936979684177,7.967366298154137,0.08333333333333333,0.08333333333333333,60.0
FarmGateUA -> Retail optimal,forward,retail_optimal_observed,0,36,9,2,1.6600366096612078,0.7162607267684644,10.014118145033514,0.08333333333333333,0.08333333333333333,60.0
FarmGateUA -> Retail+Consumer,forward,retail_consumer_observed,0,36,9,2,3.37376316754568,0.4991660562012692,7.515781946239396,0.08333333333333333,0.08333333333333333,60.0
Novus -> ProZorro,reverse,novus_observed,0,10,5,2,-0.8759038930919255,-0.013730238247604495,0.9182847856023978,0.4,0.0,37.0
ProZorro -> Novus,forward,novus_observed,0,10,5,2,0.051283572076695594,-0.0612492851927899,0.14447330582011306,0.2,0.0,37.0
ProZorro -> ProducerUA,reverse,processor_price,0,10,5,2,-0.002483742288167989,-0.0010623368300881628,0.004503760063680824,0.0,0.0,258.0
ProZorro -> Retail,forward,retail_baseline,0,14,7,2,-0.00673822752154075,-0.021878725265111712,0.11393340908632563,0.14285714285714285,0.14285714285714285,60.0
ProZorro -> Retail,forward,retail_observed,0,14,7,2,-0.026422272686979498,-0.025280298560729112,0.12118047138740569,0.14285714285714285,0.14285714285714285,60.0
ProZorro -> Retail matched,forward,retail_matched_baseline,0,12,6,2,-0.19023550490915755,-0.04784510638314634,0.20220678705880926,0.3333333333333333,0.3333333333333333,54.0
ProZorro -> Retail matched,forward,retail_matched_observed,0,12,6,2,-0.22258320141065638,-0.05237943610423542,0.22543804121724376,0.16666666666666666,0.16666666666666666,54.0
ProZorro -> Retail optimal,forward,retail_optimal_baseline,0,14,7,2,-0.020676309552383913,-0.021878725265111712,0.09999532705548245,0.14285714285714285,0.14285714285714285,60.0
ProZorro -> Retail optimal,forward,retail_optimal_observed,0,14,7,2,-0.041062837311772925,-0.025280298560729112,0.10653990676261227,0.14285714285714285,0.14285714285714285,60.0
ProZorro -> Retail+Consumer,forward,retail_consumer_baseline,0,14,7,2,-0.011867208269812043,-0.01143743109116195,0.09118622577291056,0.14285714285714285,0.14285714285714285,60.0
ProZorro -> Retail+Consumer,forward,retail_consumer_observed,0,14,7,2,-0.03210591680448037,-0.025280298560729112,0.09787991560332202,0.14285714285714285,0.14285714285714285,60.0
ProZorro -> Silpo,forward,silpo_baseline,0,14,7,2,-0.02311702561089341,-0.01903681462965376,0.05265531978544202,0.14285714285714285,0.14285714285714285,47.0
ProZorro -> Silpo,forward,silpo_observed,0,14,7,2,-0.03929990133869242,-0.0282377333535135,0.041362662429569465,0.14285714285714285,0.14285714285714285,47.0
ProducerUA -> FarmGateUA,reverse,processor_price,0,20,5,2,0.06367016287374412,0.06297907225176777,0.06367016287374411,1.0,1.0,1458.0
ProducerUA -> ProZorro,forward,procurement_price,0,10,5,2,-0.28753252570101606,-0.07002252068425423,0.8714248356209053,0.0,0.0,258.0
Retail -> FarmGateUA,reverse,retail_observed,0,36,9,2,0.0005554953981170914,9.194353484480238e-05,0.0011247471678153746,0.1388888888888889,0.1388888888888889,60.0
Retail -> ProZorro,reverse,retail_baseline,0,14,7,2,-0.15241139117548266,-0.06831350057784537,0.22927857943019128,0.14285714285714285,0.14285714285714285,60.0
Retail -> ProZorro,reverse,retail_observed,0,14,7,2,-0.16759278755534374,-0.09605727951428915,0.19323084714720576,0.2857142857142857,0.2857142857142857,60.0
Retail matched -> ProZorro,reverse,retail_matched_baseline,0,12,6,2,-0.10640283177043469,-0.059203056119482546,0.11127520284484001,0.3333333333333333,0.3333333333333333,54.0
Retail matched -> ProZorro,reverse,retail_matched_observed,0,12,6,2,-0.0797857118708555,-0.05835355028745088,0.09052287809881675,0.16666666666666666,0.16666666666666666,54.0
Retail optimal -> FarmGateUA,reverse,retail_optimal_observed,0,36,9,2,0.0005642036890099086,9.194353484480238e-05,0.0011233313273883252,0.1388888888888889,0.1388888888888889,60.0
Retail optimal -> ProZorro,reverse,retail_optimal_baseline,0,14,7,2,-0.1502741088944982,-0.06831350057784537,0.23141586171117573,0.14285714285714285,0.14285714285714285,60.0
Retail optimal -> ProZorro,reverse,retail_optimal_observed,0,14,7,2,-0.16552990009169946,-0.09605727951428915,0.19529373461085006,0.2857142857142857,0.2857142857142857,60.0
