product,product_label,stage,spread,farm_gate_source,reconstruction_variant,n_obs,lag_spread_coef,lag_spread_p,upstream_pos_coef,upstream_pos_p,upstream_neg_abs_coef,upstream_neg_abs_p,asymmetry_pvalue,discount_share_coef,discount_share_p,discount_depth_coef,discount_depth_p,r2,persistent_margin_flag,asymmetric_margin_flag,ljungbox_p,arch_p,jb_p
butter,Butter,producer_farmgate,ProducerUA / FarmGateUA,initial,linear,1459,-0.0052808386956478635,0.19150415187741332,-0.026235615080356288,0.8950738415876217,-0.36472341337421293,0.4918645711540983,0.5042677233631395,-0.011208523230542975,0.30585560010089574,,,0.006630523159791846,1,0,0.0,1.7903366380877737e-202,3.752862997598174e-195
butter,Butter,retail_farmgate_observed,Retail observed / FarmGateUA,initial,linear,62,-0.48104634302147803,2.3493192780590648e-14,19.103804365670612,0.1660687339136676,7.247245622968453,0.12789507627259095,0.33343211347677554,-1.1299892050661033,9.692577204858299e-07,,,0.48861197813601487,0,0,0.24300262926489416,0.17802494810154965,0.06424380154067477
butter,Butter,retail_farmgate_baseline,Retail baseline / FarmGateUA,initial,linear,62,-0.4627885453812556,3.748764901663055e-13,19.83369449453421,0.12727363363734667,7.011149266614683,0.03461770996724824,0.26597182746908055,-0.9011403421193664,1.780543822414387e-05,,,0.4389570922599909,0,0,0.10077192853476631,0.5253353137161894,0.0010844538620124568
butter,Butter,retail_consumer_farmgate_observed,Retail+Consumer observed / FarmGateUA,initial,linear,62,-0.48104634302147803,2.3493192780590648e-14,19.103804365670612,0.1660687339136676,7.247245622968453,0.12789507627259095,0.33343211347677554,-1.1299892050661033,9.692577204858299e-07,,,0.48861197813601487,0,0,0.24300262926489416,0.17802494810154965,0.06424380154067477
butter,Butter,producer_farmgate,ProducerUA / FarmGateUA,filled,linear,1459,-0.005800760210657263,0.16091014173916474,-0.35215593682698443,0.23330968485025005,-0.6476046082346508,0.14811576945906157,0.5307901944344127,-0.011408736951037035,0.3062278192032596,,,0.014195978686590616,1,0,0.0,1.0459146071035354e-193,6.428669851870235e-165
butter,Butter,retail_farmgate_observed,Retail observed / FarmGateUA,filled,linear,62,-0.48895224033200957,6.478304714945114e-17,14.598444911433294,0.039102582294712356,13.971758491732999,0.1554255099121302,0.9578670444769452,-1.10084507348619,2.1809369192154635e-06,,,0.5133171002512383,0,0,0.2912835206306165,0.29290010044193493,0.1781935528539091
butter,Butter,retail_farmgate_baseline,Retail baseline / FarmGateUA,filled,linear,62,-0.4724230485922334,1.8350374066870983e-14,14.884338995758222,0.02657738165399949,13.573144378590666,0.11479312447599217,0.903285977200466,-0.872448458774374,4.347250159998766e-05,,,0.4695728736643021,0,0,0.13129315677289766,0.7355249142070157,0.013965108058842688
butter,Butter,retail_consumer_farmgate_observed,Retail+Consumer observed / FarmGateUA,filled,linear,62,-0.48895224033200957,6.478304714945114e-17,14.598444911433294,0.039102582294712356,13.971758491732999,0.1554255099121302,0.9578670444769452,-1.10084507348619,2.1809369192154635e-06,,,0.5133171002512383,0,0,0.2912835206306165,0.29290010044193493,0.1781935528539091
butter,Butter,procurement_producer,ProZorro / ProducerUA,not_applicable,linear,259,-0.421744199087694,7.685447562118948e-12,-0.9410303660357928,0.14909293652050543,1.2958347878718415,0.10710936588347449,0.016324064030552945,0.06619586081529096,0.41773866347964794,,,0.21411453008467918,0,1,0.00010674399905839496,0.034626041525138464,8.58894947966076e-36
butter,Butter,retail_procurement_observed,Retail observed / ProZorro,not_applicable,linear,63,-0.3869470079234254,8.152636790866696e-07,-0.8797053703199281,2.1985949985480276e-20,0.6039228859820583,5.050017028377813e-05,1.5010630216414132e-14,-1.0030706015793143,1.4346629061794567e-05,,,0.7245154378832162,0,1,0.11776891736640668,0.036777694149654254,0.24022783700379782
