finding_type,link_or_stage,product,product_label,price_variant,n_core_rows,median_coef,directionally_stable,interpretation_flag
local_projection,FarmGateUA -> ProZorro,butter,Butter,procurement_price,1,-9.780446837083918,1.0,selective
local_projection,FarmGateUA -> ProZorro,cottage_cheese,Cottage cheese,procurement_price,2,26.18771481972164,1.0,selective
local_projection,FarmGateUA -> ProZorro,hard_cheese,Hard cheese,procurement_price,1,-19.518851772304714,1.0,selective
local_projection,FarmGateUA -> ProZorro,sour_cream,Sour cream,procurement_price,3,-24.830103270002525,1.0,stronger
local_projection,FarmGateUA -> ProducerUA,butter,Butter,processor_price,4,6.327720651292472,1.0,stronger
local_projection,FarmGateUA -> ProducerUA,hard_cheese,Hard cheese,processor_price,4,5.662192467206419,1.0,stronger
local_projection,FarmGateUA -> ProducerUA,milk,Milk / fermented milk,processor_price,4,4.940250954842875,1.0,stronger
local_projection,FarmGateUA -> ProducerUA,milk_powder,Milk powder,processor_price,4,3.497418305194786,1.0,stronger
local_projection,FarmGateUA -> ProducerUA,sour_cream,Sour cream,processor_price,4,5.457402238631024,1.0,stronger
local_projection,FarmGateUA -> Retail,butter,Butter,retail_observed,3,-25.867099695238693,1.0,stronger
local_projection,FarmGateUA -> Retail,condensed_milk,Condensed milk,retail_observed,4,-14.273348767490415,1.0,stronger
local_projection,FarmGateUA -> Retail,cream,Cream,retail_observed,2,65.89045596478661,1.0,selective
local_projection,FarmGateUA -> Retail,hard_cheese,Hard cheese,retail_observed,2,-70.31885720919111,1.0,selective
local_projection,FarmGateUA -> Retail,milk_powder,Milk powder,retail_observed,5,-67.1294634278179,0.0,selective
local_projection,FarmGateUA -> Retail optimal,butter,Butter,retail_optimal_observed,3,-25.867099695238693,1.0,stronger
local_projection,FarmGateUA -> Retail optimal,condensed_milk,Condensed milk,retail_optimal_observed,4,-14.273348767490415,1.0,stronger
local_projection,FarmGateUA -> Retail optimal,cream,Cream,retail_optimal_observed,2,65.89045596478661,1.0,selective
local_projection,FarmGateUA -> Retail optimal,hard_cheese,Hard cheese,retail_optimal_observed,2,-51.171124283965696,1.0,selective
local_projection,FarmGateUA -> Retail optimal,milk_powder,Milk powder,retail_optimal_observed,5,120.94932529651778,0.0,selective
local_projection,FarmGateUA -> Retail+Consumer,butter,Butter,retail_consumer_observed,3,-25.867099695238693,1.0,stronger
local_projection,FarmGateUA -> Retail+Consumer,condensed_milk,Condensed milk,retail_consumer_observed,4,-14.273348767490415,1.0,stronger
local_projection,FarmGateUA -> Retail+Consumer,cream,Cream,retail_consumer_observed,2,65.89045596478661,1.0,selective
local_projection,FarmGateUA -> Retail+Consumer,hard_cheese,Hard cheese,retail_consumer_observed,2,-51.171124283965696,1.0,selective
local_projection,FarmGateUA -> Retail+Consumer,milk,Milk / fermented milk,retail_consumer_observed,1,-6.751208248482612,1.0,selective
local_projection,FarmGateUA -> Retail+Consumer,milk_powder,Milk powder,retail_consumer_observed,5,-67.1294634278179,0.0,selective
local_projection,Novus -> ProZorro,milk,Milk / fermented milk,novus_observed,2,0.06808575944873797,1.0,selective
