product,product_label,stage,spread,farm_gate_source,reconstruction_variant,n_obs,mean_log_spread,median_log_spread,sd_log_spread,mean_price_ratio,date_min,date_max
butter,Butter,producer_farmgate,ProducerUA / FarmGateUA,initial,linear,1460,1.3119821187921006,1.3397604492039727,0.12306661145044075,3.7135270739827497,2021-12-31,2025-12-29
butter,Butter,retail_farmgate_observed,Retail observed / FarmGateUA,initial,linear,65,1.5420997881582255,1.4499318656933,0.2684529847243961,4.674395212950043,2025-10-21,2025-12-29
butter,Butter,retail_farmgate_baseline,Retail baseline / FarmGateUA,initial,linear,65,1.6100741553840234,1.5241260145896467,0.23034789561424335,5.003182226977007,2025-10-21,2025-12-29
butter,Butter,retail_consumer_farmgate_observed,Retail+Consumer observed / FarmGateUA,initial,linear,65,1.5420997881582255,1.4499318656933,0.2684529847243961,4.674395212950043,2025-10-21,2025-12-29
butter,Butter,producer_farmgate,ProducerUA / FarmGateUA,filled,linear,1460,1.3260781656050593,1.3500802128356655,0.12398676560892724,3.7662438012949897,2021-12-31,2025-12-29
butter,Butter,retail_farmgate_observed,Retail observed / FarmGateUA,filled,linear,65,1.5447373468224048,1.450783381195869,0.2705618328056426,4.68674047806737,2025-10-21,2025-12-29
butter,Butter,retail_farmgate_baseline,Retail baseline / FarmGateUA,filled,linear,65,1.6127117140482028,1.5190194447720495,0.23260207992647303,5.016395831776877,2025-10-21,2025-12-29
butter,Butter,retail_consumer_farmgate_observed,Retail+Consumer observed / FarmGateUA,filled,linear,65,1.5447373468224048,1.450783381195869,0.2705618328056426,4.68674047806737,2025-10-21,2025-12-29
butter,Butter,procurement_producer,ProZorro / ProducerUA,not_applicable,linear,260,1.6393034810592704,1.6434884788186186,0.1800309552455254,5.151580089222409,2025-04-14,2025-12-29
butter,Butter,retail_procurement_observed,Retail observed / ProZorro,not_applicable,linear,67,-1.5503320970642664,-1.637895117248136,0.29639563649855377,0.21217749860069424,2025-10-21,2026-01-08
butter,Butter,retail_procurement_baseline,Retail baseline / ProZorro,not_applicable,linear,67,-1.4843868154272986,-1.5560530221207989,0.2600558802736422,0.22664127100806727,2025-10-21,2026-01-08
butter,Butter,retail_consumer_procurement_observed,Retail+Consumer observed / ProZorro,not_applicable,linear,67,-1.5503320970642664,-1.637895117248136,0.29639563649855377,0.21217749860069424,2025-10-21,2026-01-08
butter,Butter,retail_consumer_procurement_baseline,Retail+Consumer baseline / ProZorro,not_applicable,linear,67,-1.4843868154272986,-1.5560530221207989,0.2600558802736422,0.22664127100806727,2025-10-21,2026-01-08
butter,Butter,retail_matched_procurement_observed,Retail matched observed / ProZorro,not_applicable,linear,61,-1.6838563000856206,-1.7363026256544032,0.2281137015820855,0.18565664606841997,2025-10-21,2026-01-08
butter,Butter,retail_matched_procurement_baseline,Retail matched baseline / ProZorro,not_applicable,linear,61,-1.5828235239110826,-1.5970619809887436,0.19626986725377465,0.2053943428641389,2025-10-21,2026-01-08
butter,Butter,silpo_procurement_observed,Silpo observed / ProZorro,not_applicable,linear,51,-1.7072828890103844,-1.7307180277396368,0.13434770760713807,0.18135789329321284,2025-10-21,2025-12-13
butter,Butter,silpo_procurement_baseline,Silpo baseline / ProZorro,not_applicable,linear,51,-1.619928987234407,-1.6336233861992469,0.12158429468205424,0.19791275291653873,2025-10-21,2025-12-13
butter,Butter,retail_optimal_procurement_observed,Retail optimal observed / ProZorro,not_applicable,linear,67,-1.5503320970642664,-1.637895117248136,0.29639563649855377,0.21217749860069424,2025-10-21,2026-01-08
butter,Butter,retail_optimal_procurement_baseline,Retail optimal baseline / ProZorro,not_applicable,linear,67,-1.4843868154272986,-1.5560530221207989,0.2600558802736422,0.22664127100806727,2025-10-21,2026-01-08
butter,Butter,producer_farmgate,ProducerUA / FarmGateUA,initial,pchip,1460,1.3117854806506697,1.340887188794182,0.12454762153263697,3.712796924710719,2021-12-31,2025-12-29
butter,Butter,retail_farmgate_observed,Retail observed / FarmGateUA,initial,pchip,65,1.5419187929760438,1.4488772552493896,0.26837557087212854,4.673549246497122,2025-10-21,2025-12-29
butter,Butter,retail_farmgate_baseline,Retail baseline / FarmGateUA,initial,pchip,65,1.6098931602018418,1.5254533072830458,0.23025810519352186,5.002276757043666,2025-10-21,2025-12-29
butter,Butter,retail_consumer_farmgate_observed,Retail+Consumer observed / FarmGateUA,initial,pchip,65,1.5419187929760438,1.4488772552493896,0.26837557087212854,4.673549246497122,2025-10-21,2025-12-29
butter,Butter,producer_farmgate,ProducerUA / FarmGateUA,filled,pchip,1460,1.3258392599905282,1.3504799753181969,0.12552830906336193,3.7653441319774723,2021-12-31,2025-12-29
butter,Butter,retail_farmgate_observed,Retail observed / FarmGateUA,filled,pchip,65,1.54466943794323,1.450783381195869,0.27041471556688385,4.686422217581,2025-10-21,2025-12-29
butter,Butter,retail_farmgate_baseline,Retail baseline / FarmGateUA,filled,pchip,65,1.6126438051690277,1.5197986192746966,0.23246100315621196,5.016055185525026,2025-10-21,2025-12-29
