Date,Price,,
01.27.2026,14.7,,
01.26.2026,14.72,,
01.23.2026,14.69,,
01.22.2026,14.73,,
01.21.2026,14.74,,
01.20.2026,14.75,,
01.16.2026,14.74,,
01.15.2026,14.74,,
01.14.2026,14.77,,
01.13.2026,14.77,,
01.12.2026,14.8,,
01.09.2026,14.86,,
01.08.2026,14.89,,
01.07.2026,15.08,,
01.06.2026,15.09,,
01.05.2026,15.03,,
01.02.2026,15.07,,
12.31.2025,15.22,,
12.30.2025,15.88,,
12.29.2025,15.87,,
12.26.2025,15.86,,
12.24.2025,15.77,,
12.23.2025,15.78,,
12.22.2025,15.77,,
12.19.2025,15.77,,
12.18.2025,15.79,,
12.17.2025,15.83,,
12.16.2025,15.84,,
12.15.2025,15.81,,
12.12.2025,15.89,,
12.11.2025,15.87,,
12.10.2025,15.96,,
12.09.2025,15.97,,
12.08.2025,15.94,,
12.05.2025,16.02,,
12.04.2025,16.1,,
12.03.2025,15.8,,
12.02.2025,17.16,,
12.01.2025,17.16,,
11.28.2025,17.2,,
11.26.2025,17.2,,
11.25.2025,17.19,,
11.24.2025,17.18,,
11.21.2025,17.17,,
11.20.2025,17.21,,
11.19.2025,17.21,,
11.18.2025,17.23,,
11.17.2025,17.21,,
11.14.2025,17.22,,
11.13.2025,17.2,,
11.12.2025,17.17,,
11.11.2025,17.23,,
11.10.2025,17.25,,
11.07.2025,17.2,,
11.06.2025,17.19,,
11.05.2025,17.09,,
11.04.2025,16.92,,
11.03.2025,16.92,,
10.31.2025,16.91,,
10.30.2025,16.91,,
10.29.2025,16.91,,
10.28.2025,16.92,,
10.27.2025,16.9,,
10.24.2025,16.89,,
10.23.2025,16.89,,
10.22.2025,16.95,,
10.21.2025,16.98,,
10.20.2025,16.99,,
10.17.2025,16.98,,
10.16.2025,16.96,,
10.15.2025,16.86,,
10.14.2025,16.92,,
10.13.2025,16.89,,
10.10.2025,16.92,,
10.09.2025,17.02,,
10.08.2025,17.19,,
10.07.2025,17.15,,
10.06.2025,17.03,,
10.03.2025,17.21,,
10.02.2025,17.37,,
10.01.2025,17.53,,
09.30.2025,17.57,,
09.29.2025,17.58,,
09.26.2025,17.57,,
09.25.2025,17.55,,
09.24.2025,17.65,,
09.23.2025,17.68,,
09.22.2025,17.65,,
09.19.2025,17.65,,
09.18.2025,17.64,,
09.17.2025,17.64,,
09.16.2025,17.6,,
09.15.2025,17.58,,
09.12.2025,17.59,,
09.11.2025,17.6,,
09.10.2025,17.66,,
09.09.2025,17.74,,
09.08.2025,17.66,,
09.05.2025,17.64,,
09.04.2025,17.77,,
09.03.2025,17.24,,
09.02.2025,17.25,,
08.29.2025,17.27,,
08.28.2025,17.28,,
08.27.2025,17.38,,
08.26.2025,17.39,,
08.25.2025,17.39,,
08.22.2025,17.39,,
08.21.2025,17.38,,
08.20.2025,17.41,,
08.19.2025,17.41,,
08.18.2025,17.42,,
08.15.2025,17.39,,
08.14.2025,17.38,,
08.13.2025,17.42,,
08.12.2025,17.43,,
08.11.2025,17.41,,
08.08.2025,17.37,,
08.07.2025,17.36,,
08.06.2025,17.34,,
08.05.2025,17.39,,
08.04.2025,17.33,,
08.01.2025,17.2,,
07.31.2025,17.13,,
07.30.2025,17.07,,
07.29.2025,17.29,,
07.28.2025,17.32,,
07.25.2025,17.33,,
07.24.2025,17.33,,
07.23.2025,17.39,,
07.22.2025,17.4,,
07.21.2025,17.42,,
07.18.2025,17.45,,
07.17.2025,17.44,,
07.16.2025,17.4,,
07.15.2025,17.35,,
07.14.2025,17.37,,
07.11.2025,17.37,,
07.10.2025,17.38,,
07.09.2025,17.32,,
07.08.2025,17.23,,
07.07.2025,17.3,,
07.03.2025,17.37,,
07.02.2025,17.32,,
07.01.2025,18.75,,
06.30.2025,18.75,,
06.27.2025,18.77,,
06.26.2025,18.75,,
06.25.2025,18.67,,
06.24.2025,18.67,,
06.23.2025,18.67,,
06.20.2025,18.67,,
06.18.2025,18.66,,
06.17.2025,18.69,,
06.16.2025,18.72,,
06.13.2025,18.75,,
06.12.2025,18.76,,
06.11.2025,18.8,,
06.10.2025,18.81,,
06.09.2025,18.83,,
06.06.2025,18.77,,
06.05.2025,18.74,,
06.04.2025,18.71,,
06.03.2025,18.6,,
06.02.2025,18.61,,
05.30.2025,18.62,,
05.29.2025,18.61,,
05.28.2025,18.6,,
05.27.2025,18.61,,
05.23.2025,18.58,,
05.22.2025,18.58,,
05.21.2025,18.55,,
05.20.2025,18.53,,
05.19.2025,18.6,,
05.16.2025,18.58,,
05.15.2025,18.6,,
05.14.2025,18.48,,
05.13.2025,18.48,,
05.12.2025,18.45,,
05.09.2025,18.42,,
05.08.2025,18.56,,
05.07.2025,18.74,,
05.06.2025,18.76,,
05.05.2025,18.64,,
05.02.2025,18.49,,
05.01.2025,18.4,,
04.30.2025,18.37,,
04.29.2025,17.45,,
04.28.2025,17.45,,
04.25.2025,17.45,,
04.24.2025,17.47,,
04.23.2025,17.42,,
04.22.2025,17.38,,
04.21.2025,17.37,,
04.17.2025,17.37,,
04.16.2025,17.28,,
04.15.2025,17.29,,
04.14.2025,17.25,,
04.11.2025,17.22,,
04.10.2025,17.24,,
04.09.2025,17.25,,
04.08.2025,17.15,,
04.07.2025,17.1,,
04.04.2025,17.01,,
04.03.2025,16.98,,
04.02.2025,17.13,,
04.01.2025,18.66,,
03.31.2025,18.66,,
03.28.2025,18.65,,
03.27.2025,18.66,,
03.26.2025,18.54,,
03.25.2025,18.52,,
03.24.2025,18.49,,
03.21.2025,18.53,,
03.20.2025,18.53,,
03.19.2025,18.48,,
03.18.2025,18.46,,
03.17.2025,18.45,,
03.14.2025,18.54,,
03.13.2025,18.59,,
03.12.2025,18.58,,
03.11.2025,18.49,,
03.10.2025,18.42,,
03.07.2025,18.36,,
03.06.2025,18.29,,
03.05.2025,18.25,,
03.04.2025,20.23,,
03.03.2025,20.22,,
02.28.2025,20.23,,
02.27.2025,20.21,,
02.26.2025,20.2,,
02.25.2025,20.2,,
02.24.2025,20.22,,
02.21.2025,20.22,,
02.20.2025,20.32,,
02.19.2025,20.32,,
02.18.2025,20.33,,
02.14.2025,20.33,,
02.13.2025,20.32,,
02.12.2025,20.22,,
02.11.2025,20.22,,
02.10.2025,20.22,,
02.07.2025,20.11,,
02.06.2025,20.37,,
02.05.2025,20.34,,
02.04.2025,20.33,,
02.03.2025,20.37,,
01.31.2025,20.38,,
01.30.2025,20.36,,
01.29.2025,20.3,,
01.28.2025,20.32,,
01.27.2025,20.3,,
01.24.2025,20.31,,
01.23.2025,20.28,,
01.22.2025,20.28,,
01.21.2025,20.27,,
01.17.2025,20.3,,
01.16.2025,20.3,,
01.15.2025,20.28,,
01.14.2025,20.27,,
01.13.2025,20.35,,
01.10.2025,20.19,,
01.09.2025,20.42,,
01.08.2025,20.38,,
01.07.2025,20.47,,
01.06.2025,20.64,,
01.03.2025,20.45,,
01.02.2025,20.36,,
12.31.2024,18.71,,
12.30.2024,18.71,,
12.27.2024,18.69,,
12.26.2024,18.69,,
12.24.2024,18.68,,
12.23.2024,18.66,,
12.20.2024,18.68,,
12.19.2024,18.66,,
12.18.2024,18.74,,
12.17.2024,18.74,,
12.16.2024,18.75,,
12.13.2024,18.76,,
12.12.2024,18.77,,
12.11.2024,18.82,,
12.10.2024,18.83,,
12.09.2024,18.88,,
12.06.2024,18.88,,
12.05.2024,18.79,,
12.04.2024,18.98,,
12.03.2024,19.85,,
12.02.2024,19.86,,
11.29.2024,19.86,,
11.27.2024,19.86,,
11.26.2024,19.87,,
11.25.2024,19.86,,
11.22.2024,19.87,,
11.21.2024,19.87,,
11.20.2024,19.92,,
11.19.2024,19.92,,
11.18.2024,19.92,,
11.15.2024,19.92,,
11.14.2024,19.9,,
11.13.2024,19.97,,
11.12.2024,20.02,,
11.11.2024,19.97,,
11.08.2024,20.03,,
11.07.2024,20.13,,
11.06.2024,19.94,,
11.05.2024,19.94,,
11.04.2024,20.08,,
11.01.2024,20.25,,
10.31.2024,20.12,,
10.30.2024,20.27,,
10.29.2024,22.73,,
10.28.2024,22.72,,
10.25.2024,22.73,,
10.24.2024,22.72,,
10.23.2024,22.75,,
10.22.2024,22.74,,
10.21.2024,22.75,,
10.18.2024,22.76,,
10.17.2024,22.58,,
10.16.2024,22.55,,
10.15.2024,22.54,,
10.14.2024,22.53,,
10.11.2024,22.53,,
10.10.2024,22.6,,
10.09.2024,22.57,,
10.08.2024,22.62,,
10.07.2024,22.51,,
10.04.2024,22.56,,
10.03.2024,22.89,,
10.02.2024,22.97,,
10.01.2024,23.32,,
09.30.2024,23.31,,
09.27.2024,23.3,,
09.26.2024,23.3,,
09.25.2024,23.34,,
09.24.2024,23.34,,
09.23.2024,23.36,,
09.20.2024,23.33,,
09.19.2024,23.32,,
09.18.2024,23.3,,
09.17.2024,23.27,,
09.16.2024,23.22,,
09.13.2024,23.21,,
09.12.2024,23.18,,
09.11.2024,23.16,,
09.10.2024,23.11,,
09.09.2024,22.97,,
09.06.2024,22.78,,
09.05.2024,22.61,,
09.04.2024,20.62,,
09.03.2024,20.62,,
08.30.2024,20.61,,
08.29.2024,20.61,,
08.28.2024,20.61,,
08.27.2024,20.64,,
08.26.2024,20.64,,
08.23.2024,20.66,,
08.22.2024,20.67,,
08.21.2024,20.65,,
08.20.2024,20.6,,
08.19.2024,20.62,,
08.16.2024,20.57,,
08.15.2024,20.58,,
08.14.2024,20.51,,
08.13.2024,20.58,,
08.12.2024,20.56,,
08.09.2024,20.48,,
08.08.2024,20.41,,
08.07.2024,20.45,,
08.06.2024,20.28,,
08.05.2024,20.16,,
08.02.2024,20.3,,
08.01.2024,20.4,,
07.31.2024,20.53,,
07.30.2024,19.83,,
07.29.2024,19.83,,
07.26.2024,19.83,,
07.25.2024,19.84,,
07.24.2024,19.86,,
07.23.2024,19.88,,
07.22.2024,19.88,,
07.19.2024,19.85,,
07.18.2024,19.84,,
07.17.2024,19.77,,
07.16.2024,19.76,,
07.15.2024,19.77,,
07.12.2024,19.76,,
07.11.2024,19.81,,
07.10.2024,19.88,,
07.09.2024,19.77,,
07.08.2024,19.8,,
07.05.2024,19.72,,
07.03.2024,19.54,,
07.02.2024,19.9,,
07.01.2024,19.89,,
06.28.2024,19.93,,
06.27.2024,19.9,,
06.26.2024,19.88,,
06.25.2024,19.87,,
06.24.2024,19.92,,
06.21.2024,19.91,,
06.20.2024,19.88,,
06.18.2024,19.85,,
06.17.2024,19.84,,
06.14.2024,19.87,,
06.13.2024,19.89,,
06.12.2024,19.77,,
06.11.2024,19.78,,
06.10.2024,19.7,,
06.07.2024,19.5,,
06.06.2024,19.5,,
06.05.2024,19.5,,
06.04.2024,18.63,,
06.03.2024,18.65,,
05.31.2024,18.6,,
05.30.2024,18.57,,
05.29.2024,18.54,,
05.28.2024,18.55,,
05.24.2024,18.57,,
05.23.2024,18.57,,
05.22.2024,18.64,,
05.21.2024,18.68,,
05.20.2024,18.71,,
05.17.2024,18.72,,
05.16.2024,18.73,,
05.15.2024,18.7,,
05.14.2024,18.72,,
05.13.2024,18.71,,
05.10.2024,18.63,,
05.09.2024,18.64,,
05.08.2024,18.6,,
05.07.2024,18.33,,
05.06.2024,18.43,,
05.03.2024,18.41,,
05.02.2024,18.32,,
05.01.2024,18.35,,
04.30.2024,15.52,,
04.29.2024,15.52,,
04.26.2024,15.52,,
04.25.2024,15.53,,
04.24.2024,15.57,,
04.23.2024,15.57,,
04.22.2024,15.58,,
04.19.2024,15.57,,
04.18.2024,15.57,,
04.17.2024,15.47,,
04.16.2024,15.47,,
04.15.2024,15.44,,
04.12.2024,15.41,,
04.11.2024,15.4,,
04.10.2024,15.56,,
04.09.2024,15.56,,
04.08.2024,15.67,,
04.05.2024,15.57,,
04.04.2024,15.48,,
04.03.2024,15.42,,
04.02.2024,16.33,,
04.01.2024,16.34,,
03.28.2024,16.34,,
03.27.2024,16.41,,
03.26.2024,16.41,,
03.25.2024,16.42,,
03.22.2024,16.41,,
03.21.2024,16.41,,
03.20.2024,16.43,,
03.19.2024,16.46,,
03.18.2024,16.44,,
03.15.2024,16.43,,
03.14.2024,16.47,,
03.13.2024,16.52,,
03.12.2024,16.44,,
03.11.2024,16.47,,
03.08.2024,16.57,,
03.07.2024,16.59,,
03.06.2024,16.53,,
03.05.2024,16.52,,
03.04.2024,16.7,,
03.01.2024,16.77,,
02.29.2024,16.96,,
02.28.2024,17.24,,
02.27.2024,16.11,,
02.26.2024,16.12,,
02.23.2024,16.14,,
02.22.2024,16.19,,
02.21.2024,16.18,,
02.20.2024,16.18,,
02.16.2024,16.17,,
02.15.2024,16.18,,
02.14.2024,16.16,,
02.13.2024,16.19,,
02.12.2024,16.21,,
02.09.2024,16.13,,
02.08.2024,16.12,,
02.07.2024,16.23,,
02.06.2024,16.26,,
02.05.2024,16.35,,
02.02.2024,16.27,,
02.01.2024,16.32,,
01.31.2024,16.1,,
01.30.2024,15.2,,
01.29.2024,15.22,,
01.26.2024,15.2,,
01.25.2024,15.2,,
01.24.2024,15.18,,
01.23.2024,15.19,,
01.22.2024,15.21,,
01.19.2024,15.18,,
01.18.2024,15.14,,
01.17.2024,15.16,,
01.16.2024,15.16,,
01.12.2024,15.15,,
01.11.2024,15.19,,
01.10.2024,15.2,,
01.09.2024,15.25,,
01.08.2024,15.14,,
01.05.2024,15.12,,
01.04.2024,15.26,,
01.03.2024,16.07,,
01.02.2024,16.08,,
12.29.2023,16.1,,
12.28.2023,16.11,,
12.27.2023,16.12,,
12.26.2023,16.1,,
12.22.2023,16.09,,
12.21.2023,16.08,,
12.20.2023,16.13,,
12.19.2023,16.14,,
12.18.2023,16.13,,
12.15.2023,16.15,,
12.14.2023,16.2,,
12.13.2023,16.21,,
12.12.2023,16.18,,
12.11.2023,16.23,,
12.08.2023,16.2,,
12.07.2023,16.27,,
12.06.2023,16.33,,
12.05.2023,16.32,,
12.04.2023,16.16,,
12.01.2023,16.12,,
11.30.2023,16.1,,
11.29.2023,16.11,,
