standardized_type,series_name,layer,n_obs
butter,Europe,benchmark_eu,19831
butter,Prozorro,institutional_procurement,2562
butter,Novus,retail_observed,99
butter,Silpo,retail_observed,7781
butter,Producer_UA,upstream,1793
cottage_cheese,Prozorro,institutional_procurement,798
cottage_cheese,Novus,retail_observed,120
cottage_cheese,Silpo,retail_observed,9815
cream,Europe,benchmark_eu,7729
cream,Prozorro,institutional_procurement,1434
cream,Novus,retail_observed,77
cream,Silpo,retail_observed,5382
cream,Producer_UA,upstream,1793
hard_cheese,Europe,benchmark_eu,30197
hard_cheese,Consumer_UA,downstream_consumer,1821
hard_cheese,Prozorro,institutional_procurement,845
hard_cheese,Novus,retail_observed,643
hard_cheese,Silpo,retail_observed,5881
hard_cheese,Producer_UA,upstream,1793
milk,Europe,benchmark_eu,40443
milk,CME_III,benchmark_us_anchor,1023
milk,Consumer_UA,downstream_consumer,1821
milk,Prozorro,institutional_procurement,1589
milk,Novus,retail_observed,130
milk,Silpo,retail_observed,15058
milk,Producer_UA,upstream,3586
other,Europe,benchmark_eu,13099
other,Prozorro,institutional_procurement,3083
other,Novus,retail_observed,141
other,Silpo,retail_observed,10763
sour_cream,Consumer_UA,downstream_consumer,1821
sour_cream,Prozorro,institutional_procurement,616
sour_cream,Novus,retail_observed,72
sour_cream,Silpo,retail_observed,6418
sour_cream,Producer_UA,upstream,1793
yogurt_dessert,Novus,retail_observed,248
yogurt_dessert,Silpo,retail_observed,25667
