standardized_type,y_series_source,x_series_sources,frequency,sample_period,lags_selected,short_run_coef,long_run_coef,coint_or_bounds_p,diagnostics_flags,eligible_for_ecm_form,interpretation_note
butter,ProducerUA,EU,weekly,2021-12-28..2025-12-23,"p=2, q=2",0.638088813491537,0.8477031455859193,0.7705229151133584,LB=8.79e-15; BP=0.462; White=0.515,no,ARDL captures short- and long-run transmission under I(0)/I(1)-mix assumptions.
butter,ProZorro,EU,weekly,2025-04-08..2026-01-06,"p=1, q=0",-0.11265418947104955,-0.3318711999239127,0.16360389722840452,LB=0.633; BP=0.0462; White=0.255,no,ARDL captures short- and long-run transmission under I(0)/I(1)-mix assumptions.
cream,ProducerUA,EU,weekly,2021-12-28..2025-12-23,"p=2, q=2",0.04922198585267523,0.1895293235950405,0.5456672984077288,LB=1.37e-21; BP=0.59; White=0.0654,no,ARDL captures short- and long-run transmission under I(0)/I(1)-mix assumptions.
cream,ProZorro,EU,weekly,2025-04-15..2026-01-06,"p=2, q=0",0.2894838020743842,0.2798247240248903,7.914017296706472e-06,LB=0.978; BP=0.322; White=0.753,yes,ARDL captures short- and long-run transmission under I(0)/I(1)-mix assumptions.
hard_cheese,ProducerUA,EU,weekly,2021-12-28..2025-12-23,"p=2, q=2",0.3551626072614864,0.6208905309984175,0.3497660842704009,LB=2.94e-23; BP=0.0859; White=0.119,no,ARDL captures short- and long-run transmission under I(0)/I(1)-mix assumptions.
hard_cheese,ConsumerUA,EU,weekly,2021-12-28..2026-01-13,"p=2, q=2",0.45279400744756204,0.8390572807646949,0.5031244319467403,LB=5.79e-21; BP=0.157; White=0.0643,no,ARDL captures short- and long-run transmission under I(0)/I(1)-mix assumptions.
hard_cheese,ProZorro,EU,weekly,2025-04-08..2026-01-06,"p=1, q=0",-0.2865029854639456,-0.4489016720895597,0.0012978235291960932,LB=0.705; BP=0.318; White=0.49,yes,ARDL captures short- and long-run transmission under I(0)/I(1)-mix assumptions.
milk,ProducerUA,EU,weekly,2021-12-28..2025-12-23,"p=3, q=2",0.4145372929609987,0.7957185748702496,0.8924029758886471,LB=4.73e-08; BP=0.0925; White=0.164,no,ARDL captures short- and long-run transmission under I(0)/I(1)-mix assumptions.
milk,ConsumerUA,EU,weekly,2021-12-28..2026-01-13,"p=3, q=2",0.37102933341680666,0.7473279445716343,0.9515547171935748,LB=8.41e-08; BP=0.149; White=0.261,no,ARDL captures short- and long-run transmission under I(0)/I(1)-mix assumptions.
milk,ProZorro,EU,weekly,2025-04-08..2026-01-06,"p=2, q=0",0.7545075848393812,0.8868136250061809,4.278777154383951e-05,LB=0.92; BP=0.381; White=0.577,yes,ARDL captures short- and long-run transmission under I(0)/I(1)-mix assumptions.
other,ProZorro,EU,weekly,2025-04-08..2026-01-06,"p=1, q=0",-0.09704672500046962,10.87221183583123,0.41206599355942786,LB=0.12; BP=0.572; White=0.292,no,ARDL captures short- and long-run transmission under I(0)/I(1)-mix assumptions.
