product,standardized_type,retail_source,coef_retail_from_prozorro,p_retail_from_prozorro,coef_prozorro_from_producer,p_prozorro_from_producer,coef_retail_from_producer,p_retail_from_producer,coef_retail_from_eu,p_retail_from_eu,coef_retail_from_cme,p_retail_from_cme,n_obs_chain_min
Інше/невідомо,milk,Silpo,,,,,,,-17.547672070419182,0.06378729275388834,,,0
Інше/невідомо,other,Silpo,-0.9524459242101118,0.407218004869222,,,,,25.793612863986404,0.16422717937275855,,,44
Інше/невідомо,yogurt_dessert,Silpo,,,,,,,,,,,0
Вершки,cream,Silpo,-0.066008997038251,0.2138199166254625,-4.318379186436825,0.05582272505667972,0.8188306133643063,0.17476105377434648,-2.249699177388647,0.3578584090685091,,,33
Йогурт,milk,Silpo,,,,,,,,,,,0
Йогурт,yogurt_dessert,Silpo,,,,,,,,,,,0
Кефір,milk,Silpo,,,,,-1.059586268062841,0.07288102092314853,,,,,44
Масло вершкове,butter,Silpo,0.06322366237612885,0.5464568172367288,0.18320991691171012,0.773936697623142,0.16528442934368653,0.7604182651730929,0.3826893100962301,0.8288444319187014,,,31
Молоко питне,milk,Silpo,0.009051473693612502,0.8195064206509979,0.9075150908253651,0.3068098028987992,-0.9638644193429144,0.006904880016863757,0.16920945014204225,0.9347513048124483,,,27
Сир кисломолочний,cottage_cheese,Silpo,-0.015489688098457702,0.6082864816587372,,,,,,,,,25
Сир твердий,hard_cheese,Silpo,-0.06979260057353949,0.4772794801799839,-0.630960400674694,0.8034762234672196,0.49768037149842836,0.6382270827431803,4.6104931033270535,0.46659369623981295,,,29
Сметана,sour_cream,Silpo,0.025475693369195362,0.5603683917152551,0.9934006157198525,0.40563350844784263,0.1120959239990732,0.8518605705137059,,,,,28
