dataset,product,left,right,metric,pearson,spearman,n_obs
Silpo,Інше/невідомо,Alpro,Bakoma,log_price,-0.16456279039955732,-0.17281263635198005,48
Silpo,Інше/невідомо,Alpro,Bob,log_price,0.06086765264005407,-0.060370319117245504,48
Silpo,Інше/невідомо,Alpro,Danone,log_price,-0.28696061924622107,-0.23624314333565363,48
Silpo,Інше/невідомо,Alpro,Farm,log_price,0.07850297004096711,0.20470331121442484,48
Silpo,Інше/невідомо,Alpro,Latteria,log_price,0.047420397662533795,0.10045441228476493,48
Silpo,Інше/невідомо,Alpro,Muller,log_price,0.2833761963193868,0.10490362177615413,48
Silpo,Інше/невідомо,Alpro,Organick,log_price,-0.0054725171143102805,-0.09577992627639685,48
Silpo,Інше/невідомо,Alpro,Premialle,log_price,-0.12266946250632452,-0.28772608750920514,48
Silpo,Інше/невідомо,Alpro,Агрокомплекс Фенікс,log_price,-0.19347999194302512,-0.17754168839253448,48
Silpo,Інше/невідомо,Alpro,Айран,log_price,0.17950897262697324,0.19245908453607846,48
Silpo,Інше/невідомо,Alpro,Бариста,log_price,0.3059546783775588,0.2006061694364087,48
Silpo,Інше/невідомо,Alpro,Бісквіт,log_price,0.05423695448516742,0.08370450854282148,48
Silpo,Інше/невідомо,Alpro,Волошкове поле,log_price,,,48
Silpo,Інше/невідомо,Alpro,Волошковое поле,log_price,0.060603282932287755,0.11117198952492112,48
Silpo,Інше/невідомо,Alpro,Від доброї курки,log_price,0.004509428896607168,0.06067111094146662,48
Silpo,Інше/невідомо,Alpro,ДанКолекція,log_price,-0.18495709882831315,-0.13678120601267443,48
Silpo,Інше/невідомо,Alpro,Даніссімо,log_price,-0.1401539475285045,-0.04790992757251892,48
Silpo,Інше/невідомо,Alpro,Деліссімо,log_price,-0.05051557387120975,-0.18892720751802383,48
Silpo,Інше/невідомо,Alpro,Дольче,log_price,0.023840596200745648,0.05894543658392621,48
Silpo,Інше/невідомо,Alpro,Закваска,log_price,0.37861299826999373,0.36986153465535576,48
