product,left,right,metric,pearson,spearman,n_obs
Інше/невідомо,-,Івано-Франківська,log_price,0.7779713136641335,0.6939309722185344,24
Інше/невідомо,-,Волинська,log_price,0.8310282544486187,0.7883956879795414,33
Інше/невідомо,-,Вінницька,log_price,0.8087289571118774,0.7962819531965103,55
Інше/невідомо,-,Дніпропетровська,log_price,0.5762438554510982,0.629530516613642,34
Інше/невідомо,-,Житомирська,log_price,0.8100143462346192,0.8013333450410306,56
Інше/невідомо,-,Закарпатська,log_price,0.4339955407109755,0.5090110381848629,19
Інше/невідомо,-,Запорізька,log_price,0.5670047509961736,0.493023321651791,18
Інше/невідомо,-,Київська,log_price,0.8324334542124352,0.7991716153898706,67
Інше/невідомо,-,Кіровоградська,log_price,0.6598228578162026,0.6608281386638821,35
Інше/невідомо,-,Львівська,log_price,0.6799471836380532,0.6772094877123666,36
Інше/невідомо,-,Миколаївська,log_price,0.7463209548172888,0.7354988436495201,31
Інше/невідомо,-,Одеська,log_price,0.7350786282098877,0.760241266080184,48
Інше/невідомо,-,Полтавська,log_price,0.8649953120394859,0.8602140784268212,40
Інше/невідомо,-,Рівненська,log_price,0.7642148918328657,0.7938884737430818,27
Інше/невідомо,-,Сумська,log_price,0.7820621446371534,0.740950344765157,22
Інше/невідомо,-,Тернопільська,log_price,0.7867543050197204,0.7323166853906917,37
Інше/невідомо,-,Харківська,log_price,0.6173780012864482,0.685968819599109,30
Інше/невідомо,-,Хмельницька,log_price,0.7274405178861035,0.7565067283406469,29
Інше/невідомо,-,Черкаська,log_price,0.6122182773945952,0.6436707332911001,37
Інше/невідомо,-,Чернівецька,log_price,0.55314955431518,0.6057780495261388,27
Інше/невідомо,-,Чернігівська,log_price,0.7259115211973126,0.7680338016500403,35
Інше/невідомо,Івано-Франківська,Волинська,log_price,0.7400340701184779,0.7592125569154857,26
Інше/невідомо,Івано-Франківська,Вінницька,log_price,0.6945899895466122,0.6857639784944887,43
Інше/невідомо,Івано-Франківська,Дніпропетровська,log_price,0.411598945993631,0.31921725999159684,34
Інше/невідомо,Івано-Франківська,Житомирська,log_price,0.844205718501263,0.7751807977838617,47
Інше/невідомо,Івано-Франківська,Закарпатська,log_price,0.3774760037461433,0.3841810362163866,20
Інше/невідомо,Івано-Франківська,Запорізька,log_price,0.41778648141094626,0.40440203319233614,13
Інше/невідомо,Івано-Франківська,Київська,log_price,0.657823325994546,0.6574496913334202,55
Інше/невідомо,Івано-Франківська,Кіровоградська,log_price,0.7514451861706524,0.4399153016680627,31
Інше/невідомо,Івано-Франківська,Львівська,log_price,0.7365308355335934,0.7320670217965306,36
Інше/невідомо,Івано-Франківська,Миколаївська,log_price,0.5190710912363462,0.47812841175778703,24
Інше/невідомо,Івано-Франківська,Одеська,log_price,0.589383188157427,0.5502723952024432,41
Інше/невідомо,Івано-Франківська,Полтавська,log_price,0.5961787736258174,0.3681657421529687,31
Інше/невідомо,Івано-Франківська,Рівненська,log_price,0.8266086637895332,0.7218256317341617,20
Інше/невідомо,Івано-Франківська,Сумська,log_price,0.6326274937088007,0.4740968275126771,24
Інше/невідомо,Івано-Франківська,Тернопільська,log_price,0.6833066057346613,0.6038647925344625,19
Інше/невідомо,Івано-Франківська,Харківська,log_price,0.5156166548268429,0.4893821538014227,22
Інше/невідомо,Івано-Франківська,Хмельницька,log_price,0.5627742013134813,0.6772405433994928,31
Інше/невідомо,Івано-Франківська,Черкаська,log_price,0.3595666652944916,0.4387664652411766,30
Інше/невідомо,Івано-Франківська,Чернівецька,log_price,-0.06246592313736638,0.13090430273890585,25
Інше/невідомо,Івано-Франківська,Чернігівська,log_price,0.5456685569583453,0.5990605619971094,23
Інше/невідомо,Волинська,Вінницька,log_price,0.7895817363414962,0.7718496146876869,51
