source,product,standardized_type,n_obs,var_trend,var_seasonal,var_resid,seasonal_strength
CME,Молоко питне,milk,1023,0.01813256162305753,1.3696895894822528e-05,0.000302385190902191,0.000750381293947995
ConsumerUA,Молоко питне,milk,1821,0.05082708394855027,4.7772322855711054e-05,0.0008804550636545256,0.000911622389869363
ConsumerUA,Сир твердий,hard_cheese,1821,0.06246182267186745,1.588233859753418e-05,0.0007917875516346176,0.00024798904319668326
ConsumerUA,Сметана,sour_cream,1821,0.06979254233120392,2.424267731687577e-05,0.0008812011741918114,0.00034033498667080845
EU,Інше/невідомо,milk,1056,0.00806445165463953,1.159038812105684e-05,0.00011688856630132853,0.001421807812900792
EU,Інше/невідомо,other,1056,0.028411800400451524,1.363154350927252e-05,0.00016694464895511928,0.00047895292368989843
EU,Вершки,cream,1056,0.035440313483320225,1.564491032786221e-05,0.00019525096597063438,0.00044083863823010845
EU,Масло вершкове,butter,1056,0.05007185698814855,1.7153087105487225e-05,0.00016442085350436037,0.0003429566028597069
EU,Молоко питне,milk,1056,0.041164677353559075,1.0263983734026259e-05,0.00010673107401726843,0.0002484903204859443
EU,Сир твердий,hard_cheese,1056,0.024663958035090486,1.4019045482782888e-05,0.00011590030606499493,0.0005640609064335318
Novus,Сир твердий,hard_cheese,37,0.01820886698580574,0.07346710481510049,0.07644916694668599,0.478187783131569
ProZorro,Інше/невідомо,other,232,0.014453029120117701,0.0005453592419822099,0.0013225961080344268,0.03411105573275054
ProZorro,Вершки,cream,209,0.0037437370343975343,0.017378612614771183,0.05730873971784335,0.26173737984735873
ProZorro,Масло вершкове,butter,230,0.006064463612998627,0.004152378191282226,0.013586147118998127,0.1946076224165887
ProZorro,Молоко питне,milk,211,0.0017855952569120546,0.004102823192701276,0.043549405529153686,0.09186615206260783
ProZorro,Сир кисломолочний,cottage_cheese,190,0.012108051846488268,0.012087351588816363,0.04139400268321678,0.1811938464150304
ProZorro,Сир твердий,hard_cheese,199,0.004911402373317763,0.004101490590481175,0.014090939723913233,0.18012026363774047
ProZorro,Сметана,sour_cream,188,0.004763630870920487,0.015118890000815809,0.03554590508699005,0.36644070396767503
ProducerUA,Вершки,cream,1793,0.028043690705851786,3.3477751684091915e-06,0.0004676840316530178,0.00011664488219292481
ProducerUA,Кефір,milk,1793,0.0529380562036402,4.439101480337001e-05,0.0008790285581210395,0.0008187065934145023
ProducerUA,Масло вершкове,butter,1793,0.0943873698974695,1.4096265830403553e-05,0.0006400070226194157,0.00014719942734449363
ProducerUA,Молоко питне,milk,1793,0.04855665049420276,4.238700162664645e-05,0.0007966015507488781,0.0008454206295321404
ProducerUA,Сир твердий,hard_cheese,1793,0.04249621573295978,1.4468515068429998e-05,0.0007448110454729825,0.00032890269628089503
ProducerUA,Сметана,sour_cream,1793,0.05413290701478623,1.3642128161575791e-05,0.0007549795279768394,0.0002464201329687289
Silpo,Інше/невідомо,milk,48,0.00929142051586112,0.00431111164811246,0.010383843820431596,0.18639409985028646
Silpo,Інше/невідомо,other,54,0.23494155138245823,0.06609050016778388,0.18255417566493046,0.4215261157584178
Silpo,Інше/невідомо,yogurt_dessert,48,0.021458087672313678,0.008444836191360404,0.014478120067346896,0.19562646805828124
Silpo,Вершки,cream,48,0.00040543878119422404,0.0018226791860927775,0.0019380768189458666,0.45727339107638093
Silpo,Йогурт,milk,48,0.0022423389715777423,0.010486679890809536,0.011097229716586809,0.5973444157089287
Silpo,Йогурт,yogurt_dessert,48,0.0002782489826117758,0.00033631672848428865,0.0008500615253850017,0.25484826989761894
Silpo,Кефір,milk,48,0.001407865076278273,0.0026970309361754705,0.0032455601520279347,0.3074980818162936
Silpo,Масло вершкове,butter,48,0.0005019211612995476,0.0008034775410301918,0.0012819790977364267,0.3506011883424855
Silpo,Молоко питне,milk,48,0.0012052091234450687,0.0015338133392075268,0.002272271051427247,0.40376253226846714
Silpo,Сир кисломолочний,cottage_cheese,48,0.0013121188602992762,0.002080105511427228,0.002583825970704457,0.46151128766354976
Silpo,Сир твердий,hard_cheese,48,0.00063404350292505,0.0015727301645516699,0.006845677241962227,0.24204328020601026
Silpo,Сметана,sour_cream,48,7.428113053319867e-05,0.0011223039118221278,0.001699171469671781,0.4834248005666149
