product,standardized_type,pair_left,pair_right,lag_days,corr,is_best_lag
Масло вершкове,butter,EU,ProZorro,1,-0.3729173624173695,0
Масло вершкове,butter,EU,ProZorro,2,-0.3423297157906181,0
Масло вершкове,butter,EU,ProZorro,3,-0.3941635909540375,0
Масло вершкове,butter,EU,ProZorro,4,-0.3988057077403313,0
Масло вершкове,butter,EU,ProZorro,5,-0.3696090427459337,0
Масло вершкове,butter,EU,ProZorro,6,-0.40016378865168745,0
Масло вершкове,butter,EU,ProZorro,7,-0.41206067324301615,0
Масло вершкове,butter,EU,ProZorro,8,-0.37230720428535363,0
Масло вершкове,butter,EU,ProZorro,9,-0.3356433431716173,0
Масло вершкове,butter,EU,ProZorro,10,-0.377091212004781,0
Масло вершкове,butter,EU,ProZorro,11,-0.38867746231163436,0
Масло вершкове,butter,EU,ProZorro,12,-0.37025894809492854,0
Масло вершкове,butter,EU,ProZorro,13,-0.4094527648206528,0
Масло вершкове,butter,EU,ProZorro,14,-0.42871946067515965,0
Масло вершкове,butter,EU,ProZorro,15,-0.3819056975057577,0
Масло вершкове,butter,EU,ProZorro,16,-0.35285262962624847,0
Масло вершкове,butter,EU,ProZorro,17,-0.38880151043363814,0
Масло вершкове,butter,EU,ProZorro,18,-0.39975367095645137,0
Масло вершкове,butter,EU,ProZorro,19,-0.38052033882935765,0
Масло вершкове,butter,EU,ProZorro,20,-0.39553939698537705,0
Масло вершкове,butter,EU,ProZorro,21,-0.3880432696219007,0
Масло вершкове,butter,EU,ProZorro,22,-0.3514969555750201,0
Масло вершкове,butter,EU,ProZorro,23,-0.3553840287728456,0
Масло вершкове,butter,EU,ProZorro,24,-0.41745794185668716,0
Масло вершкове,butter,EU,ProZorro,25,-0.4286221238171825,0
Масло вершкове,butter,EU,ProZorro,26,-0.40784969864334863,0
Масло вершкове,butter,EU,ProZorro,27,-0.4354586790071064,0
Масло вершкове,butter,EU,ProZorro,28,-0.44070593855241375,0
Масло вершкове,butter,EU,ProZorro,29,-0.38687150964494305,0
Масло вершкове,butter,EU,ProZorro,30,-0.3749741977849505,0
Масло вершкове,butter,EU,ProducerUA,1,0.7908068169800365,0
Масло вершкове,butter,EU,ProducerUA,2,0.7892594665957662,0
Масло вершкове,butter,EU,ProducerUA,3,0.788978186261744,0
Масло вершкове,butter,EU,ProducerUA,4,0.7894938140618464,0
Масло вершкове,butter,EU,ProducerUA,5,0.7897030384949901,0
Масло вершкове,butter,EU,ProducerUA,6,0.7883553840827149,0
Масло вершкове,butter,EU,ProducerUA,7,0.7853552105347797,0
Масло вершкове,butter,EU,ProducerUA,8,0.782079158975676,0
Масло вершкове,butter,EU,ProducerUA,9,0.7797715965521512,0
Масло вершкове,butter,EU,ProducerUA,10,0.7788697680289732,0
Масло вершкове,butter,EU,ProducerUA,11,0.7788936883390163,0
Масло вершкове,butter,EU,ProducerUA,12,0.7786319315487004,0
Масло вершкове,butter,EU,ProducerUA,13,0.7768883832924468,0
Масло вершкове,butter,EU,ProducerUA,14,0.7737783017072696,0
Масло вершкове,butter,EU,ProducerUA,15,0.770492507190573,0
Масло вершкове,butter,EU,ProducerUA,16,0.768353266534712,0
Масло вершкове,butter,EU,ProducerUA,17,0.7676983010471372,0
Масло вершкове,butter,EU,ProducerUA,18,0.7680233844581645,0
Масло вершкове,butter,EU,ProducerUA,19,0.7681004126968253,0
Масло вершкове,butter,EU,ProducerUA,20,0.7667888133302548,0
Масло вершкове,butter,EU,ProducerUA,21,0.7641138517919553,0
Масло вершкове,butter,EU,ProducerUA,22,0.7612142475890283,0
Масло вершкове,butter,EU,ProducerUA,23,0.7592599075303775,0
Масло вершкове,butter,EU,ProducerUA,24,0.7586819550629305,0
Масло вершкове,butter,EU,ProducerUA,25,0.7590137094792077,0
Масло вершкове,butter,EU,ProducerUA,26,0.7590958994356306,0
Масло вершкове,butter,EU,ProducerUA,27,0.7578285451239393,0
Масло вершкове,butter,EU,ProducerUA,28,0.7551979553114152,0
Масло вершкове,butter,EU,ProducerUA,29,0.7523214359727415,0
Масло вершкове,butter,EU,ProducerUA,30,0.7503941498000294,0
Масло вершкове,butter,EU,Silpo,1,-0.15885061318690022,0
Масло вершкове,butter,EU,Silpo,2,-0.1930240092021272,0
Масло вершкове,butter,EU,Silpo,3,-0.17524199836211393,0
Масло вершкове,butter,EU,Silpo,4,-0.13302381952615616,0
Масло вершкове,butter,EU,Silpo,5,-0.05057847501296684,0
Масло вершкове,butter,EU,Silpo,6,-0.14013974507704802,0
Масло вершкове,butter,EU,Silpo,7,-0.09762200874519522,0
