date,EU,Novus,Silpo,product,standardized_type,ProZorro,ProducerUA,CME,ConsumerUA
2021-12-30,108.86868683446154,,,Інше/невідомо,milk,,,,
2021-12-31,109.47310067712307,,,Інше/невідомо,milk,,,,
2022-01-03,109.59029959120001,,,Інше/невідомо,milk,,,,
2022-01-04,110.58367406434066,,,Інше/невідомо,milk,,,,
2022-01-05,111.12435387136483,,,Інше/невідомо,milk,,,,
2022-01-06,113.14545742384705,,,Інше/невідомо,milk,,,,
2022-01-07,113.97672742074582,,,Інше/невідомо,milk,,,,
2022-01-10,114.1263676146353,,,Інше/невідомо,milk,,,,
2022-01-11,115.29549568094623,,,Інше/невідомо,milk,,,,
2022-01-12,116.7419322272605,,,Інше/невідомо,milk,,,,
2022-01-13,117.5147461572441,,,Інше/невідомо,milk,,,,
2022-01-14,118.03400300143782,,,Інше/невідомо,milk,,,,
2022-01-17,120.27322653837507,,,Інше/невідомо,milk,,,,
2022-01-18,120.07506811978683,,,Інше/невідомо,milk,,,,
2022-01-19,120.29014825725419,,,Інше/невідомо,milk,,,,
2022-01-20,119.12922458947368,,,Інше/невідомо,milk,,,,
2022-01-21,119.19502428343797,,,Інше/невідомо,milk,,,,
2022-01-24,121.4136080202381,,,Інше/невідомо,milk,,,,
2022-01-25,121.39378057267857,,,Інше/невідомо,milk,,,,
2022-01-26,121.61174076694736,,,Інше/невідомо,milk,,,,
2022-01-27,124.44676145923749,,,Інше/невідомо,milk,,,,
2022-01-28,124.0176394512143,,,Інше/невідомо,milk,,,,
2022-01-31,124.4681559196137,,,Інше/невідомо,milk,,,,
2022-02-01,125.59909312564284,,,Інше/невідомо,milk,,,,
2022-02-02,125.75098536635122,,,Інше/невідомо,milk,,,,
2022-02-03,127.16497814841667,,,Інше/невідомо,milk,,,,
2022-02-04,127.27261261070358,,,Інше/невідомо,milk,,,,
2022-02-07,127.45292785348212,,,Інше/невідомо,milk,,,,
2022-02-08,127.87146864548215,,,Інше/невідомо,milk,,,,
2022-02-09,128.0501011013405,,,Інше/невідомо,milk,,,,
2022-02-10,128.599832744375,,,Інше/невідомо,milk,,,,
2022-02-11,128.29790901378095,,,Інше/невідомо,milk,,,,
2022-02-14,129.63372702079167,,,Інше/невідомо,milk,,,,
2022-02-15,128.95919361887618,,,Інше/невідомо,milk,,,,
2022-02-16,128.7001419109643,,,Інше/невідомо,milk,,,,
2022-02-17,129.40673095128335,,,Інше/невідомо,milk,,,,
2022-02-18,129.7875296405038,,,Інше/невідомо,milk,,,,
2022-02-21,131.8633273912314,,,Інше/невідомо,milk,,,,
2022-02-22,134.16939661563214,,,Інше/невідомо,milk,,,,
2022-02-23,137.6929369400495,,,Інше/невідомо,milk,,,,
2022-02-24,136.59236509338,,,Інше/невідомо,milk,,,,
2022-02-25,138.80870972123142,,,Інше/невідомо,milk,,,,
2022-02-28,138.4277311383257,,,Інше/невідомо,milk,,,,
2022-03-01,137.33743075941953,,,Інше/невідомо,milk,,,,
2022-03-02,137.34482724802095,,,Інше/невідомо,milk,,,,
2022-03-03,136.72268423600002,,,Інше/невідомо,milk,,,,
2022-03-04,135.4234179964624,,,Інше/невідомо,milk,,,,
2022-03-07,135.76454297207428,,,Інше/невідомо,milk,,,,
2022-03-08,136.76941271720239,,,Інше/невідомо,milk,,,,
2022-03-09,139.395680853,,,Інше/невідомо,milk,,,,
2022-03-10,134.94800133219667,,,Інше/невідомо,milk,,,,
2022-03-11,134.48030441794668,,,Інше/невідомо,milk,,,,
2022-03-14,136.17923471405047,,,Інше/невідомо,milk,,,,
2022-03-15,138.16277882413286,,,Інше/невідомо,milk,,,,
2022-03-16,138.25347486154288,,,Інше/невідомо,milk,,,,
2022-03-17,140.810824672985,,,Інше/невідомо,milk,,,,
2022-03-18,139.29555682451002,,,Інше/невідомо,milk,,,,
2022-03-21,140.0654675322857,,,Інше/невідомо,milk,,,,
2022-03-22,140.6474126140757,,,Інше/невідомо,milk,,,,
2022-03-23,140.744569375215,,,Інше/невідомо,milk,,,,
2022-03-24,141.03248112152,,,Інше/невідомо,milk,,,,
2022-03-25,142.41858764824286,,,Інше/невідомо,milk,,,,
2022-03-28,143.46427381383427,,,Інше/невідомо,milk,,,,
2022-03-29,143.99686150812283,,,Інше/невідомо,milk,,,,
2022-03-30,146.5387317858229,,,Інше/невідомо,milk,,,,
2022-03-31,145.69485451965,,,Інше/невідомо,milk,,,,
2022-04-01,144.50882336142857,,,Інше/невідомо,milk,,,,
2022-04-04,144.03548409238928,,,Інше/невідомо,milk,,,,
2022-04-05,143.3594392194,,,Інше/невідомо,milk,,,,
2022-04-06,143.44392669589286,,,Інше/невідомо,milk,,,,
2022-04-07,143.43566605409998,,,Інше/невідомо,milk,,,,
2022-04-08,143.46054932045263,,,Інше/невідомо,milk,,,,
2022-04-11,144.9359179194375,,,Інше/невідомо,milk,,,,
2022-04-12,144.2282693126795,,,Інше/невідомо,milk,,,,
2022-04-13,143.8367660452997,,,Інше/невідомо,milk,,,,
2022-04-14,144.35829646667372,,,Інше/невідомо,milk,,,,
2022-04-15,142.68140066375514,,,Інше/невідомо,milk,,,,
2022-04-18,143.06265857459076,,,Інше/невідомо,milk,,,,
2022-04-19,142.97826790974398,,,Інше/невідомо,milk,,,,
2022-04-20,147.35558813314802,,,Інше/невідомо,milk,,,,
2022-04-21,142.09700380511998,,,Інше/невідомо,milk,,,,
2022-04-22,146.4040922608811,,,Інше/невідомо,milk,,,,
2022-04-25,145.30752201933333,,,Інше/невідомо,milk,,,,
2022-04-26,144.28160669090113,,,Інше/невідомо,milk,,,,
2022-04-27,143.2013630355874,,,Інше/невідомо,milk,,,,
2022-04-28,142.4327035543978,,,Інше/невідомо,milk,,,,
2022-04-29,143.0874334975111,,,Інше/невідомо,milk,,,,
2022-05-02,138.02499881693885,,,Інше/невідомо,milk,,,,
2022-05-03,138.33015829681906,,,Інше/невідомо,milk,,,,
2022-05-04,139.7275965508762,,,Інше/невідомо,milk,,,,
2022-05-05,143.50187669646,,,Інше/невідомо,milk,,,,
2022-05-06,143.58300160994523,,,Інше/невідомо,milk,,,,
2022-05-09,143.4311770381204,,,Інше/невідомо,milk,,,,
2022-05-10,142.9821941674724,,,Інше/невідомо,milk,,,,
2022-05-11,142.69645508366457,,,Інше/невідомо,milk,,,,
2022-05-12,137.5134409719896,,,Інше/невідомо,milk,,,,
2022-05-13,137.98979628668002,,,Інше/невідомо,milk,,,,
2022-05-16,138.43983831800224,,,Інше/невідомо,milk,,,,
2022-05-17,139.85217062314592,,,Інше/невідомо,milk,,,,
2022-05-18,138.83964123381094,,,Інше/невідомо,milk,,,,
2022-05-19,140.69778721344446,,,Інше/невідомо,milk,,,,
2022-05-20,140.1826114631682,,,Інше/невідомо,milk,,,,
2022-05-23,141.42100405405603,,,Інше/невідомо,milk,,,,
2022-05-24,141.85750429256746,,,Інше/невідомо,milk,,,,
2022-05-25,140.7951667197524,,,Інше/невідомо,milk,,,,
2022-05-26,141.2168453582263,,,Інше/невідомо,milk,,,,
2022-05-27,141.73707052234516,,,Інше/невідомо,milk,,,,
2022-05-30,143.2687627628587,,,Інше/невідомо,milk,,,,
2022-05-31,142.9728824623681,,,Інше/невідомо,milk,,,,
2022-06-01,142.12743426596737,,,Інше/невідомо,milk,,,,
2022-06-02,142.31424279648593,,,Інше/невідомо,milk,,,,
2022-06-03,142.13348193552753,,,Інше/невідомо,milk,,,,
2022-06-06,143.54791504495398,,,Інше/невідомо,milk,,,,
2022-06-07,143.9979226081114,,,Інше/невідомо,milk,,,,
2022-06-08,144.36877716825376,,,Інше/невідомо,milk,,,,
2022-06-09,143.22243639225502,,,Інше/невідомо,milk,,,,
2022-06-10,141.7904045963818,,,Інше/невідомо,milk,,,,
2022-06-13,138.62337293271077,,,Інше/невідомо,milk,,,,
2022-06-14,140.03717343332795,,,Інше/невідомо,milk,,,,
2022-06-15,138.92763102056992,,,Інше/невідомо,milk,,,,
2022-06-16,141.65678994208704,,,Інше/невідомо,milk,,,,
2022-06-17,140.95264784903756,,,Інше/невідомо,milk,,,,
2022-06-20,139.68917348011323,,,Інше/невідомо,milk,,,,
2022-06-21,139.89323539959366,,,Інше/невідомо,milk,,,,
2022-06-22,140.41624818835504,,,Інше/невідомо,milk,,,,
2022-06-23,141.2495201572963,,,Інше/невідомо,milk,,,,
2022-06-24,141.80836213382184,,,Інше/невідомо,milk,,,,
2022-06-27,142.66831258047426,,,Інше/невідомо,milk,,,,
2022-06-28,141.7555120738758,,,Інше/невідомо,milk,,,,
2022-06-29,140.84539554299963,,,Інше/невідомо,milk,,,,
2022-06-30,140.3807343013739,,,Інше/невідомо,milk,,,,
2022-07-01,139.56218795457715,,,Інше/невідомо,milk,,,,
2022-07-04,139.18321920051773,,,Інше/невідомо,milk,,,,
2022-07-05,138.35122973746425,,,Інше/невідомо,milk,,,,
2022-07-06,137.1116776658019,,,Інше/невідомо,milk,,,,
2022-07-07,136.74859986671592,,,Інше/невідомо,milk,,,,
2022-07-08,136.9328214311334,,,Інше/невідомо,milk,,,,
2022-07-11,133.26452509274313,,,Інше/невідомо,milk,,,,
2022-07-12,134.42199658883976,,,Інше/невідомо,milk,,,,
2022-07-13,133.27151478389047,,,Інше/невідомо,milk,,,,
2022-07-14,132.55337914121333,,,Інше/невідомо,milk,,,,
2022-07-15,133.281880951183,,,Інше/невідомо,milk,,,,
2022-07-18,134.51125562243348,,,Інше/невідомо,milk,,,,
2022-07-19,134.23555661109552,,,Інше/невідомо,milk,,,,
2022-07-20,134.72819030385998,,,Інше/невідомо,milk,,,,
2022-07-21,167.03859439455016,,,Інше/невідомо,milk,,,,
2022-07-22,167.14081778153792,,,Інше/невідомо,milk,,,,
2022-07-25,167.553856227191,,,Інше/невідомо,milk,,,,
2022-07-26,166.49446507062186,,,Інше/невідомо,milk,,,,
2022-07-27,168.29008350796406,,,Інше/невідомо,milk,,,,
2022-07-28,168.29008350796406,,,Інше/невідомо,milk,,,,
2022-07-29,168.1089406194999,,,Інше/невідомо,milk,,,,
2022-08-01,168.29008350796406,,,Інше/невідомо,milk,,,,
2022-08-02,168.0171477467071,,,Інше/невідомо,milk,,,,
2022-08-03,168.1898241845198,,,Інше/невідомо,milk,,,,
2022-08-04,168.29008350796406,,,Інше/невідомо,milk,,,,
