region,product,price_median,price_mean,price_std,n_obs,cv
-,Інше/невідомо,5.08,5.262032520325203,0.7708234465939688,123,0.146487777036074
-,Вершки,37.2,54.337,30.05893896295987,20,0.5531946732973825
-,Масло вершкове,289.0,317.1074193548387,87.12171256228235,31,0.27473880220000274
-,Молоко питне,70.56,73.88285714285713,36.36210610566391,14,0.49215890548676944
-,Сир кисломолочний,126.96,118.50636363636363,20.299618849982032,11,0.17129560157858983
-,Сир твердий,258.18,269.99108695652177,49.14078085701035,46,0.18200890040834486
-,Сметана,100.08,105.84899999999999,22.279874380565815,30,0.21048733932834338
Івано-Франківська,Інше/невідомо,6.22,6.13909090909091,0.8565355276039918,77,0.1395215578801112
Івано-Франківська,Вершки,34.32,35.28095238095238,5.000885682300005,42,0.14174463399689582
Івано-Франківська,Масло вершкове,358.8,375.10585714285713,66.26840947376206,70,0.1766658883402188
Івано-Франківська,Молоко питне,43.26,47.52938775510204,24.07900056828246,49,0.5066128916356113
Івано-Франківська,Сир кисломолочний,117.0,123.81655172413792,20.31549800308376,29,0.16407740096288978
Івано-Франківська,Сир твердий,291.0,299.46736842105264,40.40455376454839,19,0.1349213905260602
Івано-Франківська,Сметана,123.0,119.53176470588235,17.12302259944711,17,0.1432508140541529
Волинська,Інше/невідомо,6.0,6.022704918032787,0.83840564639648,122,0.1392074919503662
Волинська,Вершки,38.269999999999996,38.88648148148148,6.906625246247507,54,0.17760992980392376
Волинська,Масло вершкове,388.0,393.65884210526315,67.0567311718483,95,0.17034224561865052
Волинська,Молоко питне,42.61,45.69108108108108,22.008391175461515,37,0.48167805739607117
Волинська,Сир кисломолочний,95.0,103.64285714285714,31.49570643452094,7,0.3038868987479622
Волинська,Сир твердий,296.22,278.2922222222222,29.208462719637357,9,0.10495608711735314
Волинська,Сметана,82.9,91.80625,23.64615454994744,16,0.2575658470958942
Вінницька,Інше/невідомо,5.92,5.9834375,0.9434738147535211,224,0.15768090077877828
Вінницька,Вершки,41.7,49.13283582089552,24.26128446011165,67,0.4937896226578816
Вінницька,Масло вершкове,399.96,388.7090967741936,89.42348235548359,155,0.2300524559306388
Вінницька,Молоко питне,48.0,53.662236842105266,25.67351626379815,152,0.4784279928423299
Вінницька,Сир кисломолочний,136.68,154.3029268292683,45.40121882966922,41,0.29423433348029976
Вінницька,Сир твердий,296.85,304.541875,49.18356680892125,64,0.1615001773037657
Вінницька,Сметана,132.42000000000002,130.06916666666666,18.239677704214603,24,0.14023060323710798
Дніпропетровська,Інше/невідомо,5.7,5.713684210526316,0.9274829281681383,171,0.16232659943989156
Дніпропетровська,Вершки,41.4,48.01779527559055,28.679164715022754,127,0.5972611726636597
Дніпропетровська,Масло вершкове,389.28,366.67004672897195,123.28209359216483,214,0.3362207922134695
Дніпропетровська,Молоко питне,44.22,46.04255555555555,12.59138037261563,90,0.27347266503099954
Дніпропетровська,Сир кисломолочний,110.0,124.83433962264151,60.898508302731216,53,0.48783458531378254
Дніпропетровська,Сир твердий,240.0,268.1533928571429,99.03465873166526,56,0.3693209236566527
Дніпропетровська,Сметана,127.02000000000001,120.485,39.29082028632044,58,0.32610549268639616
Донецька,Інше/невідомо,7.699999999999999,8.1,3.4578895297565535,6,0.42689994194525355
Донецька,Вершки,82.0,82.0,24.041630560342615,2,0.2931906165895441
Донецька,Масло вершкове,418.0,395.34000000000003,66.80131735227982,10,0.16897181502574954
Донецька,Молоко питне,42.0,43.2625,6.433943192164508,4,0.14871871001824924
Донецька,Сир кисломолочний,169.84,169.84,,1,
Донецька,Сир твердий,350.0,339.5,66.93529213601248,4,0.19715844517234898
