model,standardized_type,y_series,x_series,sample_period,coef_main,coef_long_run,p_or_rank,diagnostics_or_note
ARDL,butter,ProducerUA,EU,2021-12-28..2025-12-23,0.638088813491537,0.8477031455859193,0.7705229151133584,LB=8.79e-15; BP=0.462; White=0.515
ARDL,butter,ProZorro,EU,2025-04-08..2026-01-06,-0.11265418947104955,-0.3318711999239127,0.16360389722840452,LB=0.633; BP=0.0462; White=0.255
ARDL,cream,ProducerUA,EU,2021-12-28..2025-12-23,0.04922198585267523,0.1895293235950405,0.5456672984077288,LB=1.37e-21; BP=0.59; White=0.0654
ARDL,cream,ProZorro,EU,2025-04-15..2026-01-06,0.2894838020743842,0.2798247240248903,7.914017296706472e-06,LB=0.978; BP=0.322; White=0.753
ARDL,hard_cheese,ProducerUA,EU,2021-12-28..2025-12-23,0.3551626072614864,0.6208905309984175,0.3497660842704009,LB=2.94e-23; BP=0.0859; White=0.119
ARDL,hard_cheese,ConsumerUA,EU,2021-12-28..2026-01-13,0.45279400744756204,0.8390572807646949,0.5031244319467403,LB=5.79e-21; BP=0.157; White=0.0643
ARDL,hard_cheese,ProZorro,EU,2025-04-08..2026-01-06,-0.2865029854639456,-0.4489016720895597,0.0012978235291960932,LB=0.705; BP=0.318; White=0.49
ARDL,milk,ProducerUA,EU,2021-12-28..2025-12-23,0.4145372929609987,0.7957185748702496,0.8924029758886471,LB=4.73e-08; BP=0.0925; White=0.164
ARDL,milk,ConsumerUA,EU,2021-12-28..2026-01-13,0.37102933341680666,0.7473279445716343,0.9515547171935748,LB=8.41e-08; BP=0.149; White=0.261
ARDL,milk,ProZorro,EU,2025-04-08..2026-01-06,0.7545075848393812,0.8868136250061809,4.278777154383951e-05,LB=0.92; BP=0.381; White=0.577
ARDL,other,ProZorro,EU,2025-04-08..2026-01-06,-0.09704672500046962,10.87221183583123,0.41206599355942786,LB=0.12; BP=0.572; White=0.292
ECM,cream,ProZorro,EU,2025-04-15..2026-01-06,0.43295210857306066,0.24203147655261692,1.875767834348819e-15,ECT=-0.9167713338060415
ECM,hard_cheese,ProZorro,EU,2025-04-08..2026-01-06,-0.17116782947042247,-0.8152110388071305,0.00029942260609903444,ECT=-0.6376969703823614
ECM,milk,ProZorro,EU,2025-04-08..2026-01-06,0.7517341425344837,0.8584340883413262,1.2485334246382707e-10,ECT=-0.7845430609440491
NARDL,butter,ProducerUA,EU,2021-12-28..2025-12-23,-0.00257929957347239,0.431674313712216,3.6240032394014096e-35,asym_short_p=0.7032988697348881
NARDL,butter,ProZorro,EU,2025-04-08..2026-01-06,0.29805209441835057,0.32486566158434904,0.5053658392991783,asym_short_p=0.46101982635737293
NARDL,cream,ProducerUA,EU,2021-12-28..2025-12-23,-0.0033047862840858734,-0.00045517749051976475,0.9806218562475245,asym_short_p=0.6688359246375976
NARDL,cream,ProZorro,EU,2025-04-15..2026-01-06,-0.947164083818236,0.1786141240120238,0.7515583051997151,asym_short_p=0.14728982209359795
NARDL,hard_cheese,ProducerUA,EU,2021-12-28..2025-12-23,-0.03242904522300962,0.339326206737692,4.3359929627004795e-12,asym_short_p=0.7969953657108445
