"Country or Area","Year","Commodity","Flow","Trade (USD)","Weight (kg)","Quantity Name","Quantity"
"Ukraine","2024","Dairy produce; milk and cream, not concentrated, not containing added sugar or other sweetening matter, of a fat content, by weight, not exceeding 1%","Export","147610.86","251379.24","Weight in kilograms","251379.24"
"Ukraine","2024","Dairy produce; milk and cream, not concentrated, not containing added sugar or other sweetening matter, of a fat content, by weight, exceeding 1% but not exceeding 6%","Import","886017.81","1185161","Weight in kilograms","1185161"
"Ukraine","2024","Dairy produce; milk and cream, not concentrated, not containing added sugar or other sweetening matter, of a fat content, by weight, exceeding 1% but not exceeding 6%","Export","16450500.29","28344423.2","Weight in kilograms","28344423.2"
"Ukraine","2024","Dairy produce; milk and cream, not concentrated, not containing added sugar or other sweetening matter, of a fat content, by weight, exceeding 6% but not exceeding 10%","Import","2288670.88","860543","Weight in kilograms","860543"
"Ukraine","2024","Dairy produce; milk and cream, not concentrated, not containing added sugar or other sweetening matter, of a fat content, by weight, exceeding 6% but not exceeding 10%","Export","721677.22","505333.14","Weight in kilograms","505333.14"
"Ukraine","2024","Dairy produce; milk and cream, not concentrated, not containing added sugar or other sweetening matter, of a fat content, by weight, exceeding 10%","Import","1777873.91","529307.36","Weight in kilograms","529307.36"
"Ukraine","2024","Dairy produce; milk and cream, not concentrated, not containing added sugar or other sweetening matter, of a fat content, by weight, exceeding 10%","Export","3270332.11","1303176.575","Weight in kilograms","1303176.575"
"Ukraine","2024","Dairy produce; milk and cream, concentrated or containing added sugar or other sweetening matter, in powder, granules or other solid forms, of a fat content not exceeding 1.5% (by weight)","Import","3608163.84","","No Quantity",""
"Ukraine","2024","Dairy produce; milk and cream, concentrated or containing added sugar or other sweetening matter, in powder, granules or other solid forms, of a fat content not exceeding 1.5% (by weight)","Export","58390721.04","24048297.2","Weight in kilograms","24048297.2"
"Ukraine","2024","Dairy produce; milk and cream, concentrated, not containing added sugar or other sweetening matter, in powder, granules or other solid forms, of a fat content exceeding 1.5% (by weight)","Import","2829648.73","604375","Weight in kilograms","604375"
"Ukraine","2024","Dairy produce; milk and cream, concentrated, not containing added sugar or other sweetening matter, in powder, granules or other solid forms, of a fat content exceeding 1.5% (by weight)","Export","10573897.67","2351637","Weight in kilograms","2351637"
"Ukraine","2024","Dairy produce; milk and cream, containing added sugar or other sweetening matter, in powder, granules or other solid forms, of a fat content exceeding 1.5% (by weight)","Export","63850.88","29487.65","Weight in kilograms","29487.65"
"Ukraine","2024","Dairy produce; milk and cream, concentrated, not containing added sugar or other sweetening matter, other than in powder, granules or other solid forms","Import","82.25","18.9","Weight in kilograms","18.9"
"Ukraine","2024","Dairy produce; milk and cream, concentrated, not containing added sugar or other sweetening matter, other than in powder, granules or other solid forms","Export","3781.01","888.3","Weight in kilograms","888.3"
"Ukraine","2024","Dairy produce; milk and cream, containing added sugar or other sweetening matter, other than in powder, granules or other solid forms","Import","414812.87","177492.712","Weight in kilograms","177492.712"
"Ukraine","2024","Dairy produce; milk and cream, containing added sugar or other sweetening matter, other than in powder, granules or other solid forms","Export","16946108.47","7429276.26","Weight in kilograms","7429276.26"
"Ukraine","2024","Dairy produce; yoghurt, whether or not concentrated or containing added sugar or other sweetening matter or flavoured or containing added fruit, nuts or cocoa","Import","10479136.25","4470363.13","Weight in kilograms","4470363.13"
"Ukraine","2024","Dairy produce; yoghurt, whether or not concentrated or containing added sugar or other sweetening matter or flavoured or containing added fruit, nuts or cocoa","Export","1954582.69","1539968.966","Weight in kilograms","1539968.966"
